time_s,cube_z_m,finger_half_gap_m,finger_z_m,contacts
3.097999999999999865e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.099000000000000199e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.100000000000000089e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.100999999999999979e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.101999999999999869e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.103000000000000203e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.104000000000000092e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.104999999999999982e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.105999999999999872e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.107000000000000206e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.108000000000000096e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.108999999999999986e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.109999999999999876e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.111000000000000210e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.112000000000000099e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.112999999999999989e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.113999999999999879e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.115000000000000213e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.116000000000000103e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.116999999999999993e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.117999999999999883e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.119000000000000217e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.120000000000000107e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.120999999999999996e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.121999999999999886e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
3.123000000000000220e+00,1.995285600423812866e-02,2.899999999999999800e-02,1.010000000000000064e-01,6.400000000000000000e+01
