tag,dt_ms,friction_timeconst_ms,friction_solreffriction,impratio,noslip_iterations,trace,wall_s,tail_slope_um_s,tail_slope_R2,tail_vt_mean_um_s,tail_vt_std_um_s,tail_vt_rms_um_s,hold_displacement_um,tail_Fn_mean_N,tail_Fn_cv,tail_Fn_balance_error_pct,tail_Ft_mean_N,tail_rho_mean,tail_contact_duty,tail_contacts_mean,tail_gap_std_um,tail_max_body_vz_rms_mm_s,tail_solver_iterations_mean,valid_steady_contact
dt0.25ms_tfr4ms_ir1_ns3,0.25,4.0,"[0.004, 1.0]",1.0,3,dt0.25ms_tfr4ms_ir1_ns3/trace.csv,2.2037967079959344,0.03799645242627771,0.9999933696451143,0.03800909443827537,0.0002217697796240531,0.03800974140734044,0.4418354746177296,9.808978167566433,9.606940023515354e-09,-0.010416232758074687,4.00000000047173,0.8155793462152469,1.0,5.0,1.4206507071273853e-05,2.0705342582564124e-07,7.0,True
dt0.25ms_tfr4ms_ir10_ns0,0.25,4.0,"[0.004, 1.0]",10.0,0,dt0.25ms_tfr4ms_ir10_ns0/trace.csv,0.9081009170040488,54.661436391578356,0.9999997645806629,54.66145571629028,0.05930503920171941,54.6614878878323,434.90675964749266,9.808790673214155,3.79739564862451e-07,-0.012327490171720003,3.999999553640997,0.815594844849686,1.0,4.0,0.0090911873380072,2.4302644111923055e-05,1.0,True
dt0.25ms_tfr4ms_ir10_ns1,0.25,4.0,"[0.004, 1.0]",10.0,1,dt0.25ms_tfr4ms_ir10_ns1/trace.csv,1.712178749992745,-0.23572822131939775,0.9999997075552356,-0.23571141444346586,0.00028974605479308133,0.23571159252721446,1.7269890329909647,9.809005442181654,2.5220014865393873e-09,-0.010138204060617372,4.000000000016038,0.8155770783477889,1.0,8.0,2.3907019949974303e-05,1.366267850868217e-07,4.0,True
dt0.25ms_tfr4ms_ir10_ns3,0.25,4.0,"[0.004, 1.0]",10.0,3,dt0.25ms_tfr4ms_ir10_ns3/trace.csv,1.8217949170211796,0.21357239953198118,0.9958880711900298,0.0808479727560779,2.713957993260189,2.7151619443192776,2.5479815611988395,9.808454110548778,0.0012316410830217734,-0.015758302255067663,4.000294914119611,0.8156859648106817,1.0,6.1546134663341645,0.008768440063502038,0.0030405676624090986,5.187032418952619,True
dt0.25ms_tfr4ms_ir100_ns0,0.25,4.0,"[0.004, 1.0]",100.0,0,dt0.25ms_tfr4ms_ir100_ns0/trace.csv,0.9095398339850362,5.398775251475994,0.9999999977318345,5.398775157806296,0.000574938860320297,5.398775188420156,43.211850347511024,9.80883530167578,3.5495492419442086e-08,-0.01187256191866296,3.9999999957324945,0.8155912241791079,1.0,4.0,0.0008419310948005912,2.25315041982487e-06,1.0,True
dt0.25ms_tfr4ms_ir100_ns1,0.25,4.0,"[0.004, 1.0]",100.0,1,dt0.25ms_tfr4ms_ir100_ns1/trace.csv,1.7018051659979392,-0.02067599693603852,0.9999930424140895,-0.020666125145485343,0.00012514353752079855,0.020666504044802664,-0.14588237755547878,9.809015599146608,2.403358134222014e-09,-0.01003466721092896,4.000000000308177,0.815576233899797,1.0,8.0,4.5048830231598146e-06,1.2325711378655452e-07,4.0,True
dt0.25ms_tfr4ms_ir100_ns3,0.25,4.0,"[0.004, 1.0]",100.0,3,dt0.25ms_tfr4ms_ir100_ns3/trace.csv,1.885834499989869,0.002417182946133024,0.252041793872651,-0.00026958542222928813,0.010466312235336063,0.010469783575004018,-0.7450118397722136,9.80915480950891,2.73318965814371e-08,-0.008615601336303057,4.000000002143285,0.8155646597127256,1.0,5.0,1.7450746805936712e-05,1.399553536727258e-06,6.0,True
dt0.25ms_tfr8ms_ir1_ns0,0.25,8.0,"[0.008, 1.0]",1.0,0,dt0.25ms_tfr8ms_ir1_ns0/trace.csv,1.0007865420193411,134.3711963527317,0.9999999999999956,134.3711963489556,1.998559764604615e-05,134.3711963489571,366570.83207036543,0.0,,,0.0,,0.0,0.0,4.2148230662058437e-08,7.596618054438536e-11,0.8902743142144638,False
dt0.25ms_tfr8ms_ir1_ns1,0.25,8.0,"[0.008, 1.0]",1.0,1,dt0.25ms_tfr8ms_ir1_ns1/trace.csv,1.890529708005488,-10.567655152161334,0.9994420806690502,-10.194341467315306,3.53299802342974,10.789192415829039,-47.72526900654245,9.808938971453394,4.510122684735503e-05,-0.010815785388448875,4.00002403141283,0.8155875054025272,1.0,7.047381546134663,0.07066883638879713,0.002864869304941224,5.0,True
dt0.25ms_tfr8ms_ir1_ns3,0.25,8.0,"[0.008, 1.0]",1.0,3,dt0.25ms_tfr8ms_ir1_ns3/trace.csv,2.3326994589879178,0.03938007003201205,0.9920416590682414,0.040063158278924975,0.008153042871959481,0.040884333911098567,-0.9322562411688632,9.809183088094658,2.3839322833992188e-07,-0.00832733848463528,4.00000003199541,0.8155623146336025,1.0,8.0,2.70586377543377e-05,3.876188041589125e-06,7.0,True
