phase,time_s,cube_z_m,cube_vz_m_s,pad_z_m,pad_vz_m_s,relative_vt_m_s,candidate_contact_count,truncated_contacts,solver_iterations,left_Fn_N,left_Ft_N,left_points,left_rho,left_phi0_min_m,left_geometric_overlap_m,left_minus_phi0_minus_geometric_m,right_Fn_N,right_Ft_N,right_points,right_rho,right_phi0_min_m,right_geometric_overlap_m,right_minus_phi0_minus_geometric_m
normal_gate,0.0825,-4.1037282621537996e-13,-6.7095076409118704e-15,-1.4915911387969327e-16,-6.709476724209296e-15,-3.091670257478196e-20,128,0,-1,4.799962043762207,7.903732540560817e-10,4,4.116559916776903e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05,4.799962043762207,7.903607385910817e-10,4,4.1164947315479054e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05
normal_gate,0.085,-4.1038898082775e-13,-6.309510307614657e-15,-1.6534083130403943e-16,-6.3096229629966416e-15,1.1265538198482195e-19,128,0,-1,4.799962043762205,8.49921301698941e-10,4,4.426708450765027e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05,4.799962043762207,8.499082770465445e-10,4,4.426640613497367e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05
normal_gate,0.08750000000000001,-4.104041325531105e-13,-5.895164659707429e-15,-1.8047900413736828e-16,-5.895024052238185e-15,-1.4060746924421386e-19,128,0,-1,4.799962043762207,9.041652847185011e-10,4,4.70923142972302e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05,4.799962043762207,9.041518113397624e-10,4,4.709161255320515e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05
normal_gate,0.09,-4.104182271813528e-13,-5.467783598258431e-15,-1.9457363237967984e-16,-5.467631555844399e-15,-1.520424140321469e-19,128,0,-1,4.799962043762207,9.53081754112853e-10,4,4.964006722466851e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05,4.799962043762205,9.53067930396515e-10,4,4.963934723374923e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05
normal_gate,0.0925,-4.104312376074226e-13,-5.029253465641198e-15,-2.0757050592234982e-16,-5.029180197291261e-15,-7.326834993749698e-20,128,0,-1,4.799962043762207,9.96665886791113e-10,4,5.191009208532861e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05,4.799962043762207,9.9665171846128e-10,4,5.190935414564784e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05
normal_gate,0.095,-4.1044313672626564e-13,-4.5824986431061265e-15,-2.194831772925343e-16,-4.582272061792736e-15,-2.2658131339052534e-19,128,0,-1,4.799962043762207,1.0349353242758167e-09,4,5.390330771577493e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05,4.799962043762205,1.034920941512049e-09,4,5.390255860757177e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05
normal_gate,0.0975,-4.104539245378819e-13,-4.128441126016302e-15,-2.3027098890876507e-16,-4.128208191955807e-15,-2.329340604949326e-19,128,0,-1,4.799962043762207,1.067925942494878e-09,4,5.562158266869536e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05,4.799962043762205,1.0679112997348126e-09,4,5.562082001891128e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05
normal_gate,0.1,-4.104635468321627e-13,-3.668241773025936e-15,-2.3989328318957392e-16,-3.6680727899529586e-15,-1.6898307297723292e-19,128,0,-1,4.799962043762207,1.0956947768537275e-09,4,5.706788756161302e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05,4.799962043762205,1.0956799356091218e-09,4,5.706711457401072e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05
normal_gate,0.10250000000000001,-4.104720307141624e-13,-3.2063525893057977e-15,-2.4836361266211693e-16,-3.206636345343128e-15,2.837560373301906e-19,128,0,-1,4.799962043762206,1.1183142508670997e-09,4,5.8245994482415e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05,4.799962043762206,1.1182993692560454e-09,4,5.824521939237686e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05
normal_gate,0.105,-4.1047934907882666e-13,-2.743115776166578e-15,-2.556819773263941e-16,-2.7434651772573204e-15,3.494010907423989e-19,128,0,-1,4.799962043762207,1.1358758888653213e-09,4,5.916067036100053e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05,4.799962043762207,1.1358610371479134e-09,4,5.915989682793545e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05
normal_gate,0.1075,-4.104855019261555e-13,-2.2801534017022687e-15,-2.618348246552493e-16,-2.280294009171513e-15,1.4060746924421386e-19,128,0,-1,4.799962043762207,1.1484862265654406e-09,4,5.98174639765098e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05,4.799962043762207,1.1484713831692342e-09,4,5.981669087684406e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05
normal_gate,0.11,-4.1049051636120326e-13,-1.8206721208929378e-15,-2.668492597029948e-16,-1.820592288037659e-15,-7.983285527871781e-20,128,0,-1,4.799962043762207,1.1562675092792335e-09,4,6.022274232261178e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05,4.799962043762206,1.156252816764979e-09,4,6.022197708144318e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05
normal_gate,0.1125,-4.104943923839699e-13,-1.3640920338070712e-15,-2.707117299424744e-16,-1.3639263329867646e-15,-1.657008203066225e-19,128,0,-1,4.799962043762207,1.159357059888114e-09,4,6.038365768927054e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05,4.799962043762206,1.1593425535392896e-09,4,6.038290214429476e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05
normal_gate,0.115,-4.104975094652158e-13,-1.091091197324642e-15,-2.738491399791043e-16,-1.0911410663894117e-15,4.986906476959693e-20,128,0,-1,4.799962043762206,1.157811317948248e-09,4,6.030314965994795e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05,4.799962043762205,1.1577967623743441e-09,4,6.03023915511457e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05
normal_gate,0.11750000000000001,-4.104995694493435e-13,-6.423763405496237e-16,-2.7590234784324874e-16,-6.422813669804128e-16,-9.497356921088843e-20,128,0,-1,4.799962043762205,1.151984877687629e-09,4,5.999968683006004e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05,4.799962043762207,1.1519705598615994e-09,4,5.999894110405744e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05
normal_gate,0.12,-4.1050051812624444e-13,-2.0135958389704846e-16,-2.7683069595343945e-16,-2.0122792321330962e-16,-1.316606837388403e-19,128,0,-1,4.799962043762205,1.141947808630783e-09,4,5.947691868286762e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05,4.799962043762207,1.1419337609360332e-09,4,5.947618702631377e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05
