time_s,cube_z_m,left_lift_m,right_lift_m,contact_count
0.917,0.019944796338677406,-0.010312309488654137,-0.010294985957443714,512
0.918,0.019944796338677406,-0.010312309488654137,-0.010294986888766289,512
0.919,0.019944796338677406,-0.010312309488654137,-0.010294987820088863,512
0.92,0.019944796338677406,-0.010312309488654137,-0.010294988751411438,512
0.921,0.019944796338677406,-0.010312309488654137,-0.010294989682734013,512
0.922,0.019944796338677406,-0.010312309488654137,-0.010294990614056587,512
0.923,0.019944796338677406,-0.010312309488654137,-0.010294991545379162,512
0.924,0.019944796338677406,-0.010312309488654137,-0.010294992476701736,512
0.925,0.019944796338677406,-0.010312309488654137,-0.010294993408024311,512
0.926,0.019944796338677406,-0.010312309488654137,-0.010294994339346886,512
0.927,0.019944796338677406,-0.010312309488654137,-0.01029499527066946,512
0.928,0.019944796338677406,-0.010312309488654137,-0.010294996201992035,512
0.929,0.019944796338677406,-0.010312309488654137,-0.01029499713331461,512
0.93,0.019944796338677406,-0.010312309488654137,-0.010294998064637184,512
0.931,0.019944796338677406,-0.010312309488654137,-0.010294998995959759,512
0.932,0.019944796338677406,-0.010312309488654137,-0.010294999927282333,512
0.933,0.019944796338677406,-0.010312309488654137,-0.010295000858604908,512
0.934,0.019944796338677406,-0.010312309488654137,-0.010295001789927483,512
0.935,0.019944796338677406,-0.010312309488654137,-0.010295002721250057,512
0.936,0.019944796338677406,-0.010312309488654137,-0.010295003652572632,512
0.937,0.019944796338677406,-0.010312309488654137,-0.010295004583895206,512
0.9380000000000001,0.019944796338677406,-0.010312309488654137,-0.010295005515217781,512
0.9390000000000001,0.019944796338677406,-0.010312309488654137,-0.010295006446540356,512
0.9400000000000001,0.019944796338677406,-0.010312309488654137,-0.01029500737786293,512
0.9410000000000001,0.019944796338677406,-0.010312309488654137,-0.010295008309185505,512
0.9420000000000001,0.019944796338677406,-0.010312309488654137,-0.01029500924050808,512
0.9430000000000001,0.019944796338677406,-0.010312309488654137,-0.010295010171830654,512
0.9440000000000001,0.019944796338677406,-0.010312309488654137,-0.010295011103153229,512
0.9450000000000001,0.019944796338677406,-0.010312309488654137,-0.010295012034475803,512
0.9460000000000001,0.019944796338677406,-0.010312309488654137,-0.010295012965798378,512
