time_s,cube_z_m,left_lift_m,right_lift_m,contact_count
3.2655,0.1413011997938156,0.0403057225048542,0.0403057225048542,512
3.266,0.1413007378578186,0.04030526801943779,0.04030526801943779,512
3.2665,0.1413002908229828,0.040304820984601974,0.040304820984601974,512
3.267,0.14129984378814697,0.040304381400346756,0.040304381400346756,512
3.2675,0.14129941165447235,0.040303949266672134,0.040303949266672134,512
3.2680000000000002,0.14129897952079773,0.04030352458357811,0.04030352458357811,512
3.2685,0.1412985622882843,0.04030310735106468,0.04030310735106468,512
3.269,0.14129815995693207,0.04030270129442215,0.04030270129442215,512
3.2695,0.14129775762557983,0.040302302688360214,0.040302302688360214,512
3.27,0.1412973701953888,0.040301911532878876,0.040301911532878876,512
3.2705,0.14129698276519775,0.040301527827978134,0.040301527827978134,512
3.271,0.1412966102361679,0.04030115157365799,0.04030115157365799,512
3.2715,0.14129623770713806,0.04030078276991844,0.04030078276991844,512
3.2720000000000002,0.1412958800792694,0.04030042514204979,0.04030042514204979,512
3.2725,0.14129552245140076,0.040300074964761734,0.040300074964761734,512
3.273,0.1412951797246933,0.040299732238054276,0.040299732238054276,512
3.2735,0.14129485189914703,0.040299396961927414,0.040299396961927414,512
3.274,0.14129452407360077,0.04029907286167145,0.04029907286167145,512
3.2745,0.1412942111492157,0.04029875621199608,0.04029875621199608,512
3.275,0.14129389822483063,0.040298447012901306,0.040298447012901306,512
3.2755,0.14129360020160675,0.04029814526438713,0.04029814526438713,512
3.2760000000000002,0.14129330217838287,0.04029785096645355,0.04029785096645355,512
3.2765,0.1412930190563202,0.04029756784439087,0.04029756784439087,512
3.277,0.1412927359342575,0.04029729217290878,0.04029729217290878,512
3.2775,0.14129246771335602,0.040297023952007294,0.040297023952007294,512
3.278,0.14129221439361572,0.0402967631816864,0.0402967631816864,512
3.2785,0.14129196107387543,0.040296513587236404,0.040296513587236404,512
3.279,0.14129172265529633,0.040296271443367004,0.040296271443367004,512
3.2795,0.14129148423671722,0.0402960367500782,0.0402960367500782,512
3.2800000000000002,0.14129126071929932,0.040295809507369995,0.040295809507369995,512
3.2805,0.1412910372018814,0.040295589715242386,0.040295589715242386,512
3.281,0.1412908285856247,0.04029538109898567,0.04029538109898567,512
3.2815,0.14129061996936798,0.040295179933309555,0.040295179933309555,512
3.282,0.14129042625427246,0.040294986218214035,0.040294986218214035,512
3.2825,0.14129024744033813,0.04029479995369911,0.04029479995369911,512
3.283,0.1412900686264038,0.040294624865055084,0.040294624865055084,512
3.2835,0.14128990471363068,0.04029445722699165,0.04029445722699165,512
3.2840000000000003,0.14128974080085754,0.04029429703950882,0.04029429703950882,512
3.2845,0.1412895917892456,0.04029414430260658,0.04029414430260658,512
3.285,0.14128944277763367,0.04029399901628494,0.04029399901628494,512
3.2855,0.14128930866718292,0.0402938649058342,0.0402938649058342,512
3.286,0.14128917455673218,0.04029373824596405,0.04029373824596405,512
3.2865,0.14128905534744263,0.0402936190366745,0.0402936190366745,512
3.287,0.14128893613815308,0.040293507277965546,0.040293507277965546,512
3.2875,0.14128883183002472,0.04029340296983719,0.04029340296983719,512
3.2880000000000003,0.14128874242305756,0.04029330983757973,0.04029330983757973,512
3.2885,0.1412886530160904,0.04029322415590286,0.04029322415590286,512
3.289,0.14128857851028442,0.040293145924806595,0.040293145924806595,512
3.2895,0.14128850400447845,0.040293075144290924,0.040293075144290924,512
3.29,0.14128844439983368,0.04029301181435585,0.04029301181435585,512
3.2905,0.1412883847951889,0.04029295593500137,0.04029295593500137,512
3.291,0.14128834009170532,0.04029291123151779,0.04029291123151779,512
3.2915,0.14128829538822174,0.04029287397861481,0.04029287397861481,512
3.2920000000000003,0.14128826558589935,0.04029284417629242,0.04029284417629242,512
3.2925,0.14128823578357697,0.04029282182455063,0.04029282182455063,512
3.293,0.14128822088241577,0.040292806923389435,0.040292806923389435,512
3.2935,0.14128820598125458,0.04029279947280884,0.04029279947280884,512
3.294,0.14128820598125458,0.04029279947280884,0.04029279947280884,512
3.2945,0.14128822088241577,0.040292806923389435,0.040292806923389435,512
3.295,0.14128823578357697,0.04029282182455063,0.04029282182455063,512
3.2955,0.14128826558589935,0.04029284417629242,0.04029284417629242,512
3.2960000000000003,0.14128829538822174,0.040292877703905106,0.040292877703905106,512
3.2965,0.14128834009170532,0.04029291868209839,0.04029291868209839,512
3.297,0.1412883847951889,0.04029296711087227,0.04029296711087227,512
3.2975,0.14128844439983368,0.040293022990226746,0.040293022990226746,512
3.298,0.14128850400447845,0.04029308632016182,0.04029308632016182,512
3.2985,0.14128857851028442,0.04029315710067749,0.04029315710067749,512
3.299,0.1412886530160904,0.04029323533177376,0.04029323533177376,512
3.2995,0.14128874242305756,0.04029332101345062,0.04029332101345062,512
3.3000000000000003,0.14128883183002472,0.040293414145708084,0.040293414145708084,512
3.3005,0.14128893613815308,0.04029351472854614,0.04029351472854614,512
3.301,0.14128904044628143,0.0402936227619648,0.0402936227619648,512
3.3015,0.14128915965557098,0.04029373824596405,0.04029373824596405,512
3.302,0.14128927886486053,0.0402938611805439,0.0402938611805439,512
3.3025,0.14128941297531128,0.04029398784041405,0.04029398784041405,512
3.303,0.14128954708576202,0.04029412195086479,0.04029412195086479,512
3.3035,0.14128969609737396,0.04029426351189613,0.04029426351189613,512
3.3040000000000003,0.1412898451089859,0.04029441252350807,0.04029441252350807,512
3.3045,0.14128999412059784,0.04029456898570061,0.04029456898570061,512
3.305,0.14129015803337097,0.04029473289847374,0.04029473289847374,512
3.3055,0.1412903219461441,0.04029490426182747,0.04029490426182747,512
3.306,0.14129050076007843,0.040295083075761795,0.040295083075761795,512
3.3065,0.14129067957401276,0.04029526561498642,0.04029526561498642,512
3.307,0.14129087328910828,0.04029545560479164,0.04029545560479164,512
3.3075,0.1412910670042038,0.04029565304517746,0.04029565304517746,512
3.3080000000000003,0.1412912756204605,0.040295857936143875,0.040295857936143875,512
3.3085,0.14129148423671722,0.04029607027769089,0.04029607027769089,512
3.309,0.14129170775413513,0.0402962863445282,0.0402962863445282,512
3.3095,0.14129193127155304,0.040296509861946106,0.040296509861946106,512
3.31,0.14129215478897095,0.04029674082994461,0.04029674082994461,512
3.3105,0.14129239320755005,0.04029697924852371,0.04029697924852371,512
3.311,0.14129263162612915,0.04029722139239311,0.04029722139239311,512
3.3115,0.14129288494586945,0.04029747098684311,0.04029747098684311,512
3.3120000000000003,0.14129313826560974,0.0402977280318737,0.0402977280318737,512
3.3125,0.14129340648651123,0.040297988802194595,0.040297988802194595,512
3.313,0.14129367470741272,0.040298257023096085,0.040298257023096085,512
3.3135,0.1412939429283142,0.04029853269457817,0.04029853269457817,512
3.314,0.1412942260503769,0.040298812091350555,0.040298812091350555,512
3.3145000000000002,0.14129450917243958,0.04029909893870354,0.04029909893870354,512
3.315,0.14129480719566345,0.04029938951134682,0.04029938951134682,512
3.3155,0.14129510521888733,0.040299687534570694,0.040299687534570694,512
3.3160000000000003,0.1412954032421112,0.04029999300837517,0.04029999300837517,512
3.3165,0.14129571616649628,0.04030030220746994,0.04030030220746994,512
3.317,0.14129602909088135,0.04030061885714531,0.04030061885714531,512
3.3175,0.14129634201526642,0.04030093923211098,0.04030093923211098,512
3.318,0.14129666984081268,0.04030126705765724,0.04030126705765724,512
3.3185000000000002,0.14129699766635895,0.040301598608493805,0.040301598608493805,512
3.319,0.1412973403930664,0.040301937609910965,0.040301937609910965,512
3.3195,0.14129768311977386,0.04030228033661842,0.04030228033661842,512
3.3200000000000003,0.14129802584648132,0.04030262678861618,0.04030262678861618,512
3.3205,0.14129838347434998,0.040302980691194534,0.040302980691194534,512
3.321,0.14129874110221863,0.04030333831906319,0.04030333831906319,512
3.3215,0.14129909873008728,0.040303703397512436,0.040303703397512436,512
3.322,0.14129947125911713,0.040304072201251984,0.040304072201251984,512
3.3225000000000002,0.14129984378814697,0.04030444473028183,0.04030444473028183,512
3.323,0.14130021631717682,0.04030482470989227,0.04030482470989227,512
3.3235,0.14130060374736786,0.040305208414793015,0.040305208414793015,512
3.3240000000000003,0.1413009911775589,0.040305595844984055,0.040305595844984055,512
3.3245,0.14130137860774994,0.04030598700046539,0.04030598700046539,512
3.325,0.14130178093910217,0.04030638560652733,0.04030638560652733,512
3.3255,0.1413021832704544,0.04030678793787956,0.04030678793787956,512
3.326,0.14130258560180664,0.040307193994522095,0.040307193994522095,512
3.3265000000000002,0.14130300283432007,0.040307603776454926,0.040307603776454926,512
3.327,0.1413034200668335,0.040308017283678055,0.040308017283678055,512
3.3275,0.14130383729934692,0.04030843824148178,0.04030843824148178,512
3.3280000000000003,0.14130425453186035,0.040308862924575806,0.040308862924575806,512
3.3285,0.14130468666553497,0.04030929133296013,0.04030929133296013,512
3.329,0.1413051187992096,0.04030972346663475,0.04030972346663475,512
3.3295,0.14130555093288422,0.04031015932559967,0.04031015932559967,512
3.33,0.14130598306655884,0.04031059890985489,0.04031059890985489,512
3.3305000000000002,0.14130643010139465,0.040311042219400406,0.040311042219400406,512
3.331,0.14130687713623047,0.04031148925423622,0.04031148925423622,512
3.3315,0.14130732417106628,0.040311940014362335,0.040311940014362335,512
3.332,0.1413077712059021,0.04031239449977875,0.04031239449977875,512
3.3325,0.1413082331418991,0.04031285271048546,0.04031285271048546,512
3.333,0.14130869507789612,0.04031331464648247,0.04031331464648247,512
3.3335,0.14130915701389313,0.040313780307769775,0.040313780307769775,512
3.334,0.14130961894989014,0.04031424969434738,0.04031424969434738,512
3.3345000000000002,0.14131009578704834,0.040314722806215286,0.040314722806215286,512
3.335,0.14131057262420654,0.04031519964337349,0.04031519964337349,512
3.3355,0.14131104946136475,0.04031568020582199,0.04031568020582199,512
3.336,0.14131152629852295,0.04031616076827049,0.04031616076827049,512
3.3365,0.14131201803684235,0.04031664505600929,0.04031664505600929,512
3.337,0.14131250977516174,0.04031713306903839,0.04031713306903839,512
3.3375,0.14131300151348114,0.04031762480735779,0.04031762480735779,512
3.338,0.14131349325180054,0.040318120270967484,0.040318120270967484,512
3.3385000000000002,0.14131398499011993,0.04031861573457718,0.04031861573457718,512
3.339,0.14131447672843933,0.04031911492347717,0.04031911492347717,512
3.3395,0.14131498336791992,0.040319617837667465,0.040319617837667465,512
3.34,0.1413154900074005,0.04032012075185776,0.04032012075185776,512
3.3405,0.1413159966468811,0.04032062739133835,0.04032062739133835,512
3.341,0.1413165032863617,0.04032113775610924,0.04032113775610924,512
3.3415,0.14131700992584229,0.04032164812088013,0.04032164812088013,512
3.342,0.14131751656532288,0.040322162210941315,0.040322162210941315,512
3.3425000000000002,0.14131803810596466,0.0403226763010025,0.0403226763010025,512
3.343,0.14131855964660645,0.04032319411635399,0.04032319411635399,512
3.3435,0.14131908118724823,0.04032371565699577,0.04032371565699577,512
3.344,0.14131960272789001,0.04032423719763756,0.04032423719763756,512
3.3445,0.1413201242685318,0.04032476246356964,0.04032476246356964,512
3.345,0.14132064580917358,0.040325287729501724,0.040325287729501724,512
3.3455,0.14132116734981537,0.040325816720724106,0.040325816720724106,512
3.346,0.14132168889045715,0.04032634571194649,0.04032634571194649,512
3.3465000000000003,0.14132222533226013,0.04032687470316887,0.04032687470316887,512
3.347,0.1413227617740631,0.04032740741968155,0.04032740741968155,512
3.3475,0.1413232982158661,0.04032794013619423,0.04032794013619423,512
3.348,0.14132383465766907,0.04032847657799721,0.04032847657799721,512
3.3485,0.14132437109947205,0.040329013019800186,0.040329013019800186,512
3.349,0.14132490754127502,0.040329549461603165,0.040329549461603165,512
3.3495,0.141325443983078,0.04033008962869644,0.04033008962869644,512
3.35,0.14132598042488098,0.04033062979578972,0.04033062979578972,512
3.3505000000000003,0.14132651686668396,0.040331169962882996,0.040331169962882996,512
3.351,0.14132705330848694,0.04033171012997627,0.04033171012997627,512
3.3515,0.14132758975028992,0.04033225402235985,0.04033225402235985,512
3.352,0.1413281261920929,0.04033279791474342,0.04033279791474342,512
