time_s,force_N,x_bottom_m,x_middle_m,x_top_m,slip_ground_bottom_m,slip_bottom_middle_m,slip_middle_top_m,contacts
7.143,8.0,0.0005201782639470963,0.011477496122518301,6.089814213036589,0.0005201782639470963,0.010957317858571205,6.0783367169140705,8
7.1435,8.0,0.0005201782639471337,0.01147749612690415,6.09260060268552,0.0005201782639471337,0.010957317862957016,6.081123106558616,8
7.144,8.0,0.0005201782639471712,0.01147749613129,6.095388992334452,0.0005201782639471712,0.010957317867342829,6.083911496203162,8
7.1445,8.0,0.0005201782639472088,0.01147749613567585,6.098179381983383,0.0005201782639472088,0.01095731787172864,6.086701885847707,8
7.1450000000000005,8.0,0.0005201782639472463,0.011477496140061699,6.100971771632314,0.0005201782639472463,0.010957317876114453,6.089494275492252,8
7.1455,8.0,0.0005201782639472837,0.011477496144447548,6.1037661612812455,0.0005201782639472837,0.010957317880500264,6.092288665136798,8
7.146,8.0,0.0005201782639473211,0.011477496148833397,6.106562550930176,0.0005201782639473211,0.010957317884886075,6.095085054781343,8
7.1465000000000005,8.0,0.0005201782639473586,0.011477496153219247,6.109360940579108,0.0005201782639473586,0.010957317889271888,6.0978834444258885,8
7.147,8.0,0.0005201782639473961,0.011477496157605096,6.112161330228039,0.0005201782639473961,0.0109573178936577,6.100683834070434,8
7.1475,8.0,0.0005201782639474336,0.011477496161990945,6.11496371987697,0.0005201782639474336,0.010957317898043512,6.103486223714979,8
7.148000000000001,8.0,0.000520178263947471,0.011477496166376795,6.117768109525901,0.000520178263947471,0.010957317902429323,6.1062906133595245,8
7.1485,8.0,0.0005201782639475084,0.011477496170762644,6.1205744991748325,0.0005201782639475084,0.010957317906815135,6.10909700300407,8
7.149,8.0,0.0005201782639475459,0.011477496175148493,6.123382888823764,0.0005201782639475459,0.010957317911200947,6.111905392648616,8
7.1495,8.0,0.0005201782639475835,0.011477496179534342,6.126193278472695,0.0005201782639475835,0.010957317915586759,6.114715782293161,8
7.15,8.0,0.000520178263947621,0.011477496183920192,6.129005668121627,0.000520178263947621,0.010957317919972571,6.117528171937707,8
7.1505,8.0,0.0005201782639476584,0.011477496188306041,6.131820057770558,0.0005201782639476584,0.010957317924358383,6.120342561582253,8
7.151,8.0,0.0005201782639476958,0.01147749619269189,6.134636447419489,0.0005201782639476958,0.010957317928744194,6.123158951226798,8
7.1515,8.0,0.0005201782639477333,0.01147749619707774,6.137454837068421,0.0005201782639477333,0.010957317933130007,6.125977340871343,8
7.152,8.0,0.0005201782639477708,0.011477496201463589,6.140275226717352,0.0005201782639477708,0.010957317937515818,6.128797730515889,8
7.1525,8.0,0.0005201782639478082,0.011477496205849438,6.143097616366283,0.0005201782639478082,0.01095731794190163,6.131620120160434,8
7.1530000000000005,8.0,0.0005201782639478456,0.011477496210235288,6.145922006015215,0.0005201782639478456,0.010957317946287442,6.13444450980498,8
7.1535,8.0,0.000520178263947883,0.011477496214621137,6.148748395664146,0.000520178263947883,0.010957317950673255,6.137270899449525,8
7.154,8.0,0.0005201782639479205,0.011477496219006986,6.151576785313077,0.0005201782639479205,0.010957317955059066,6.14009928909407,8
7.1545000000000005,8.0,0.000520178263947958,0.011477496223392836,6.154407174962008,0.000520178263947958,0.010957317959444877,6.142929678738615,8
7.155,8.0,0.0005201782639479955,0.011477496227778685,6.15723956461094,0.0005201782639479955,0.01095731796383069,6.145762068383161,8
7.1555,8.0,0.0005201782639480329,0.011477496232164534,6.160073954259871,0.0005201782639480329,0.010957317968216501,6.148596458027706,8
