time_s,box_vx,box_vy,box_vz,ball_vx,ball_vy,ball_vz
3.250999999999999890e+00,8.048679232597351074e-01,1.403914690017700195e+00,-1.682715606875717640e-03,5.052012205123901367e-01,8.620670437812805176e-01,2.296550665050745010e-03
3.252000000000000224e+00,8.067160248756408691e-01,1.398553371429443359e+00,1.221149414777755737e-02,4.994031488895416260e-01,8.639894127845764160e-01,9.659797884523868561e-03
3.253000000000000114e+00,8.116946816444396973e-01,1.399398088455200195e+00,9.437103755772113800e-03,4.963964223861694336e-01,8.661109805107116699e-01,4.449537489563226700e-03
3.254000000000000004e+00,8.105109333992004395e-01,1.404518485069274902e+00,-8.151393267326056957e-04,4.983094036579132080e-01,8.653622269630432129e-01,-2.792583778500556946e-03
3.254999999999999893e+00,8.062475919723510742e-01,1.405439257621765137e+00,-1.608869788469746709e-04,5.051112174987792969e-01,8.620768189430236816e-01,1.327059580944478512e-03
3.256000000000000227e+00,8.071607947349548340e-01,1.400716543197631836e+00,-1.250082044862210751e-03,5.017965435981750488e-01,8.661766052246093750e-01,1.270307507365942001e-02
3.257000000000000117e+00,8.124142885208129883e-01,1.401520490646362305e+00,1.103937393054366112e-03,4.971596300601959229e-01,8.690714240074157715e-01,9.726062417030334473e-03
3.258000000000000007e+00,8.160458803176879883e-01,1.407045602798461914e+00,-8.127057924866676331e-03,4.971596300601959229e-01,8.690714240074157715e-01,-8.393800089834257960e-05
3.258999999999999897e+00,8.108336329460144043e-01,1.405695796012878418e+00,1.154783181846141815e-02,4.989820420742034912e-01,8.660378456115722656e-01,-5.470296833664178848e-03
3.260000000000000231e+00,8.066840171813964844e-01,1.406399369239807129e+00,7.939803414046764374e-03,5.047588348388671875e-01,8.625440001487731934e-01,-5.909870960749685764e-04
3.261000000000000121e+00,8.077909350395202637e-01,1.401852488517761230e+00,4.632978700101375580e-03,5.017920136451721191e-01,8.665997385978698730e-01,1.100607495754957199e-02
3.262000000000000011e+00,8.130710124969482422e-01,1.402596950531005859e+00,5.426450166851282120e-03,4.971532523632049561e-01,8.695442080497741699e-01,8.064081892371177673e-03
3.262999999999999901e+00,8.125980496406555176e-01,1.407093644142150879e+00,8.480868302285671234e-03,4.971532523632049561e-01,8.695442080497741699e-01,-1.745918532833456993e-03
3.264000000000000234e+00,8.111708760261535645e-01,1.407522320747375488e+00,-2.089910209178924561e-03,5.018250346183776855e-01,8.675944209098815918e-01,-2.315874211490154266e-03
3.265000000000000124e+00,8.108688592910766602e-01,1.408859848976135254e+00,-1.317223906517028809e-02,5.044803619384765625e-01,8.695272207260131836e-01,3.870723303407430649e-03
3.266000000000000014e+00,8.159681558609008789e-01,1.409844517707824707e+00,-2.121882699429988861e-02,5.015604496002197266e-01,8.752914667129516602e-01,5.656081251800060272e-03
3.266999999999999904e+00,8.149944543838500977e-01,1.413609504699707031e+00,-1.076374854892492294e-02,5.022679567337036133e-01,8.735967278480529785e-01,-1.858304138295352459e-03
3.268000000000000238e+00,8.155463933944702148e-01,1.412720203399658203e+00,7.813070900738239288e-03,5.022679567337036133e-01,8.735967278480529785e-01,-1.166830491274595261e-02
3.269000000000000128e+00,8.156691789627075195e-01,1.408315300941467285e+00,5.467801820486783981e-03,4.992152452468872070e-01,8.725453019142150879e-01,-9.472351521253585815e-03
3.270000000000000018e+00,8.107914328575134277e-01,1.409434318542480469e+00,2.379213226959109306e-03,5.045827627182006836e-01,8.690071702003479004e-01,1.697550906101241708e-04
3.270999999999999908e+00,8.076452016830444336e-01,1.411672949790954590e+00,-3.392967395484447479e-03,5.098738074302673340e-01,8.665415048599243164e-01,1.324863638728857040e-02
3.272000000000000242e+00,8.132504224777221680e-01,1.410312175750732422e+00,1.795920194126665592e-03,5.038996934890747070e-01,8.694871068000793457e-01,1.176477316766977310e-02
3.273000000000000131e+00,8.178200721740722656e-01,1.411337733268737793e+00,2.863766858354210854e-03,5.034195184707641602e-01,8.698389530181884766e-01,2.698877826333045959e-03
3.274000000000000021e+00,8.218297362327575684e-01,1.413566350936889648e+00,-9.381167910760268569e-05,5.034195184707641602e-01,8.698389530181884766e-01,-7.111122366040945053e-03
3.274999999999999911e+00,8.160744309425354004e-01,1.411453843116760254e+00,5.835742224007844925e-03,5.003632903099060059e-01,8.722530007362365723e-01,-9.370769374072551727e-03
3.276000000000000245e+00,8.115699291229248047e-01,1.412446260452270508e+00,4.237861372530460358e-03,5.058772563934326172e-01,8.690205812454223633e-01,-2.057463163509964943e-03
3.277000000000000135e+00,8.086558580398559570e-01,1.414579987525939941e+00,-1.334672677330672741e-03,5.112408399581909180e-01,8.667689561843872070e-01,9.800012223422527313e-03
3.278000000000000025e+00,8.131452798843383789e-01,1.413209199905395508e+00,-1.049661263823509216e-02,5.066510438919067383e-01,8.721076846122741699e-01,1.528971362859010696e-02
3.278999999999999915e+00,8.182413578033447266e-01,1.413594245910644531e+00,-4.323579370975494385e-03,5.037159919738769531e-01,8.739179372787475586e-01,9.790249168872833252e-03
3.280000000000000249e+00,8.224623799324035645e-01,1.415564298629760742e+00,-4.047972150146961212e-03,5.037159919738769531e-01,8.739179372787475586e-01,-1.975125087483320385e-05
