time_s,x_m,y_m,z_m
5.500000000000000444e-01,-2.304044552147388458e-02,-3.082860959693789482e-03,4.997331276535987854e-02
5.550000000000000488e-01,-2.304047346115112305e-02,-3.082244889810681343e-03,4.997315257787704468e-02
5.600000000000000533e-01,-2.304069139063358307e-02,-3.080064663663506508e-03,4.997307434678077698e-02
5.650000000000000577e-01,-2.304094657301902771e-02,-3.076856723055243492e-03,4.997292906045913696e-02
5.700000000000000622e-01,-2.304130047559738159e-02,-3.073059953749179840e-03,4.997292160987854004e-02
5.750000000000000666e-01,-2.304169163107872009e-02,-3.068953985348343849e-03,4.997302219271659851e-02
5.799999999999999600e-01,-2.304204180836677551e-02,-3.065087599679827690e-03,4.997307434678077698e-02
5.849999999999999645e-01,-2.304231747984886169e-02,-3.061491996049880981e-03,4.997296258807182312e-02
5.899999999999999689e-01,-2.304253913462162018e-02,-3.058316418901085854e-03,4.997280612587928772e-02
5.949999999999999734e-01,-2.304274402558803558e-02,-3.055605106055736542e-03,4.997272789478302002e-02
5.999999999999999778e-01,-2.304287441074848175e-02,-3.053494961932301521e-03,4.997262731194496155e-02
6.049999999999999822e-01,-2.304308116436004639e-02,-3.051786683499813080e-03,4.997269064188003540e-02
6.099999999999999867e-01,-2.304322272539138794e-02,-3.049884922802448273e-03,4.997249692678451538e-02
6.149999999999999911e-01,-2.304336242377758026e-02,-3.048093989491462708e-03,4.997234418988227844e-02
6.199999999999999956e-01,-2.304354868829250336e-02,-3.046389436349272728e-03,4.997235536575317383e-02
6.250000000000000000e-01,-2.304367348551750183e-02,-3.044961020350456238e-03,4.997240751981735229e-02
6.300000000000000044e-01,-2.304378710687160492e-02,-3.043667413294315338e-03,4.997238144278526306e-02
6.350000000000000089e-01,-2.304387092590332031e-02,-3.042665543034672737e-03,4.997242242097854614e-02
6.400000000000000133e-01,-2.304385043680667877e-02,-3.042227355763316154e-03,4.997229948639869690e-02
6.450000000000000178e-01,-2.304392307996749878e-02,-3.041885094717144966e-03,4.997233301401138306e-02
6.500000000000000222e-01,-2.304396405816078186e-02,-3.041696734726428986e-03,4.997232183814048767e-02
6.550000000000000266e-01,-2.304397150874137878e-02,-3.041823161765933037e-03,4.997232183814048767e-02
6.600000000000000311e-01,-2.304396033287048340e-02,-3.041993128135800362e-03,4.997229203581809998e-02
6.650000000000000355e-01,-2.304393798112869263e-02,-3.042266005650162697e-03,4.997234418988227844e-02
6.700000000000000400e-01,-2.304388768970966339e-02,-3.042862983420491219e-03,4.997239261865615845e-02
6.750000000000000444e-01,-2.304377034306526184e-02,-3.043644130229949951e-03,4.997231438755989075e-02
6.800000000000000488e-01,-2.304372750222682953e-02,-3.044306766241788864e-03,4.997230693697929382e-02
6.850000000000000533e-01,-2.304368466138839722e-02,-3.044887911528348923e-03,4.997237026691436768e-02
6.900000000000000577e-01,-2.304362505674362183e-02,-3.045252291485667229e-03,4.997232556343078613e-02
6.950000000000000622e-01,-2.304368093609809875e-02,-3.045494901016354561e-03,4.997245222330093384e-02
7.000000000000000666e-01,-2.304366603493690491e-02,-3.045523306354880333e-03,4.997247830033302307e-02
