time_s,x_m,y_m,z_m
3.500000000000000333e-01,-6.007012871123151854e-06,-5.900050837226444855e-06,3.889965638518333435e-02
3.549999999999999822e-01,-8.851744496496394277e-06,-5.586819042946444824e-06,3.848860785365104675e-02
3.599999999999999867e-01,-1.692189107416197658e-05,-9.076740752789191902e-06,3.816556185483932495e-02
3.649999999999999911e-01,-2.316617064934689552e-05,-1.248000717168906704e-05,3.791544213891029358e-02
3.699999999999999956e-01,-1.858838186308275908e-05,-1.004081968858372420e-05,3.771610185503959656e-02
3.750000000000000000e-01,-2.078475517919287086e-05,-1.252047059097094461e-05,3.756142407655715942e-02
3.800000000000000044e-01,-1.521589820185909048e-05,-9.239285645890049636e-06,3.743804991245269775e-02
3.850000000000000089e-01,-9.934346053341869265e-06,-6.118810688349185511e-06,3.734146803617477417e-02
3.900000000000000133e-01,-5.838598099217051640e-06,-3.692288146339706145e-06,3.726601973176002502e-02
3.950000000000000178e-01,-3.327217655169079080e-06,-2.226718606834765524e-06,3.720730915665626526e-02
4.000000000000000222e-01,-3.340922148709069006e-06,-2.253966158605180681e-06,3.716192021965980530e-02
4.050000000000000266e-01,-1.426287212780152913e-06,-1.031966007758455817e-06,3.712593019008636475e-02
4.100000000000000311e-01,6.750824468326754868e-07,3.048874646083277185e-07,3.709769248962402344e-02
4.150000000000000355e-01,1.435343392586219124e-06,9.551364428261877038e-07,3.707601130008697510e-02
4.199999999999999845e-01,2.020170313699054532e-06,1.435781996406149119e-06,3.705907240509986877e-02
4.249999999999999889e-01,2.480823013684130274e-06,1.822074068513757084e-06,3.704584017395973206e-02
4.299999999999999933e-01,2.909418071794789284e-06,2.097781816701171920e-06,3.703550994396209717e-02
4.349999999999999978e-01,3.186355115758487955e-06,2.363308794883778319e-06,3.702743351459503174e-02
4.400000000000000022e-01,3.394606437723268755e-06,2.556606887083034962e-06,3.702113032341003418e-02
4.450000000000000067e-01,3.511056547722546384e-06,2.651234353834297508e-06,3.701620548963546753e-02
4.500000000000000111e-01,3.516289325489196926e-06,2.665776264620944858e-06,3.701236844062805176e-02
4.550000000000000155e-01,3.500234470266150311e-06,2.672461960173677653e-06,3.700935468077659607e-02
4.600000000000000200e-01,3.514326635922770947e-06,2.665369720489252359e-06,3.700701147317886353e-02
4.650000000000000244e-01,3.524098929119645618e-06,2.668466322575113736e-06,3.700517863035202026e-02
4.700000000000000289e-01,3.518826133586117066e-06,2.668869228727999143e-06,3.700374066829681396e-02
4.750000000000000333e-01,3.517026243571308441e-06,2.662274482645443641e-06,3.700263053178787231e-02
4.799999999999999822e-01,3.514451691444264725e-06,2.669032937774318270e-06,3.700175508856773376e-02
4.849999999999999867e-01,3.514050604280782863e-06,2.658431867530453019e-06,3.700106963515281677e-02
4.899999999999999911e-01,3.513422143441857770e-06,2.663748091435991228e-06,3.700052946805953979e-02
4.949999999999999956e-01,3.522790620991145261e-06,2.661478220034041442e-06,3.700011223554611206e-02
5.000000000000000000e-01,3.522042106851586141e-06,2.658894572959979996e-06,3.699979931116104126e-02
5.050000000000000044e-01,3.517701316013699397e-06,2.664442490640794858e-06,3.699955344200134277e-02
5.100000000000000089e-01,3.508057261569774710e-06,2.667406306500197388e-06,3.699935227632522583e-02
5.150000000000000133e-01,3.508420149955782108e-06,2.668535444172448479e-06,3.699919581413269043e-02
5.200000000000000178e-01,3.515318212521378882e-06,2.657366167113650590e-06,3.699908033013343811e-02
5.250000000000000222e-01,3.506650045892456546e-06,2.665746706043137237e-06,3.699898347258567810e-02
5.300000000000000266e-01,3.523412033246131614e-06,2.670539515747805126e-06,3.699890524148941040e-02
5.350000000000000311e-01,3.513823003231664188e-06,2.664849716893513687e-06,3.699883073568344116e-02
5.400000000000000355e-01,3.520443442539544776e-06,2.655149728525429964e-06,3.699878603219985962e-02
5.450000000000000400e-01,3.517709956213366240e-06,2.667288981683668680e-06,3.699874877929687500e-02
5.500000000000000444e-01,3.529831928972271271e-06,2.674085408216342330e-06,3.699873015284538269e-02
5.550000000000000488e-01,3.510881015245104209e-06,2.676688609426491894e-06,3.699870780110359192e-02
5.600000000000000533e-01,3.516304786899127066e-06,2.667853550519794226e-06,3.699868917465209961e-02
5.650000000000000577e-01,3.516744527587434277e-06,2.663925670276512392e-06,3.699866682291030884e-02
5.700000000000000622e-01,3.513601768645457923e-06,2.667092758201761171e-06,3.699866309762001038e-02
5.750000000000000666e-01,3.516412334647611715e-06,2.674925781320780516e-06,3.699866309762001038e-02
5.799999999999999600e-01,3.520797463352209888e-06,2.672125219760346226e-06,3.699865564703941345e-02
5.849999999999999645e-01,3.510614078550133854e-06,2.664240810190676711e-06,3.699865192174911499e-02
5.899999999999999689e-01,3.513740466587478295e-06,2.676204985618824139e-06,3.699864819645881653e-02
5.949999999999999734e-01,3.507784413159242831e-06,2.674629513421677984e-06,3.699864447116851807e-02
5.999999999999999778e-01,3.509409225443960167e-06,2.662072120074299164e-06,3.699864074587821960e-02
6.049999999999999822e-01,3.517988488965784200e-06,2.675071755220415071e-06,3.699864074587821960e-02
6.099999999999999867e-01,3.516829792715725489e-06,2.662771066752611659e-06,3.699864447116851807e-02
6.149999999999999911e-01,3.522191718730027787e-06,2.663750819920096546e-06,3.699864447116851807e-02
6.199999999999999956e-01,3.512213424983201548e-06,2.667184844540315680e-06,3.699863702058792114e-02
6.250000000000000000e-01,3.523973873598151840e-06,2.669469495231169276e-06,3.699863702058792114e-02
6.300000000000000044e-01,3.516730203045881353e-06,2.678583769011311233e-06,3.699863702058792114e-02
6.350000000000000089e-01,3.505714630591683090e-06,2.666069121914915740e-06,3.699863702058792114e-02
6.400000000000000133e-01,3.503670086502097547e-06,2.660927520992117934e-06,3.699862957000732422e-02
6.450000000000000178e-01,3.506758503135642968e-06,2.669033392521669157e-06,3.699862957000732422e-02
6.500000000000000222e-01,3.516613332976703532e-06,2.666543196028214879e-06,3.699864074587821960e-02
6.550000000000000266e-01,3.517746336001437157e-06,2.669603418326005340e-06,3.699864074587821960e-02
6.600000000000000311e-01,3.522301767588942312e-06,2.663269242475507781e-06,3.699863329529762268e-02
6.650000000000000355e-01,3.517782715789508075e-06,2.658296807567239739e-06,3.699862957000732422e-02
6.700000000000000400e-01,3.519700385368196294e-06,2.670293042683624662e-06,3.699863702058792114e-02
6.750000000000000444e-01,3.525914507918059826e-06,2.680493480511358939e-06,3.699863329529762268e-02
6.800000000000000488e-01,3.510448777888086624e-06,2.671800302778137848e-06,3.699864074587821960e-02
6.850000000000000533e-01,3.505366066747228615e-06,2.666004320417414419e-06,3.699862957000732422e-02
6.900000000000000577e-01,3.509981070237699896e-06,2.670849198693758808e-06,3.699863329529762268e-02
6.950000000000000622e-01,3.505346285237465054e-06,2.677564907571650110e-06,3.699863329529762268e-02
7.000000000000000666e-01,3.503779225866310298e-06,2.689474513317691162e-06,3.699863702058792114e-02
7.049999999999999600e-01,3.513905085128499195e-06,2.679305907804518938e-06,3.699864074587821960e-02
7.099999999999999645e-01,3.519203573887352832e-06,2.665337433427339420e-06,3.699863702058792114e-02
7.149999999999999689e-01,3.514424406603211537e-06,2.679275439732009545e-06,3.699863702058792114e-02
7.199999999999999734e-01,3.509924454192514531e-06,2.669054993020836264e-06,3.699863329529762268e-02
7.249999999999999778e-01,3.507640485622687265e-06,2.660593281689216383e-06,3.699862211942672729e-02
7.299999999999999822e-01,3.510772558001917787e-06,2.671560878297896124e-06,3.699862957000732422e-02
7.349999999999999867e-01,3.515804792186827399e-06,2.680941179278306663e-06,3.699862211942672729e-02
7.399999999999999911e-01,3.504650749164284207e-06,2.677725433386513032e-06,3.699861466884613037e-02
