time_s,box_vx,box_vy,box_vz,ball_vx,ball_vy,ball_vz
3.214999999999756941e+00,1.230254000996968911e+00,2.135960164149557361e+00,-8.989234619233214818e-02,3.357358740670235986e-01,5.735962990814036377e-01,-1.275357292529695485e-01
3.215999999999756831e+00,1.205835318792907618e+00,2.093642853303639750e+00,-9.015773272116878873e-03,3.357358740670235986e-01,5.735962990814036377e-01,-1.373457292529695617e-01
3.216999999999756721e+00,1.206828408635143068e+00,2.094881224023553923e+00,3.033714527681257486e-03,3.357358740670235986e-01,5.735962990814036377e-01,-1.471557292529695748e-01
3.217999999999756611e+00,1.187323126075185087e+00,2.060402371023971391e+00,7.881398127860332614e-02,3.304602154286392923e-01,5.663857594406456197e-01,-1.036937387513373054e-01
3.218999999999756501e+00,1.188646165441132441e+00,2.061905864795703369e+00,8.162790671914944840e-02,3.303190506159043860e-01,5.666516422858236535e-01,-1.131274435092383124e-01
3.219999999999756390e+00,1.192446764245405078e+00,2.065829645788353819e+00,7.295727308380428600e-02,3.287727414763411127e-01,5.728546698227380274e-01,-1.110619171857772369e-01
3.220999999999756280e+00,1.197962311443332872e+00,2.075401005406339650e+00,5.744746060830734080e-02,3.306332115544778349e-01,5.769358480304208614e-01,-1.152653093121939476e-01
3.221999999999756170e+00,1.203510845885504832e+00,2.085019148547208712e+00,4.224259613310495792e-02,3.324044863896859492e-01,5.807594832868452350e-01,-1.198077040206184940e-01
3.222999999999756060e+00,1.201857059715689680e+00,2.084194149210427227e+00,2.823296389364402317e-02,3.346167816332863976e-01,5.822178139640843408e-01,-5.770467654792603429e-02
3.223999999999755950e+00,1.200801523076069355e+00,2.084248010085389513e+00,1.448567616021015358e-02,3.367612567902295018e-01,5.837454984993112328e-01,-1.394317079975670136e-03
3.224999999999755840e+00,1.206282363132317847e+00,2.093890493640882866e+00,-4.860707154954201407e-04,3.380969994485326646e-01,5.866087480791563058e-01,-7.254844353289351642e-03
3.225999999999755730e+00,1.211712088064736070e+00,2.103344373841635306e+00,-1.558274499833327449e-02,3.393132507069443471e-01,5.891165101875019960e-01,-1.358087429385927518e-02
3.226999999999755619e+00,1.213269559624819083e+00,2.108302921941319852e+00,-2.035774273620915772e-02,3.420305052979428218e-01,5.889078102148843641e-01,-1.998413317924933180e-02
3.227999999999755509e+00,1.215234385710673104e+00,2.113807364252085375e+00,-2.516668479803750927e-02,3.449034621644982979e-01,5.889105249899876382e-01,-2.620280168922759292e-02
3.228999999999755399e+00,1.220682065249122594e+00,2.123469908474816314e+00,-3.989127633139458173e-02,3.460395975740793162e-01,5.908007393565998244e-01,-3.325607655785718653e-02
3.229999999999755289e+00,1.226203668689237691e+00,2.133234726262568159e+00,-5.445393444956324325e-02,3.471166970447102651e-01,5.925959033464730519e-01,-4.044920153294161852e-02
3.230999999999755179e+00,1.231793372234189832e+00,2.143094521405467745e+00,-6.886707237827768835e-02,3.481382128438858525e-01,5.943009408104136249e-01,-4.777467508957031206e-02
3.231999999999755069e+00,1.234946583328592418e+00,2.144503607617548102e+00,-7.471057064415435878e-02,3.462495520851050501e-01,5.983076402300532282e-01,-5.204756506278697403e-02
3.232999999999754959e+00,1.235437176223948663e+00,2.143737537059054343e+00,-6.917828616790651364e-02,3.462495520851050501e-01,5.983076402300532282e-01,-6.185756506278697331e-02
3.233999999999754849e+00,1.208918483367050101e+00,2.097718786494259913e+00,6.990139561370207512e-03,3.391164185013845200e-01,5.872053703741956232e-01,1.130665146412669110e-02
3.234999999999754738e+00,1.206705353987231666e+00,2.090686142939476966e+00,4.273313142317283764e-03,3.372032199277198439e-01,5.895399075763995134e-01,6.925513603935405660e-02
3.235999999999754628e+00,1.183235741893710058e+00,2.050324628798098736e+00,7.492604110301674669e-02,3.310245432264419807e-01,5.794894823734627609e-01,1.366924942446019475e-01
3.236999999999754518e+00,1.180427150568046812e+00,2.050155376601573209e+00,7.410597316866868178e-02,3.343796358371300403e-01,5.783127968635998206e-01,1.757111962228877500e-01
3.237999999999754408e+00,1.183026088852120461e+00,2.056255026268860142e+00,6.782616746237223049e-02,3.343796358371300403e-01,5.783127968635998206e-01,1.659011962228877368e-01
3.238999999999754298e+00,1.188776064370899110e+00,2.066117324746790995e+00,5.245514046657566432e-02,3.343796358371300403e-01,5.783127968635998206e-01,1.560911962228877237e-01
3.239999999999754188e+00,1.192063141100021539e+00,2.071660710333143474e+00,5.291784887160479872e-02,3.343796358371300403e-01,5.783127968635998206e-01,1.462811962228877105e-01
3.240999999999754078e+00,1.197752612940196748e+00,2.081306603306859682e+00,3.772162886247151098e-02,3.343796358371300403e-01,5.783127968635998206e-01,1.364711962228876974e-01
3.241999999999753967e+00,1.203453036868723958e+00,2.090999990289676980e+00,2.279471587857899439e-02,3.343796358371300403e-01,5.783127968635998206e-01,1.266611962228876842e-01
3.242999999999753857e+00,1.209218432950650568e+00,2.100826275252638986e+00,8.219249165695892423e-03,3.343796358371300403e-01,5.783127968635998206e-01,1.168511962228876849e-01
3.243999999999753747e+00,1.215015705840161830e+00,2.110731426601988314e+00,-6.152038355987166258e-03,3.343796358371300403e-01,5.783127968635998206e-01,1.070411962228876857e-01
3.244999999999753637e+00,1.220865636870315019e+00,2.120740559128709624e+00,-2.030254180649662329e-02,3.343796358371300403e-01,5.783127968635998206e-01,9.723119622288768638e-02
3.245999999999753527e+00,1.226750675967180682e+00,2.130828017440338673e+00,-3.427747402566869855e-02,3.343796358371300403e-01,5.783127968635998206e-01,8.742119622288768710e-02
3.246999999999753417e+00,1.230377943917559058e+00,2.133292177663598022e+00,-3.925335319617646174e-02,3.343796358371300403e-01,5.783127968635998206e-01,7.761119622288768782e-02
3.247999999999753307e+00,1.234033151787732097e+00,2.136306961374370594e+00,-4.549637944236789577e-02,3.343796358371300403e-01,5.783127968635998206e-01,6.780119622288768855e-02
3.248999999999753197e+00,1.240032766171553558e+00,2.146521807384938363e+00,-5.926605607883322219e-02,3.343796358371300403e-01,5.783127968635998206e-01,5.799119622288768927e-02
3.249999999999753086e+00,1.239409392357819772e+00,2.146829777718454402e+00,-6.962772974031913864e-02,3.343796358371300403e-01,5.783127968635998206e-01,4.818119622288768999e-02
3.250999999999752976e+00,1.234913813671115079e+00,2.144246355730171416e+00,-6.882593662278697899e-02,3.343796358371300403e-01,5.783127968635998206e-01,3.837119622288769072e-02
3.251999999999752866e+00,1.231335817728096860e+00,2.142794957916295484e+00,-6.906433398659318768e-02,3.343796358371300403e-01,5.783127968635998206e-01,2.856119622288769144e-02
3.252999999999752756e+00,1.231926682685184460e+00,2.143579539721064187e+00,-5.400563474108884682e-02,3.343796358371300403e-01,5.783127968635998206e-01,1.875119622288769217e-02
3.253999999999752646e+00,1.211522480000406521e+00,2.107230884052050168e+00,2.924130009435058769e-02,3.343796358371300403e-01,5.783127968635998206e-01,8.941196222887691156e-03
3.254999999999752536e+00,1.212847471519444165e+00,2.108057200914099649e+00,3.834640769650915493e-02,3.343796358371300403e-01,5.783127968635998206e-01,-8.688037771123095299e-04
3.255999999999752426e+00,1.214620967169202981e+00,2.110170897062749074e+00,4.698169483068618396e-02,3.343796358371300403e-01,5.783127968635998206e-01,-1.067880377711231087e-02
