time_s,force_command_N,ground_bottom_slip_m,ground_bottom_vt_m_s,ground_bottom_Fn_N,ground_bottom_Ft_N,ground_bottom_rho,ground_bottom_point_rho_max,ground_bottom_contacts,ground_bottom_gap_m,ground_bottom_dist_min_m,bottom_middle_slip_m,bottom_middle_vt_m_s,bottom_middle_Fn_N,bottom_middle_Ft_N,bottom_middle_rho,bottom_middle_point_rho_max,bottom_middle_contacts,bottom_middle_gap_m,bottom_middle_dist_min_m,middle_top_slip_m,middle_top_vt_m_s,middle_top_Fn_N,middle_top_Ft_N,middle_top_rho,middle_top_point_rho_max,middle_top_contacts,middle_top_gap_m,middle_top_dist_min_m,box_0_vz_m_s,box_1_vz_m_s,box_2_vz_m_s,solver_iterations
1.33,0.0,0.0,-4.1732376593471004e-10,29.429999269679588,3.5621899919612682e-06,2.4207883658571706e-07,2.420790938944362e-07,4,-0.0007357506462655275,-0.0007357532222180448,0.0,-1.0805440332652455e-09,19.619999605251053,3.408612409234297e-06,3.474630456487903e-07,9.231755072721127e-08,4,-0.0004904999019697334,-0.0004905005790057208,0.0,-1.4286871819332197e-09,9.809999822371262,2.4456317872518895e-06,4.985997617807774e-07,1.7602846298558062e-07,4,-0.00024524997219023403,-0.0002452502810626495,1.523496385420641e-08,1.2095843988871785e-08,1.1185482624510479e-08,1
1.335,0.0,0.0,-4.108393787655041e-10,29.429999310526608,4.469927688598866e-06,3.0376675455782626e-07,3.0376676252389997e-07,4,-0.0007357505745304999,-0.0007357528345832975,0.0,-1.0509461459658145e-09,19.619999614911052,4.218246446606465e-06,4.299945493781386e-07,2.0614835292867642e-07,4,-0.0004904999161642401,-0.0004905004148089176,0.0,-1.375641150072173e-09,9.809999822966637,2.9555709722012147e-06,6.025629002116377e-07,3.2903718051348485e-07,4,-0.0002452499762481686,-0.00024525022285046776,1.3643800600606096e-08,1.1034131224055749e-08,1.0297087973333187e-08,1
1.34,0.0,0.0,-4.012568785018753e-10,29.429999355060634,5.204970419185572e-06,3.537186906727235e-07,3.537189453457976e-07,4,-0.0007357505103348268,-0.0007357524639065513,0.0,-1.0150062733031575e-09,19.61999963050281,4.8710949076311015e-06,4.965438327591108e-07,3.0306859958633646e-07,4,-0.0004904999279909325,-0.0004905002592052835,0.0,-1.3161786551516706e-09,9.809999827444559,3.3633469074616974e-06,6.856976486487518e-07,4.5919526889143253e-07,4,-0.00024524997954533667,-0.0002452501686087912,1.2202392939821163e-08,1.002375198689057e-08,9.422899298995216e-09,1
1.345,0.0,0.0,-3.8909493456487804e-10,29.42999940132988,5.784224781975213e-06,3.930835813550058e-07,3.93084056836112e-07,4,-0.0007357504529604576,-0.0007357521111408284,0.0,-9.739870837138384e-10,19.61999965003998,5.382715594412242e-06,5.486968084019587e-07,3.844976746192663e-07,4,-0.0004904999378876479,-0.0004905001129166232,0.0,-1.251825882981342e-09,9.809999834619402,3.6793332224062003e-06,7.501189162963828e-07,5.684239058592087e-07,4,-0.00024524998224444844,-0.00024525011837722,1.089959744433754e-08,9.072663010426448e-09,8.578946268867808e-09,1
1.35,0.0,0.0,-3.7482716490948196e-10,29.429999447870923,6.223797846093628e-06,4.2295602873644503e-07,4.2295669476884937e-07,4,-0.0007357504017443985,-0.0007357517769565926,0.0,-9.290232980447994e-10,19.619999671994236,5.767899835974981e-06,5.87961257125619e-07,4.518103808977329e-07,4,-0.0004904999462073539,-0.0004904999764042227,0.0,-1.1839397579901615e-09,9.80999984357315,3.913360137350896e-06,7.978308256375081e-07,6.585842900902291e-07,4,-0.0002452499844725689,-0.0002452500721355309,9.72453069199174e-09,8.185358397531013e-09,7.77609040263462e-09,1
1.355,0.0,0.0,-3.588720077279196e-10,29.4299994936093,6.5348431530153625e-06,4.4409400376880047e-07,4.440948272427105e-07,4,-0.0007357503560770362,-0.0007357514617740424,0.0,-8.812135736819766e-10,19.619999695203855,6.036066764713583e-06,6.152973352175036e-07,5.160425134315611e-07,4,-0.0004904999532346424,-0.0004905000552566611,0.0,-1.1136822447970314e-09,9.809999853602585,4.0731461598305195e-06,8.304069766799667e-07,7.311518334609979e-07,4,-0.0002452499863288826,-0.0002452500298157829,8.666698465732858e-09,7.3637122464142174e-09,7.021213240966287e-09,1
1.36,0.0,0.0,-3.41616197529929e-10,29.429999537778443,6.73610485054713e-06,4.577713188136606e-07,4.577722672567887e-07,4,-0.0007357503153999599,-0.0007357511657982013,0.0,-8.3148183402437e-10,19.61999971879973,6.205389509521212e-06,6.325575533597237e-07,5.707770548970091e-07,4,-0.0004904999591991768,-0.0004905001837782168,0.0,-1.04210197510052e-09,9.80999986417592,4.168834313229513e-06,8.499152642097844e-07,7.881343909849452e-07,4,-0.0002452499878905848,-0.00024524999131292396,7.716087310606787e-09,6.6076516171997014e-09,6.318168522524328e-09,1
1.365,0.0,0.0,-3.234154825716553e-10,29.429999579852698,6.841904831467382e-06,4.6496125920105276e-07,4.649623015132744e-07,4,-0.0007357502792033378,-0.0007357508890373787,0.0,-7.805716045653089e-10,19.61999974214382,6.28905343915046e-06,6.410859859127882e-07,6.142373681313489e-07,4,-0.0004904999642864338,-0.0004905003004973263,0.0,-9.701399254093677e-10,9.809999874897208,4.208939430019894e-06,8.580916378582515e-07,8.312425969700734e-07,4,-0.0002452499892177176,-0.0002452500216967057,6.8632257194793804e-09,5.9156875205112224e-09,5.668536870940724e-09,1
1.37,0.0,0.0,-3.045822105927301e-10,29.429999619494136,6.8640306159458695e-06,4.664648796936582e-07,4.664659867280227e-07,4,-0.0007357502470231245,-0.0007357506313266371,0.0,-7.2914070397998e-10,19.619999764780303,6.297583697604149e-06,6.419555324265486e-07,6.47501377505964e-07,4,-0.0004904999686464809,-0.0004905004059209677,0.0,-8.986166401416953e-10,9.80999988547775,4.200173271876697e-06,8.563044487073708e-07,8.68320449227543e-07,4,-0.00024524999035686196,-0.0002452500553047448,6.099220829016026e-09,5.2853344529900955e-09,5.07222524419694e-09,1
1.375,0.0,0.0,-2.8539204632322893e-10,29.429999656509096,6.814541480340984e-06,4.6310170301573877e-07,4.631028484996151e-07,4,-0.0007357502184380943,-0.0007357503923536221,0.0,-6.777718024891279e-10,19.61999978639554,6.242078443810332e-06,6.362975037480453e-07,6.717310115228957e-07,4,-0.0004904999724009498,-0.0004905005005942284,0.0,-8.282038710695044e-10,9.80999989571286,4.150781447225559e-06,8.462347586852723e-07,8.910126610844303e-07,4,-0.0002452499913441625,-0.0002452500852530686,5.415776299601425e-09,4.7134374920908855e-09,4.527936375998588e-09,1
1.3800000000000001,0.0,0.0,-2.660853684049242e-10,29.429999690813467,6.703785833810384e-06,4.555749849975677e-07,4.5557614566561347e-07,4,-0.0007357501930668545,-0.0007357502192588267,0.0,-6.26968997892648e-10,19.619999806786055,6.131823560489159e-06,6.250584730758579e-07,6.879252368861819e-07,4,-0.0004904999756486575,-0.0004905005850920073,0.0,-7.59458999880118e-10,9.809999905463357,4.0665665145367915e-06,8.290655563150517e-07,9.038244215108284e-07,4,-0.00024524999220768007,-0.0002452501117863503,4.805194921255071e-09,4.1964248185288066e-09,4.033536714343934e-09,1
1.385,0.0,0.0,-2.4686955674361735e-10,29.429999722404876,6.5414870019811154e-06,4.4454550211912654e-07,4.445466579317208e-07,4,-0.0007357501705648785,-0.000735750376626907,0.0,-5.77160683341899e-10,19.619999825832657,5.975617900169757e-06,6.09135367300255e-07,6.970512065848685e-07,4,-0.0004904999784700742,-0.0004905006600086149,0.0,-6.928447725130782e-10,9.809999914640315,3.953307629382943e-06,8.059750588749912e-07,9.080257144278557e-07,4,-0.00024524999296920286,-0.0002452501351439856,4.260370077348461e-09,3.730500582447201e-09,3.5863406688162575e-09,1
1.3900000000000001,0.0,0.0,-2.2792192793184862e-10,29.429999751340226,6.336534040130776e-06,4.306173356214326e-07,4.306184697635762e-07,4,-0.0007357501506215849,-0.0007357505220428225,0.0,-5.287057689064757e-10,19.61999984347947,5.781503893401645e-06,5.893480060677041e-07,7.000134301280402e-07,4,-0.0004904999809310015,-0.0004905007259493348,0.0,-6.28735597646496e-10,9.80999992319296,3.816263500321446e-06,7.780353782264512e-07,9.047947832988874e-07,4,-0.0002452499936457103,-0.00024525015555936847,3.774768635624191e-09,3.311789903873626e-09,3.1833269815050417e-09,1
1.395,0.0,0.0,-2.093922686110569e-10,29.42999977771882,6.097001865898663e-06,4.143392396838988e-07,4.1434033844585035e-07,4,-0.0007357501329575307,-0.0007357506556379748,0.0,-4.818993858671417e-10,19.619999859718167,5.556783212657723e-06,5.664406985105395e-07,6.976523770341786e-07,4,-0.0004904999830854101,-0.0004905007835232396,0.0,-5.674265656631071e-10,9.809999931099501,3.6601903611083925e-06,7.462161848757852e-07,8.952186144983303e-07,4,-0.00024524999425052513,-0.0002452501732593149,3.3424075287073907e-09,2.9364460323343686e-09,2.8213042292845163e-09,1
