time_s,force_command_N,ground_bottom_slip_m,ground_bottom_vt_m_s,ground_bottom_Fn_N,ground_bottom_Ft_N,ground_bottom_rho,ground_bottom_point_rho_max,ground_bottom_contacts,ground_bottom_phi_min_m,bottom_middle_slip_m,bottom_middle_vt_m_s,bottom_middle_Fn_N,bottom_middle_Ft_N,bottom_middle_rho,bottom_middle_point_rho_max,bottom_middle_contacts,bottom_middle_phi_min_m,middle_top_slip_m,middle_top_vt_m_s,middle_top_Fn_N,middle_top_Ft_N,middle_top_rho,middle_top_point_rho_max,middle_top_contacts,middle_top_phi_min_m,solver_iterations,line_search_iterations,truncated_contacts
4.5005,4.8,3.678435297715943e-05,0.0001230773632414639,9.720144663814327,0.01769043143726568,0.0036399522947683574,0.004571294819513522,4,-5.967915058135986e-06,-0.002823688329789187,-0.001305220474023372,0.0,0.0,nan,nan,0,nan,0.07709870711460098,0.001187839605336194,0.0,0.0,nan,nan,0,nan,-1,-1,0
4.501,4.8008,3.683970118673052e-05,0.0001106974741560407,9.58107070677858,0.025025402399230328,0.005223926044408571,0.0059338876537966614,4,-5.463138222694397e-06,-0.002824334835002995,-0.0012928405849379487,0.0,0.0,nan,nan,0,nan,0.07709929827160522,0.0011871457923007256,0.0,0.0,nan,nan,0,nan,-1,-1,0
4.5015,4.8016000000000005,3.6887358709103424e-05,9.5318493549712e-05,9.592091881759703,0.030910126090045766,0.006444918683238299,0.006944245988108813,4,-5.023553967475891e-06,-0.002824973649529605,-0.00127746160433162,0.0,0.0,nan,nan,0,nan,0.07709988942860946,0.001187179464068322,0.0,0.0,nan,nan,0,nan,-1,-1,0
4.502,4.8024000000000004,3.6928060415997166e-05,8.140220597852021e-05,9.62071097145347,0.027928123393196943,0.005805833576346934,0.006173470430172424,4,-4.647299647331238e-06,-0.002825605508240736,-0.0012635453167604282,0.0,0.0,nan,nan,0,nan,0.0771004805856137,0.0011872122963723086,0.0,0.0,nan,nan,0,nan,-1,-1,0
4.5025,4.8031999999999995,3.6962857683287e-05,6.95932685630396e-05,9.647338808993876,0.023784121032879375,0.004930711257016551,0.0051935213626318226,4,-4.325062036514282e-06,-0.002826231462512263,-0.0012517363793449476,0.0,0.0,nan,nan,0,nan,0.07710107174261793,0.0011872858940478181,0.0,0.0,nan,nan,0,nan,-1,-1,0
4.503,4.804,3.6992434450988654e-05,5.915670408285223e-05,9.671389351616185,0.020995025155237348,0.0043416771659035465,0.004531001676493826,4,-4.049390554428101e-06,-0.002826852196284202,-0.0012412998148647603,0.0,0.0,nan,nan,0,nan,0.07710166289962217,0.0011873264152200136,0.0,0.0,nan,nan,0,nan,-1,-1,0
4.5035,4.8048,3.668214032459538e-05,-0.0006205887184478343,87.25960476325437,1.5625265603842504,0.03581328530248492,0.04041901779081984,4,-3.818422555923462e-06,-0.002827181487935926,-0.0006586425588466227,88.64835289318835,0.19513865796263474,0.004402533190836736,0.004368773916355147,4,-0.00010933727025985718,0.07710230248540029,0.001284489696899982,0.0,0.0,nan,nan,0,nan,-1,-1,0
4.5040000000000004,4.8056,3.667760376502294e-05,-9.07345656742109e-06,20.790637585473746,1.2300659662922229,0.1183288353938371,0.13279195535497998,4,-6.757676601409912e-06,-0.0028278165371544706,-0.0012701578207270359,0.0,0.0,nan,nan,0,nan,0.0771029420711784,0.0012844212033087388,0.0,0.0,nan,nan,0,nan,-1,-1,0
4.5045,4.806400000000001,3.67325772627769e-05,0.00010994741023750976,11.109010664053049,0.23943238278576273,0.043105977665594826,0.044030786598432216,4,-6.616115570068359e-06,-0.0028285110964303417,-0.0013891786875319667,0.0,0.0,nan,nan,0,nan,0.07710358165695652,0.0012845844780713378,0.0,0.0,nan,nan,0,nan,-1,-1,0
4.505,4.8072,3.6792462031920437e-05,0.00011976714449701831,9.736751920170265,0.01984013687271767,0.0040753091041824,0.004954014298970573,4,-6.083399057388306e-06,-0.0028292105669776024,-0.0013989984217914753,0.0,0.0,nan,nan,0,nan,0.07710422124273464,0.0012846423828705156,0.0,0.0,nan,nan,0,nan,-1,-1,0
