time_s,mechanical_energy_J,energy_error_J,ball_0_height_m
1.490700000000000003e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.490799999999999947e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.490900000000000070e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.491000000000000014e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.491099999999999959e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.491200000000000081e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.491300000000000026e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.491399999999999970e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.491500000000000092e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.491600000000000037e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.491699999999999982e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.491800000000000104e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.491900000000000048e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.491999999999999993e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.492100000000000115e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.492200000000000060e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.492300000000000004e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.492399999999999949e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.492500000000000071e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.492600000000000016e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.492699999999999960e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.492800000000000082e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.492900000000000027e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.492999999999999972e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.493100000000000094e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.493200000000000038e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.493299999999999983e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.493400000000000105e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.493500000000000050e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.493599999999999994e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.493700000000000117e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.493800000000000061e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.493900000000000006e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.493999999999999950e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.494100000000000072e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.494200000000000017e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.494299999999999962e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.494400000000000084e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.494500000000000028e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.494599999999999973e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.494700000000000095e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
1.494800000000000040e+01,3.863787010432097873e+02,-2.364812129895679391e+04,8.038001507520675659e-02
