time_s,mechanical_energy_J,energy_error_J,ball_0_height_m
1.167800000000000082e+01,1.554293759994506945e+04,-8.491562400054934187e+03,3.217972040176391602e+00
1.167900000000000027e+01,1.554291239547729674e+04,-8.491587604522706897e+03,3.217410802841186523e+00
1.167999999999999972e+01,1.554288794670105199e+04,-8.491612053298951651e+03,3.216839790344238281e+00
1.168100000000000094e+01,1.554286575050354077e+04,-8.491634249496462871e+03,3.216259002685546875e+00
1.168200000000000038e+01,1.554284131622314635e+04,-8.491658683776857288e+03,3.215668439865112305e+00
1.168299999999999983e+01,1.554281911544799914e+04,-8.491680884552004500e+03,3.215068101882934570e+00
1.168400000000000105e+01,1.554279618301391747e+04,-8.491703816986086167e+03,3.214457988739013672e+00
1.168500000000000050e+01,1.554277249984741320e+04,-8.491727500152590437e+03,3.213838100433349609e+00
1.168599999999999994e+01,1.554274656906128075e+04,-8.491753430938722886e+03,3.213208198547363281e+00
1.168699999999999939e+01,1.554272439727783421e+04,-8.491775602722169424e+03,3.212568521499633789e+00
1.168800000000000061e+01,1.554269997787475768e+04,-8.491800022125245960e+03,3.211919069290161133e+00
1.168900000000000006e+01,1.554267631416320910e+04,-8.491823685836794539e+03,3.211259841918945312e+00
1.168999999999999950e+01,1.554265189971923974e+04,-8.491848100280763902e+03,3.210590839385986328e+00
1.169100000000000072e+01,1.554262973785400573e+04,-8.491870262145997913e+03,3.209912061691284180e+00
1.169200000000000017e+01,1.554260682525634911e+04,-8.491893174743654527e+03,3.209223508834838867e+00
1.169299999999999962e+01,1.554258318099975804e+04,-8.491916819000245596e+03,3.208524942398071289e+00
1.169400000000000084e+01,1.554255877647400121e+04,-8.491941223526002432e+03,3.207816600799560547e+00
1.169500000000000028e+01,1.554253363075256493e+04,-8.491966369247438706e+03,3.207098484039306641e+00
1.169599999999999973e+01,1.554251222496032824e+04,-8.491987775039675398e+03,3.206370592117309570e+00
1.169700000000000095e+01,1.554248710327148547e+04,-8.492012896728518172e+03,3.205632925033569336e+00
1.169800000000000040e+01,1.554246420555114855e+04,-8.492035794448855086e+03,3.204885482788085938e+00
1.169899999999999984e+01,1.554244207305908276e+04,-8.492057926940920879e+03,3.204128265380859375e+00
1.170000000000000107e+01,1.554241768341064562e+04,-8.492082316589358015e+03,3.203361034393310547e+00
1.170100000000000051e+01,1.554239406852722277e+04,-8.492105931472780867e+03,3.202584028244018555e+00
1.170199999999999996e+01,1.554236970291137914e+04,-8.492130297088624502e+03,3.201797246932983398e+00
1.170299999999999940e+01,1.554234607391357531e+04,-8.492153926086428328e+03,3.201000690460205078e+00
1.170400000000000063e+01,1.554232469749450865e+04,-8.492175302505494983e+03,3.200194358825683594e+00
1.170500000000000007e+01,1.554229959564209094e+04,-8.492200404357912703e+03,3.199378252029418945e+00
1.170599999999999952e+01,1.554227672729492406e+04,-8.492223272705079580e+03,3.198552370071411133e+00
1.170700000000000074e+01,1.554225314636230542e+04,-8.492246853637698223e+03,3.197716474533081055e+00
1.170800000000000018e+01,1.554222877655029515e+04,-8.492271223449708486e+03,3.196870803833007812e+00
1.170899999999999963e+01,1.554220517196655419e+04,-8.492294828033449448e+03,3.196015357971191406e+00
1.171000000000000085e+01,1.554218083572387877e+04,-8.492319164276124866e+03,3.195150136947631836e+00
1.171100000000000030e+01,1.554215872344970921e+04,-8.492341276550294424e+03,3.194275140762329102e+00
1.171199999999999974e+01,1.554213440170288231e+04,-8.492365598297121323e+03,3.193390369415283203e+00
1.171300000000000097e+01,1.554211082611084203e+04,-8.492389173889161611e+03,3.192495822906494141e+00
1.171400000000000041e+01,1.554208797760009838e+04,-8.492412022399905254e+03,3.191591262817382812e+00
1.171499999999999986e+01,1.554206441650390843e+04,-8.492435583496095205e+03,3.190676927566528320e+00
1.171600000000000108e+01,1.554204158248901513e+04,-8.492458417510988511e+03,3.189752817153930664e+00
1.171700000000000053e+01,1.554201651992797997e+04,-8.492483480072023667e+03,3.188818931579589844e+00
1.171799999999999997e+01,1.554199517822265807e+04,-8.492504821777345569e+03,3.187875270843505859e+00
1.171899999999999942e+01,1.554197014923095776e+04,-8.492529850769045879e+03,3.186921834945678711e+00
1.172000000000000064e+01,1.554194732513427880e+04,-8.492552674865724839e+03,3.185958385467529297e+00
1.172100000000000009e+01,1.554192227249145617e+04,-8.492577727508547468e+03,3.184985160827636719e+00
1.172199999999999953e+01,1.554189946289062573e+04,-8.492600537109377910e+03,3.184002161026000977e+00
1.172300000000000075e+01,1.554187590255737450e+04,-8.492624097442629136e+03,3.183009386062622070e+00
1.172400000000000020e+01,1.554185166778564599e+04,-8.492648332214357652e+03,3.182006835937500000e+00
1.172499999999999964e+01,1.554182810287475695e+04,-8.492671897125246687e+03,3.180994510650634766e+00
1.172600000000000087e+01,1.554180530319214085e+04,-8.492694696807862783e+03,3.179972410202026367e+00
1.172700000000000031e+01,1.554178027496338109e+04,-8.492719725036622549e+03,3.178940296173095703e+00
1.172799999999999976e+01,1.554175748977661351e+04,-8.492742510223390127e+03,3.177898406982421875e+00
1.172900000000000098e+01,1.554173395385742333e+04,-8.492766046142580308e+03,3.176846742630004883e+00
1.173000000000000043e+01,1.554170968627929869e+04,-8.492790313720704944e+03,3.175785303115844727e+00
1.173099999999999987e+01,1.554168616485595885e+04,-8.492813835144044788e+03,3.174714088439941406e+00
1.173200000000000109e+01,1.554166338958740380e+04,-8.492836610412599839e+03,3.173633098602294922e+00
1.173300000000000054e+01,1.554163986358642796e+04,-8.492860136413575674e+03,3.172542333602905273e+00
1.173399999999999999e+01,1.554161714096069409e+04,-8.492882859039309551e+03,3.171441555023193359e+00
1.173499999999999943e+01,1.554159213256836119e+04,-8.492907867431642444e+03,3.170331001281738281e+00
1.173600000000000065e+01,1.554156785125732495e+04,-8.492932148742678692e+03,3.169210672378540039e+00
1.173700000000000010e+01,1.554154435424804797e+04,-8.492955645751955672e+03,3.168080568313598633e+00
1.173799999999999955e+01,1.554152160339355578e+04,-8.492978396606447859e+03,3.166940689086914062e+00
1.173900000000000077e+01,1.554149664306640807e+04,-8.493003356933595569e+03,3.165791034698486328e+00
1.174000000000000021e+01,1.554147388763427807e+04,-8.493026112365725567e+03,3.164631605148315430e+00
1.174099999999999966e+01,1.554145038146972729e+04,-8.493049618530276348e+03,3.163462162017822266e+00
1.174200000000000088e+01,1.554142616271972838e+04,-8.493073837280275256e+03,3.162282943725585938e+00
1.174300000000000033e+01,1.554140269012451245e+04,-8.493097309875491192e+03,3.161093950271606445e+00
1.174399999999999977e+01,1.554137992553711047e+04,-8.493120074462893172e+03,3.159895181655883789e+00
1.174500000000000099e+01,1.554135648651123120e+04,-8.493143513488772442e+03,3.158686637878417969e+00
1.174600000000000044e+01,1.554133375549316588e+04,-8.493166244506837756e+03,3.157468318939208984e+00
1.174699999999999989e+01,1.554130877685547057e+04,-8.493191223144533069e+03,3.156240224838256836e+00
1.174800000000000111e+01,1.554128604125976744e+04,-8.493213958740236194e+03,3.155002117156982422e+00
1.174900000000000055e+01,1.554126113433837963e+04,-8.493238865661624004e+03,3.153754234313964844e+00
1.175000000000000000e+01,1.554123839416504052e+04,-8.493261605834963120e+03,3.152496576309204102e+00
1.175099999999999945e+01,1.554121490325927880e+04,-8.493285096740724839e+03,3.151229143142700195e+00
1.175200000000000067e+01,1.554119077606201245e+04,-8.493309223937991192e+03,3.149951934814453125e+00
1.175300000000000011e+01,1.554116728057861474e+04,-8.493332719421388902e+03,3.148664951324462891e+00
1.175399999999999956e+01,1.554114460754394713e+04,-8.493355392456056506e+03,3.147368192672729492e+00
1.175500000000000078e+01,1.554111968688964953e+04,-8.493380313110354109e+03,3.146061420440673828e+00
1.175600000000000023e+01,1.554109700927734593e+04,-8.493402990722657705e+03,3.144744873046875000e+00
1.175699999999999967e+01,1.554107354278564526e+04,-8.493426457214358379e+03,3.143418550491333008e+00
1.175800000000000090e+01,1.554105089874267651e+04,-8.493449101257327129e+03,3.142082452774047852e+00
1.175900000000000034e+01,1.554102596893310692e+04,-8.493474031066896714e+03,3.140736579895019531e+00
1.175999999999999979e+01,1.554100328216552953e+04,-8.493496717834474111e+03,3.139380931854248047e+00
1.176100000000000101e+01,1.554097988281250218e+04,-8.493520117187501455e+03,3.138015270233154297e+00
1.176200000000000045e+01,1.554095573272705224e+04,-8.493544267272951402e+03,3.136639833450317383e+00
1.176299999999999990e+01,1.554093079376220885e+04,-8.493569206237794788e+03,3.135254621505737305e+00
1.176400000000000112e+01,1.554090817413330296e+04,-8.493591825866700674e+03,3.133859634399414062e+00
