time_s,x_m,y_m,z_m,qx,qy,qz,qw
3.350000000000000200e-01,-1.040379144251346588e-02,-1.717494160402566195e-04,5.544148385524749756e-02,5.090755410492420197e-03,-2.960464656352996826e-01,-5.796967074275016785e-03,9.551424980163574219e-01
3.400000000000000244e-01,-1.040954794734716415e-02,-1.546725688967853785e-04,5.542805418372154236e-02,4.602035973221063614e-03,-2.962391078472137451e-01,-5.675962660461664200e-03,9.550858736038208008e-01
3.450000000000000289e-01,-1.041447371244430542e-02,-1.381573529215529561e-04,5.541592836380004883e-02,4.127388354390859604e-03,-2.964050173759460449e-01,-5.556729156523942947e-03,9.550372958183288574e-01
3.500000000000000333e-01,-1.041876059025526047e-02,-1.224085135618224740e-04,5.540499463677406311e-02,3.672723425552248955e-03,-2.965494692325592041e-01,-5.441747140139341354e-03,9.549949169158935547e-01
3.549999999999999822e-01,-1.042250543832778931e-02,-1.074613974196836352e-04,5.539514869451522827e-02,3.239231882616877556e-03,-2.966755926609039307e-01,-5.331693682819604874e-03,9.549579620361328125e-01
3.599999999999999867e-01,-1.042577344924211502e-02,-9.332631452707573771e-05,5.538627877831459045e-02,2.827585907652974129e-03,-2.967856824398040771e-01,-5.226871930062770844e-03,9.549255967140197754e-01
3.649999999999999911e-01,-1.042862050235271454e-02,-8.000244270078837872e-05,5.537828430533409119e-02,2.438077935948967934e-03,-2.968817353248596191e-01,-5.127442069351673126e-03,9.548974633216857910e-01
3.699999999999999956e-01,-1.043109595775604248e-02,-6.748134910594671965e-05,5.537109076976776123e-02,2.070826012641191483e-03,-2.969654798507690430e-01,-5.033349618315696716e-03,9.548727869987487793e-01
3.750000000000000000e-01,-1.043324358761310577e-02,-5.575604518526233733e-05,5.536459386348724365e-02,1.726034912280738354e-03,-2.970383763313293457e-01,-4.944299813359975815e-03,9.548512101173400879e-01
3.800000000000000044e-01,-1.043510902673006058e-02,-4.481437281356193125e-05,5.535874515771865845e-02,1.403558999300003052e-03,-2.971020340919494629e-01,-4.860393702983856201e-03,9.548324346542358398e-01
3.850000000000000089e-01,-1.043673139065504074e-02,-3.463594475761055946e-05,5.535347387194633484e-02,1.102965790778398514e-03,-2.971575260162353516e-01,-4.781655967235565186e-03,9.548158645629882812e-01
3.900000000000000133e-01,-1.043814513832330704e-02,-2.519300869607832283e-05,5.534873157739639282e-02,8.235473651438951492e-04,-2.972060441970825195e-01,-4.707986488938331604e-03,9.548014402389526367e-01
