engine,device,stack_count,dt_ms,duration_s,contact_preset,solver_iteration_budget,solver_iterations_mean,solver_iterations_max,line_search_iterations_mean,ke_N_m,tau_ms,implied_kd_Ns_m,rigid_gap_mm,max_penetration_mm,final_com_height_m,expected_com_height_m,final_com_height_error_mm,orientation_drift_max_deg,tail_com_jitter_pp_mm,tail_orientation_jitter_pp_deg,settling_time_s,max_contacts,truncated_contacts,finite,order_preserved,toppled_or_escaped,failure,stepping_wall_s
sap_warp,cuda:0,5,1.0,3.0,drake,100,-1.0,-1,-1.0,100000.0,3.0,300.0,0.1,0.2367645502090454,0.10016545057296752,0.1,0.1654505729675182,0.0,0.0,0.0,0.068,20,0,True,True,False,False,11.492970503000834
sap_warp,cuda:0,5,1.0,3.0,drake,100,-1.0,-1,-1.0,1000000.0,3.0,3000.0,0.1,0.2578049898147583,0.1001816786825657,0.1,0.1816786825656891,0.0,0.0,0.0,0.068,20,0,True,True,False,False,11.295296873002371
sap_warp,cuda:0,5,2.0,3.0,drake,100,-1.0,-1,-1.0,1000.0,3.0,3.0,0.1,3.3384673297405243,0.0967468723654747,0.1,3.2531276345253017,0.0,0.0,0.0,0.64,20,0,True,True,False,False,7.409726040998066
sap_warp,cuda:0,5,2.0,3.0,drake,100,-1.0,-1,-1.0,10000.0,3.0,30.0,0.1,0.8957833051681519,0.09985469616949558,0.1,0.14530383050442852,0.0,0.0,0.0,0.11800000000000001,20,0,True,True,False,False,5.772691662998113
sap_warp,cuda:0,5,2.0,3.0,drake,100,-1.0,-1,-1.0,100000.0,3.0,300.0,0.1,0.6089210510253906,0.10015546157956123,0.1,0.15546157956122797,0.0,0.0,0.0,0.07200000000000001,20,0,True,True,False,False,5.698870608001016
sap_warp,cuda:0,5,2.0,3.0,drake,100,-1.0,-1,-1.0,1000000.0,3.0,3000.0,0.1,0.6110072135925293,0.10015816874802112,0.1,0.15816874802111747,0.0,0.0,0.0,0.07200000000000001,20,0,True,True,False,False,5.736453676996462
sap_warp,cuda:0,5,5.0,3.0,drake,100,-1.0,-1,-1.0,1000.0,3.0,3.0,0.1,3.0277185142040253,0.09674688093364239,0.1,3.2531190663576126,0.0,0.0,0.0,0.47000000000000003,20,0,True,True,False,False,2.829828401998384
sap_warp,cuda:0,5,5.0,3.0,drake,100,-1.0,-1,-1.0,10000.0,3.0,30.0,0.1,2.299755811691284,0.09985469095408916,0.1,0.14530904591084082,0.0,3.725290298461914e-06,0.0,0.135,20,0,True,True,False,False,3.97234195600322
sap_warp,cuda:0,5,5.0,3.0,drake,100,-1.0,-1,-1.0,100000.0,3.0,300.0,0.1,2.682805061340332,0.10005629472434521,0.1,0.056294724345207214,0.0,0.0,0.0,0.14,20,0,True,True,False,False,2.446067764001782
sap_warp,cuda:0,5,5.0,3.0,drake,100,-1.0,-1,-1.0,1000000.0,3.0,3000.0,0.1,2.682805061340332,0.10005629472434521,0.1,0.056294724345207214,0.0,0.0,0.0,0.14,20,0,True,True,False,False,2.445606740002404
