time_s,phase,source_time_s,cube_x_m,cube_y_m,cube_z_m,relative_slip_m,orientation_drift_rad,arm_q_error_rad,torque_saturation_proxy,penetration_m,candidate_contacts,truncated_contacts,solver_iterations,left_Fn_N,left_Ft_N,left_rho,left_points,right_Fn_N,right_Ft_N,right_rho,right_points
5.99,transfer,5.99,0.38448563,-0.028469449,0.19527258,0.006629563868045807,0.08771843639431331,0.02140718394602364,0,0.0022308588959276676,256,0,-1,62.026319124365756,8.036743396352401,0.16196236351375176,3,60.78720073293083,15.444451461832898,0.317592586836007,3
6.0,transfer,6.0,0.38479853,-0.025649246,0.19527656,0.006575193256139755,0.09217310225638918,0.02140651787110662,0,0.0022305920720100403,256,0,-1,62.02351241088794,8.042151320567307,0.1620786820990233,3,60.78614603220137,15.43909041744978,0.31748785342615204,3
6.01,transfer,6.01,0.3850908,-0.02282585,0.19527985,0.006524615455418825,0.09678526005269127,0.02140585365787479,0,0.002230322454124689,256,0,-1,62.02100469576546,8.047174911010764,0.16218648324234966,3,60.78544790057791,15.433343717387633,0.317373323929248,3
6.0200000000000005,transfer,6.0200000000000005,0.38536245,-0.019999405,0.19528247,0.0064779301173985004,0.1015452327206492,0.021405200610558964,0,0.002229982055723667,256,0,-1,62.01813592675957,8.052480943513272,0.16230093067096663,3,60.78414258209329,15.427839945290886,0.31726695668312044,3
6.03,transfer,6.03,0.3856134,-0.01717019,0.19528443,0.006434950046241283,0.10642426540195148,0.021404529679381612,0,0.0022297429386526346,256,0,-1,62.01599551754834,8.058119080315507,0.1624201750908631,3,60.783391070947886,15.422717747130651,0.317165542169424,3
6.04,transfer,6.04,0.38584366,-0.014338147,0.19528572,0.006395581178367138,0.11140889795069435,0.021403854385460646,0,0.0022293541114777327,256,0,-1,62.013595089169584,8.063665163325723,0.16253825374361355,3,60.78251391804834,15.417494604308478,0.317062704602337,3
6.05,transfer,6.05,0.38605317,-0.011503507,0.19528636,0.006360190454870462,0.11648971193221937,0.021403178544132494,0,0.0022290584165602922,256,0,-1,62.01095257879763,8.069116732577733,0.16265507134252344,3,60.78155472964935,15.412137507049483,0.3169575370275,3
6.0600000000000005,transfer,6.0600000000000005,0.38624194,-0.008666529,0.19528632,0.0063286651857197285,0.12164881684066986,0.021402494262516905,0,0.0022289089392870665,256,0,-1,62.008299209296524,8.074101371024536,0.16276251473556855,3,60.78087534752929,15.406395970710584,0.3168430012446515,3
6.07,transfer,6.07,0.38640994,-0.005827273,0.19528565,0.006300890818238258,0.1268804660678643,0.021401817653501777,0,0.002228568308055401,256,0,-1,62.00578531263554,8.079614300085712,0.16288025099891865,3,60.77979422420675,15.40107916135533,0.3167392913618476,3
6.08,transfer,6.08,0.3865571,-0.0029859238,0.19528432,0.006277109030634165,0.13217428471055503,0.02140113276354168,0,0.0022283680737018585,256,0,-1,62.00310691576423,8.08456297621083,0.16298705376156195,3,60.77906165767604,15.395256410532332,0.31662335660187013,3
