time_s,mechanical_energy_J,energy_error_J,ball_0_height_m
9.589999999999999858e+00,2.194954535636901710e+04,-2.084954643630986538e+03,5.973005294799804688e-01
9.590500000000000469e+00,2.194954599685669018e+04,-2.084954003143313457e+03,6.017115116119384766e-01
9.591000000000001080e+00,2.194954724349975731e+04,-2.084952756500246323e+03,6.061200499534606934e-01
9.591499999999999915e+00,2.194954768848419189e+04,-2.084952311515811743e+03,6.105261445045471191e-01
9.592000000000000526e+00,2.194954836540222095e+04,-2.084951634597782686e+03,6.149297952651977539e-01
9.592499999999999361e+00,2.194955105628967431e+04,-2.084948943710329331e+03,6.193310022354125977e-01
9.592999999999999972e+00,2.194955172481537011e+04,-2.084948275184633530e+03,6.237297654151916504e-01
9.593500000000000583e+00,2.194955403308868335e+04,-2.084945966911320284e+03,6.281260251998901367e-01
9.593999999999999417e+00,2.194955375766754150e+04,-2.084946242332462134e+03,6.325198411941528320e-01
9.594500000000000028e+00,2.194955427551269531e+04,-2.084945724487308325e+03,6.369112133979797363e-01
9.595000000000000639e+00,2.194955539951324317e+04,-2.084944600486760464e+03,6.413001418113708496e-01
9.595499999999999474e+00,2.194955553474426415e+04,-2.084944465255739487e+03,6.456866264343261719e-01
9.596000000000000085e+00,2.194955853042602394e+04,-2.084941469573979703e+03,6.500706672668457031e-01
9.596500000000000696e+00,2.194955847015381005e+04,-2.084941529846193589e+03,6.544522643089294434e-01
9.596999999999999531e+00,2.194956108322143700e+04,-2.084938916778566636e+03,6.588313579559326172e-01
9.597500000000000142e+00,2.194956026611327979e+04,-2.084939733886723843e+03,6.632080078125000000e-01
9.598000000000000753e+00,2.194956249656677392e+04,-2.084937503433229722e+03,6.675822138786315918e-01
9.598499999999999588e+00,2.194956411247253345e+04,-2.084935887527470186e+03,6.719539761543273926e-01
9.599000000000000199e+00,2.194956473960876610e+04,-2.084935260391237534e+03,6.763232946395874023e-01
9.599500000000000810e+00,2.194956597290038917e+04,-2.084934027099614468e+03,6.806901693344116211e-01
9.599999999999999645e+00,2.194956865882873535e+04,-2.084931341171268286e+03,6.850546002388000488e-01
9.600500000000000256e+00,2.194956754035949780e+04,-2.084932459640505840e+03,6.894165277481079102e-01
9.601000000000000867e+00,2.194957021789550708e+04,-2.084929782104496553e+03,6.937760114669799805e-01
9.601499999999999702e+00,2.194956909103393627e+04,-2.084930908966067364e+03,6.981330513954162598e-01
9.602000000000000313e+00,2.194957101173400952e+04,-2.084928988265994121e+03,7.024876475334167480e-01
9.602500000000000924e+00,2.194957231788635181e+04,-2.084927682113651827e+03,7.068397998809814453e-01
9.602999999999999758e+00,2.194957385597228858e+04,-2.084926144027715054e+03,7.111895084381103516e-01
9.603500000000000369e+00,2.194957477951049805e+04,-2.084925220489505591e+03,7.155367732048034668e-01
9.604000000000000981e+00,2.194957471427917335e+04,-2.084925285720830288e+03,7.198815345764160156e-01
9.604499999999999815e+00,2.194957732238769677e+04,-2.084922677612306870e+03,7.242238521575927734e-01
