time_s,force_N,x_bottom_m,x_middle_m,x_top_m,slip_ground_bottom_m,slip_bottom_middle_m,slip_middle_top_m,contacts
0.0505,0.0,2.763794e-08,1.0967702e-05,-1.5347767e-06,2.763794e-08,1.0940064e-05,-1.2502479e-05,4
0.051000000000000004,0.0,3.5909235e-08,1.0945515e-05,-1.5642743e-06,3.5909235e-08,1.0909605e-05,-1.25097895e-05,8
0.051500000000000004,0.0,3.3423625e-08,1.0923328e-05,-1.5937718e-06,3.3423625e-08,1.0889904e-05,-1.25171e-05,4
0.052000000000000005,0.0,2.9078803e-08,1.09175e-05,-1.6396282e-06,2.9078803e-08,1.08884215e-05,-1.2557128e-05,8
0.0525,0.0,2.491281e-08,1.0911672e-05,-1.6854846e-06,2.491281e-08,1.0886759e-05,-1.25971565e-05,4
0.053,0.0,3.044758e-08,1.0890042e-05,-1.731341e-06,3.044758e-08,1.0859595e-05,-1.2621384e-05,8
0.0535,0.0,2.7971318e-08,1.0868413e-05,-1.7771973e-06,2.7971318e-08,1.0840441e-05,-1.264561e-05,4
0.054,0.0,2.4272646e-08,1.0846783e-05,-1.8230537e-06,2.4272646e-08,1.082251e-05,-1.2669837e-05,4
0.0545,0.0,2.0768073e-08,1.0836648e-05,-1.8804039e-06,2.0768073e-08,1.0815879e-05,-1.27170515e-05,8
0.055,0.0,1.7730416e-08,1.0826512e-05,-1.9377542e-06,1.7730416e-08,1.0808782e-05,-1.2764266e-05,4
0.0555,0.0,2.014511e-08,1.0808507e-05,-1.9951044e-06,2.014511e-08,1.0788362e-05,-1.2803612e-05,8
0.056,0.0,1.8248613e-08,1.0790502e-05,-2.0524546e-06,1.8248613e-08,1.0772253e-05,-1.28429565e-05,4
0.0565,0.0,1.584291e-08,1.0772496e-05,-2.1098049e-06,1.584291e-08,1.0756654e-05,-1.2882301e-05,4
0.057,0.0,1.3553866e-08,1.076064e-05,-2.1733042e-06,1.3553866e-08,1.0747086e-05,-1.2933944e-05,8
0.0575,0.0,1.160946e-08,1.0748784e-05,-2.2368035e-06,1.160946e-08,1.0737174e-05,-1.2985587e-05,4
0.058,0.0,1.1470771e-08,1.0735388e-05,-2.3003029e-06,1.1470771e-08,1.07239175e-05,-1.3035691e-05,8
0.0585,0.0,1.0155829e-08,1.0721992e-05,-2.3638022e-06,1.0155829e-08,1.0711837e-05,-1.3085794e-05,4
0.059000000000000004,0.0,8.72128e-09,1.0708596e-05,-2.4273015e-06,8.72128e-09,1.0699875e-05,-1.31358975e-05,4
0.059500000000000004,0.0,7.478454e-09,1.0696659e-05,-2.4922597e-06,7.478454e-09,1.068918e-05,-1.3188919e-05,8
0.06,0.0,6.379939e-09,1.0684722e-05,-2.5572178e-06,6.379939e-09,1.0678342e-05,-1.324194e-05,4
0.0605,0.0,4.343238e-09,1.0675732e-05,-2.622176e-06,4.343238e-09,1.0671389e-05,-1.3297908e-05,8
0.061,0.0,3.4140202e-09,1.0666741e-05,-2.6871342e-06,3.4140202e-09,1.0663327e-05,-1.3353875e-05,4
0.0615,0.0,2.805514e-09,1.0655467e-05,-2.749809e-06,2.805514e-09,1.0652661e-05,-1.3405276e-05,8
0.062,0.0,2.3660962e-09,1.0644193e-05,-2.812484e-06,2.3660962e-09,1.06418265e-05,-1.3456677e-05,4
0.0625,0.0,-9.1136837e-10,1.0638998e-05,-2.8751588e-06,-9.1136837e-10,1.0639909e-05,-1.3514156e-05,8
0.063,0.0,-1.4355994e-09,1.0633803e-05,-2.9378336e-06,-1.4355994e-09,1.0635238e-05,-1.3571636e-05,4
0.0635,0.0,-1.3217667e-09,1.0628608e-05,-3.0005085e-06,-1.3217667e-09,1.0629929e-05,-1.3629116e-05,4
0.064,0.0,-1.0850545e-09,1.0618686e-05,-3.0584567e-06,-1.0850545e-09,1.0619771e-05,-1.3677143e-05,8
0.0645,0.0,-9.320644e-10,1.0608765e-05,-3.116405e-06,-9.320644e-10,1.0609697e-05,-1.372517e-05,4
0.065,0.0,-5.1441926e-09,1.0607088e-05,-3.1743532e-06,-5.1441926e-09,1.06122325e-05,-1.3781441e-05,8
0.0655,0.0,-5.3116875e-09,1.0605412e-05,-3.2323014e-06,-5.3116875e-09,1.0610724e-05,-1.3837714e-05,4
0.066,0.0,-4.699565e-09,1.0603736e-05,-3.2902497e-06,-4.699565e-09,1.0608435e-05,-1.3893986e-05,4
0.0665,0.0,-4.0447055e-09,1.0595299e-05,-3.3414367e-06,-4.0447055e-09,1.0599343e-05,-1.3936735e-05,8
0.067,0.0,-3.4889942e-09,1.0586861e-05,-3.3926237e-06,-3.4889942e-09,1.059035e-05,-1.3979485e-05,4
0.0675,0.0,-8.186728e-09,1.0588406e-05,-3.4438108e-06,-8.186728e-09,1.0596593e-05,-1.4032217e-05,8
