time_s,force_command_N,ground_bottom_slip_m,ground_bottom_vt_m_s,ground_bottom_Fn_N,ground_bottom_Ft_N,ground_bottom_rho,ground_bottom_point_rho_max,ground_bottom_contacts,ground_bottom_gap_m,ground_bottom_dist_min_m,bottom_middle_slip_m,bottom_middle_vt_m_s,bottom_middle_Fn_N,bottom_middle_Ft_N,bottom_middle_rho,bottom_middle_point_rho_max,bottom_middle_contacts,bottom_middle_gap_m,bottom_middle_dist_min_m,middle_top_slip_m,middle_top_vt_m_s,middle_top_Fn_N,middle_top_Ft_N,middle_top_rho,middle_top_point_rho_max,middle_top_contacts,middle_top_gap_m,middle_top_dist_min_m,box_0_vz_m_s,box_1_vz_m_s,box_2_vz_m_s,solver_iterations
7.453,8.0,0.0023812671450331416,3.455689963399526e-14,9.810000000000002,7.165969045829623e-13,1.4609518951742347e-13,1.4609518951795896e-13,4,-0.0002452500000000926,-0.0002452500000017094,0.05702992779107517,-2.1369018237124026e-14,0.0,0.0,nan,nan,0,-0.03986250542021608,nan,7.810372378308246,6.365255500560083,0.0,0.0,nan,nan,0,-0.024752783034531375,nan,1.2422786456486898e-15,9.817016215391977e-16,0.14175221353630382,1
7.4535,8.0,0.0023812671450331585,3.421159027170139e-14,9.810000000000004,6.908604664733763e-13,1.408482092708208e-13,1.40848209271359e-13,4,-0.0002452500000000926,-0.0002452500000017094,0.05702992779107516,-2.1243241535747478e-14,0.0,0.0,nan,nan,0,-0.03986250542021608,nan,7.813557006058526,6.369255500560082,0.0,0.0,nan,nan,0,-0.02468435942776322,nan,1.24405500248809e-15,9.825897999588977e-16,0.13684721353630383,1
7.454,8.0,0.0023812671450331754,3.387804225660352e-14,9.810000000000002,6.673063192162862e-13,1.360461405130043e-13,1.3604614051353835e-13,4,-0.0002452500000000926,-0.0002452500000017094,0.05702992779107515,-2.1117798136429926e-14,0.0,0.0,nan,nan,0,-0.03986250542021608,nan,7.816743633808806,6.373255500560083,0.0,0.0,nan,nan,0,-0.024618388320995065,nan,1.24494318090779e-15,9.834779783785977e-16,0.13194221353630384,1
7.4545,8.0,0.0023812671450331923,3.355660480064789e-14,9.810000000000002,6.430783649748091e-13,1.311067003006746e-13,1.31106700301208e-13,4,-0.0002452500000000926,-0.0002452500000017094,0.057029927791075144,-1.9576405820072285e-14,0.0,0.0,nan,nan,0,-0.03986250542021608,nan,7.819932261559086,6.37725550056008,0.0,0.0,nan,nan,0,-0.02455486971422691,nan,1.24583135932749e-15,9.825897999588977e-16,0.12703721353630384,1
7.455,8.0,0.0023812671450332097,3.4686482045192223e-14,9.809999999999965,2.2607851118067307e-12,4.609143958831272e-13,4.609143958837046e-13,4,-0.0002452500000000926,-0.0002452500000017059,0.05702992779107513,-2.096754918035442e-14,0.0,0.0,nan,nan,0,-0.03986250542021608,nan,7.823122889309366,6.381255500560081,0.0,0.0,nan,nan,0,-0.024493803607458755,nan,1.2280677909334876e-15,9.834779783785977e-16,0.12213221353630384,0
7.4555,8.0,0.002381267145033227,3.4336143438868504e-14,9.810000000000002,7.009320562367018e-13,1.4290154051716648e-13,1.4290154051770248e-13,4,-0.0002452500000000926,-0.0002452500000017059,0.05702992779107512,-2.0864495762732233e-14,0.0,0.0,nan,nan,0,-0.03986250542021608,nan,7.826315517059646,6.38525550056008,0.0,0.0,nan,nan,0,-0.024435190000690606,nan,1.2289559693531876e-15,9.843661567982977e-16,0.11722721353630385,1
7.456,8.0,0.002381267145033244,3.3998296680200715e-14,9.810000000000004,6.759153589678993e-13,1.3780129642566747e-13,1.378012964262014e-13,4,-0.0002452500000000926,-0.0002452500000017094,0.05702992779107511,-2.07611449030813e-14,0.0,0.0,nan,nan,0,-0.03986250542021608,nan,7.829510144809926,6.38925550056008,0.0,0.0,nan,nan,0,-0.024379028893922457,nan,1.2307323261925878e-15,9.852543352179978e-16,0.11232221353630385,1
7.4565,8.0,0.002381267145033261,3.367136713358033e-14,9.810000000000002,6.540966924328669e-13,1.3335304636755693e-13,1.3335304636809053e-13,4,-0.0002452500000000926,-0.0002452500000017059,0.0570299277910751,-2.0656176619691692e-14,0.0,0.0,nan,nan,0,-0.03986250542021608,nan,7.832706772560206,6.3932555005600795,0.0,0.0,nan,nan,0,-0.024325320287154308,nan,1.2316205046122879e-15,9.861425136376978e-16,0.10741721353630385,1
7.457,8.0,0.002381267145033278,3.481850140998743e-14,9.809999999999999,2.2953442801967847e-12,4.679600978994464e-13,4.679600979000221e-13,4,-0.0002452500000000926,-0.0002452500000017059,0.05702992779107509,-2.2013782438686837e-14,0.0,0.0,nan,nan,0,-0.03986250542021608,nan,7.835905400310486,6.39725550056008,0.0,0.0,nan,nan,0,-0.02427406418038616,nan,1.2307323261925878e-15,9.861425136376978e-16,0.10251221353630384,0
7.4575000000000005,8.0,0.0023812671450332955,3.44641427979805e-14,9.810000000000004,7.089603075057822e-13,1.4453828899200447e-13,1.4453828899254213e-13,4,-0.0002452500000000926,-0.0002452500000017094,0.05702992779107508,-2.0425854934146803e-14,0.0,0.0,nan,nan,0,-0.03986250542021608,nan,7.839106028060766,6.401255500560078,0.0,0.0,nan,nan,0,-0.02422526057361801,nan,1.232508683031988e-15,9.861425136376978e-16,0.09760721353630385,1
