solver,integrator,cone,iterations,dt_s,softness,steps_planned,steps_completed,stable,mse_velocity_error,final_box_speed_error,final_ball_speed_error,max_contacts,step_rate_hz,wall_s
cg,rk4,pyramidal,500,0.0005,soft_40ms,8000,8000,True,36.66058425093971,13.85692744670227,0.9023658515286868,29,65.4779379387767,122.17855741700623
cg,rk4,pyramidal,500,0.0005,stiff_4ms,8000,8000,True,33.989066985088996,13.077583375832171,0.8510600207733722,29,133.65089472878873,59.8574369160342
cg,rk4,pyramidal,500,0.001,default,4000,4000,True,35.484408892767675,13.513417939540924,0.8741014173322054,29,75.23335334928353,53.167907874973025
cg,rk4,pyramidal,500,0.001,soft_40ms,4000,4000,True,36.31171251921707,13.740443870513163,0.9018400148462236,29,61.94637756175373,64.57197591598378
cg,rk4,pyramidal,500,0.001,stiff_4ms,4000,4000,True,34.246981660771965,13.11086269653991,0.8629729124869376,29,130.93730736017667,30.548970959032886
cg,rk4,pyramidal,500,0.002,default,2000,2000,True,35.47984823907457,13.503497634265804,0.8753135046678479,29,71.74728096571008,27.875620833016
cg,rk4,pyramidal,500,0.002,soft_40ms,2000,2000,True,36.17323174689247,13.702396741649927,0.9056756791964171,29,58.329335899289475,34.28806395898573
cg,rk4,pyramidal,500,0.002,stiff_4ms,2000,2000,True,34.36067296090848,13.12089804246438,0.8509290267392463,29,131.44411842562064,15.215591415995732
cg,rk4,elliptic,20,0.0005,default,8000,8000,True,0.0019828399108145424,0.05161202701919081,0.03907162909226696,29,1807.2847471508994,4.426529916003346
cg,rk4,elliptic,20,0.0005,soft_40ms,8000,8000,True,0.002510285023182434,0.05372988906362863,0.02829933327821591,29,1729.9776618941235,4.6243371670134366
cg,rk4,elliptic,20,0.0005,stiff_4ms,8000,8000,True,0.0015944891772049622,0.024760943163466834,0.015211074810247147,29,2248.7249290525606,3.5575716249877587
cg,rk4,elliptic,20,0.001,default,4000,4000,True,0.002707966630718296,0.041694386590346556,0.042309697242948446,29,1759.7312450457157,2.273074374999851
cg,rk4,elliptic,20,0.001,soft_40ms,4000,4000,True,0.0028024262041502386,0.08606845566309652,0.07008433788818645,29,1640.226583880121,2.4386874589836225
cg,rk4,elliptic,20,0.001,stiff_4ms,4000,4000,True,0.002554114465716627,0.03280420287678804,0.12279324597036585,29,2035.5842176534727,1.9650378330261447
cg,rk4,elliptic,20,0.002,default,2000,2000,True,0.004176645450463389,0.037548684765666265,0.05297227643746861,29,1662.9224346222659,1.2027019170345739
cg,rk4,elliptic,20,0.002,soft_40ms,2000,2000,True,0.0032796857776518813,0.048331862420645126,0.031702590024106164,29,1520.4498127950012,1.3154002079972997
cg,rk4,elliptic,20,0.002,stiff_4ms,2000,2000,True,0.00679013499133854,0.12082609985877009,0.10866084791959028,29,2015.998374389797,0.9920642920187674
cg,rk4,elliptic,100,0.0005,default,8000,8000,True,0.0018486756801340434,0.03323175556766044,0.07123615181635737,29,531.2300445599714,15.059389207977802
cg,rk4,elliptic,100,0.0005,soft_40ms,8000,8000,True,0.002585587603807954,0.05688160487129118,0.046671759554517224,29,490.33202139143435,16.315475333016366
cg,rk4,elliptic,100,0.0005,stiff_4ms,8000,8000,True,0.0015616244002487753,0.025012170820659627,0.019501306746534813,29,714.8278000518771,11.191506541043054
cg,rk4,elliptic,100,0.001,default,4000,4000,True,0.002714804274144926,0.05156319559770553,0.0375378424308029,29,517.454631377676,7.730146291956771
cg,rk4,elliptic,100,0.001,soft_40ms,4000,4000,True,0.0030991047672089774,0.06304061502829061,0.062180560604157484,29,482.21011603784115,8.295139124966227
