time_s,force_command_N,ground_bottom_slip_m,ground_bottom_vt_m_s,ground_bottom_Fn_N,ground_bottom_Ft_N,ground_bottom_rho,ground_bottom_point_rho_max,ground_bottom_contacts,ground_bottom_gap_m,ground_bottom_dist_min_m,bottom_middle_slip_m,bottom_middle_vt_m_s,bottom_middle_Fn_N,bottom_middle_Ft_N,bottom_middle_rho,bottom_middle_point_rho_max,bottom_middle_contacts,bottom_middle_gap_m,bottom_middle_dist_min_m,middle_top_slip_m,middle_top_vt_m_s,middle_top_Fn_N,middle_top_Ft_N,middle_top_rho,middle_top_point_rho_max,middle_top_contacts,middle_top_gap_m,middle_top_dist_min_m,box_0_vz_m_s,box_1_vz_m_s,box_2_vz_m_s,solver_iterations
0.585,0.0,0.0,-2.5190945833874244e-15,29.4299999999998,4.5067051597398275e-12,3.0626606590145146e-13,3.062660659017397e-13,4,-8.197701600112794e-07,-8.197701600147489e-07,0.0,-2.6620731986977142e-15,19.61999999999994,1.2930930704128473e-12,1.3181376864555058e-13,1.3178465808001102e-13,4,-1.0930261817240772e-06,-1.093026181724323e-06,0.0,-1.6733971983287205e-16,9.810000000000203,2.6519027781326885e-12,5.406529619026776e-13,5.405065626789567e-13,4,-5.465136894144962e-07,-5.465136894170287e-07,2.8335938719957468e-15,-6.1165311383156966e-15,8.537853016728938e-15,0
0.59,0.0,0.0,-1.0397570219849526e-15,29.42999999999993,1.4904679490948564e-12,1.0128902134521645e-13,1.012890213560041e-13,4,-8.197701600112794e-07,-8.197701600112794e-07,0.0,-7.130834578563134e-16,19.620000000000132,1.0796096841143797e-12,1.1005195556721432e-13,1.101578689622867e-13,4,-1.0930261817240772e-06,-1.0930261817256554e-06,0.0,-4.966215341189507e-16,9.809999999999933,9.533433042377428e-13,1.9436152991595295e-13,1.9435250158324604e-13,4,-5.465136894144962e-07,-5.465136894149701e-07,2.7989549136274425e-15,-5.889157462872464e-15,8.402849896934519e-15,0
0.595,0.0,0.0,-5.4377516959658026e-15,29.43,2.069077080670022e-11,1.4061006324634875e-12,1.4061006324677777e-12,4,-8.197701600112794e-07,-8.197701600320961e-07,0.0,-7.29503576173128e-15,19.620000000000008,1.569673007806061e-11,1.6000744218206526e-12,1.598476835035334e-12,4,-1.0930261817240772e-06,-1.0930261817413065e-06,0.0,-3.4354985801278587e-15,9.81,6.510193659779287e-12,1.3272566074983254e-12,1.3268696970323258e-12,4,-5.465136894144962e-07,-5.465136894164053e-07,2.8984308966338562e-15,-5.985968910619779e-15,8.436600676883124e-15,1
0.6,0.0,0.0,-6.217913271870727e-15,29.43,2.6531190106420984e-12,1.8030030653361185e-13,1.803003065337071e-13,4,-8.197701600112794e-07,-8.197701600425045e-07,0.0,-6.3910736918404804e-15,19.62,5.919761518710168e-12,6.034415411529224e-13,6.055580890483323e-13,4,-1.0930261817240772e-06,-1.0930261817509599e-06,0.0,-2.483304301971014e-16,9.810000000000004,7.925994620653503e-12,1.6159010439660549e-12,1.6161059240946926e-12,4,-5.465136894144962e-07,-5.465136894150808e-07,2.898430896633856e-15,-5.9877452674591796e-15,8.437488855302825e-15,1
0.605,0.0,0.0,6.019405366247125e-15,29.430000000000206,1.5445915838114744e-11,1.0496714806737776e-12,1.0496714806749307e-12,4,-8.197701600112794e-07,-8.197701600216878e-07,0.0,7.249629263118845e-15,19.619999999999873,1.4248616579730112e-11,1.4524583669449749e-12,1.4515595375147685e-12,4,-1.0930261817240772e-06,-1.093026181733209e-06,0.0,2.7919738878079587e-15,9.810000000000002,9.744089007544362e-12,1.986562488795996e-12,1.9865214008016942e-12,4,-5.465136894144962e-07,-5.46513689416224e-07,3.0627439042783783e-15,-6.051694113677588e-15,8.438377033722524e-15,0
0.61,0.0,0.0,-5.393757661337315e-15,29.43,2.119304314345829e-11,1.440233988682181e-12,1.4402339886866783e-12,4,-8.197701600112794e-07,-8.197701600320961e-07,0.0,-8.167686719814677e-15,19.619999999999997,1.626307846003476e-11,1.6578061631024221e-12,1.656231384238793e-12,4,-1.0930261817240772e-06,-1.093026181739772e-06,0.0,-4.951556397538392e-15,9.81,7.010862987586905e-12,1.4293298649514586e-12,1.4288971030821992e-12,4,-5.465136894144962e-07,-5.465136894167641e-07,2.9010954318929555e-15,-5.9877452674591796e-15,8.436600676883124e-15,1
0.615,0.0,0.0,6.526282567629408e-16,29.43,2.9453748727912266e-12,2.0016139128720533e-13,2.001613912874403e-13,4,-8.197701600112794e-07,-8.197701600147489e-07,0.0,1.0387534576793068e-15,19.620000000000005,2.8605156010840613e-12,2.9159180439185124e-13,2.917864043014643e-13,4,-1.0930261817240772e-06,-1.0930261817267707e-06,0.0,7.024191205606417e-16,9.810000000000006,2.0213876667363385e-12,4.1210757731627673e-13,4.1219614974422353e-13,4,-5.465136894144962e-07,-5.465136894147307e-07,2.894878182955054e-15,-5.988633445878879e-15,8.436600676883127e-15,1
0.62,0.0,0.0,-6.912323595661206e-15,29.43,4.65173419454253e-12,3.161219296325199e-13,3.1612192963291787e-13,4,-8.197701600112794e-07,-8.197701600425045e-07,0.0,-7.134913731156774e-15,19.620000000000005,7.792119555637713e-12,7.943037263647004e-13,7.965588567873822e-13,4,-1.0930261817240772e-06,-1.093026181750655e-06,0.0,-2.312773877521422e-16,9.81,9.249751378818661e-12,1.8857800976184833e-12,1.886160104932242e-12,4,-5.465136894144962e-07,-5.465136894149888e-07,2.8975427182141542e-15,-5.98685708903948e-15,8.436600676883127e-15,1
0.625,0.0,0.0,-5.619609005586076e-16,29.429999999999993,1.8143764482111844e-11,1.2330115176426674e-12,1.2330115176471813e-12,4,-8.197701600112794e-07,-8.197701600112794e-07,0.0,-2.747280662261735e-15,19.620000000000008,1.6839390541334232e-11,1.7165535720014501e-12,1.7165259855125448e-12,4,-1.0930261817240772e-06,-1.0930261817274155e-06,0.0,-3.54847898315522e-15,9.809999999999997,1.102507706137241e-11,2.247722132797638e-12,2.2474807276487333e-12,4,-5.465136894144962e-07,-5.465136894188518e-07,2.9002072534732547e-15,-5.987745267459179e-15,8.436600676883127e-15,1
0.63,0.0,0.0,1.3996641953422157e-15,29.43,4.439643991176047e-12,3.0170873198613976e-13,3.017087319864658e-13,4,-8.197701600112794e-07,-8.197701600147489e-07,0.0,1.716694152480867e-15,19.62,4.1868709867731135e-12,4.267962269901237e-13,4.2703255735943026e-13,4,-1.0930261817240772e-06,-1.0930261817262972e-06,0.0,6.32614414539141e-16,9.809999999999995,2.9498669177331647e-12,6.013999832279646e-13,6.014970679574159e-13,4,-5.465136894144962e-07,-5.465136894147008e-07,2.899319075053555e-15,-5.986857089039478e-15,8.435712498463429e-15,1
