x_m,z_m,vx_m_s,vz_m_s,normal_force_N,friction_force_x_N,contact_count,min_contact_dist_m,geometric_penetration_m,phase,time_from_release_s,analytic_vx_m_s,analytic_x_m
0.0,0.019760899605226843,0.0,-0.00014971470407094668,9.813609542988726,0.0,4,-0.00023906296609714148,0.00023910039477315764,normal_settle,-0.828,,
0.0,0.019760862400820017,0.0,-0.00014881762729937787,9.813588307086276,0.0,4,-0.00023910039477315764,0.00023913759917998378,normal_settle,-0.82775,,
0.0,0.019760825419362676,0.0,-0.00014792582936831155,9.813567191724266,0.0,4,-0.00023913759917998378,0.00023917458063732466,normal_settle,-0.8275,,
0.0,0.0197607886595426,0.0,-0.00014703928030107062,9.813546196268964,0.0,4,-0.00023917458063732466,0.00023921134045740144,normal_settle,-0.82725,,
0.0,0.019760752120055028,0.0,-0.00014615795027872813,9.81352532008937,0.0,4,-0.00023921134045740144,0.0002392478799449725,normal_settle,-0.827,,
0.0,0.01976071579960262,0.0,-0.0001452818096394254,9.813504562557211,0.0,4,-0.0002392478799449725,0.00023928420039738205,normal_settle,-0.82675,,
0.0,0.0197606796968954,0.0,-0.00014441082887769186,9.813483923046935,0.0,4,-0.00023928420039738205,0.00023932030310460164,normal_settle,-0.8265,,
0.0,0.01976064381065074,0.0,-0.00014354497864376537,9.813463400935706,0.0,4,-0.00023932030310460164,0.00023935618934926156,normal_settle,-0.8262499999999999,,
0.0,0.019760608139593305,0.0,-0.00014268422974291308,9.81344299560341,0.0,4,-0.00023935618934926156,0.0002393918604066958,normal_settle,-0.826,,
0.0,0.01976057268245502,0.0,-0.00014182855313475554,9.81342270643263,0.0,4,-0.0002393918604066958,0.00023942731754498028,normal_settle,-0.82575,,
0.0,0.019760537437975036,0.0,-0.0001409779199325877,9.813402532808672,0.0,4,-0.00023942731754498028,0.00023946256202496408,normal_settle,-0.8255,,
0.0,0.019760502404899686,0.0,-0.00014013230140270618,9.813382474119527,0.0,4,-0.00023946256202496408,0.0002394975951003145,normal_settle,-0.82525,,
0.0,0.019760467581982445,0.0,-0.00013929166896373547,9.813362529755883,0.0,4,-0.0002394975951003145,0.00023953241801755523,normal_settle,-0.825,,
0.0,0.0197604329679839,0.0,-0.00013845599418595524,9.813342699111121,0.0,4,-0.00023953241801755523,0.00023956703201610113,normal_settle,-0.82475,,
0.0,0.0197603985616717,0.0,-0.00013762524879062701,9.813322981581313,0.0,4,-0.00023956703201610113,0.00023960143832829975,normal_settle,-0.8245,,
0.0,0.019760364361820538,0.0,-0.00013679940464932585,9.813303376565205,0.0,4,-0.00023960143832829975,0.0002396356381794626,normal_settle,-0.8242499999999999,,
0.0,0.019760330367212094,0.0,-0.00013597843378327203,9.813283883464216,0.0,4,-0.0002396356381794626,0.0002396696327879068,normal_settle,-0.8240000000000001,,
0.0,0.019760296576635004,0.0,-0.0001351623083626613,9.813264501682443,0.0,4,-0.0002396696327879068,0.00023970342336499667,normal_settle,-0.82375,,
0.0,0.019760262988884825,0.0,-0.00013435100070600237,9.813245230626636,0.0,4,-0.00023970342336499667,0.00023973701111517504,normal_settle,-0.8235,,
0.0,0.019760229602764006,0.0,-0.00013354448327944758,9.81322606970622,0.0,4,-0.00023973701111517504,0.00023977039723599436,normal_settle,-0.82325,,
0.0,0.01976019641708183,0.0,-0.00013274272869613437,9.813207018333253,0.0,4,-0.00023977039723599436,0.00023980358291816883,normal_settle,-0.823,,
0.0,0.019760163430654402,0.0,-0.00013194570971551778,9.813188075922467,0.0,4,-0.00023980358291816883,0.00023983656934559866,normal_settle,-0.82275,,
0.0,0.019760130642304592,0.0,-0.00013115339924271596,9.813169241891208,0.0,4,-0.00023983656934559866,0.0002398693576954082,normal_settle,-0.8225,,
0.0,0.01976009805086201,0.0,-0.00013036577032784658,9.813150515659478,0.0,4,-0.0002398693576954082,0.00023990194913799112,normal_settle,-0.82225,,
0.0,0.01976006565516297,0.0,-0.00012958279616537096,9.813131896649903,0.0,4,-0.00023990194913799112,0.00023993434483703113,normal_settle,-0.8220000000000001,,
0.0,0.019760033454050446,0.0,-0.00012880445009343902,9.813113384287728,0.0,4,-0.00023993434483703113,0.0002399665459495541,normal_settle,-0.82175,,
0.0,0.019760001446374048,0.0,-0.00012803070559323117,9.813094978000832,0.0,4,-0.0002399665459495541,0.00023999855362595232,normal_settle,-0.8215,,
0.0,0.019759969630989974,0.0,-0.00012726153628830818,9.813076677219692,0.0,4,-0.00023999855362595232,0.0002400303690100261,normal_settle,-0.82125,,
0.0,0.01975993800676099,0.0,-0.00012649691594395965,9.813058481377395,0.0,4,-0.0002400303690100261,0.00024006199323901162,normal_settle,-0.821,,
0.0,0.01975990657255637,0.0,-0.00012573681846655252,9.813040389909629,0.0,4,-0.00024006199323901162,0.00024009342744362935,normal_settle,-0.82075,,
