time_s,mechanical_energy_J,energy_error_J,ball_0_height_m
1.679559999998753383e+01,2.409665012015246975e+04,6.215012015246611554e+01,2.342690849566676725e+00
1.679579999998753337e+01,2.409665106326626847e+04,6.215106326626482769e+01,2.341243229734105924e+00
1.679599999998753290e+01,2.409665200638007082e+04,6.215200638006717782e+01,2.339795217501535074e+00
1.679619999998753244e+01,2.409665294949384406e+04,6.215294949384042411e+01,2.338346812868964175e+00
1.679639999998753197e+01,2.409665389260761731e+04,6.215389260761367041e+01,2.336898015836393228e+00
1.679659999998753150e+01,2.409665483572142330e+04,6.215483572141965851e+01,2.335448826403822231e+00
1.679679999998753104e+01,2.409665577883517108e+04,6.215577883516743896e+01,2.333999244571251630e+00
1.679699999998753057e+01,2.409665672194897707e+04,6.215672194897342706e+01,2.332549270338680980e+00
1.679719999998753011e+01,2.409665766506274667e+04,6.215766506274303538e+01,2.331098903706110281e+00
1.679739999998752964e+01,2.409665860817649809e+04,6.215860817649445380e+01,2.329648144673539534e+00
1.679759999998752917e+01,2.409665955129029680e+04,6.215955129029316595e+01,2.328196993240968737e+00
1.679779999998752871e+01,2.409666049440404095e+04,6.216049440403730841e+01,2.326745449408397892e+00
1.679799999998752824e+01,2.409666143751784330e+04,6.216143751783965854e+01,2.325293513175826998e+00
1.679819999998752778e+01,2.409666238063161654e+04,6.216238063161290484e+01,2.323841184543256055e+00
1.679839999998752731e+01,2.409666332374544800e+04,6.216332374544435879e+01,2.322388463510685064e+00
1.679859999998752684e+01,2.409666426685922124e+04,6.216426685921760509e+01,2.320935350078114467e+00
1.679879999998752638e+01,2.409666520997296539e+04,6.216520997296174755e+01,2.319481844245543822e+00
1.679899999998752591e+01,2.409666615308677137e+04,6.216615308676773566e+01,2.318027946012973128e+00
1.679919999998752544e+01,2.409666709620054462e+04,6.216709620054098195e+01,2.316573655380402386e+00
1.679939999998752498e+01,2.409666803931431787e+04,6.216803931431422825e+01,2.315118972347831594e+00
1.679959999998752451e+01,2.409666898242804382e+04,6.216898242804018082e+01,2.313663896915260754e+00
1.679979999998752405e+01,2.409666992554186800e+04,6.216992554186435882e+01,2.312208429082689864e+00
1.679999999998752358e+01,2.409667086865561942e+04,6.217086865561577724e+01,2.310752568850118926e+00
1.680019999998752311e+01,2.409667181176941813e+04,6.217181176941448939e+01,2.309296316217547940e+00
1.680039999998752265e+01,2.409667275488322048e+04,6.217275488321683952e+01,2.307839671184977348e+00
1.680059999998752218e+01,2.409667369799699372e+04,6.217369799699008581e+01,2.306382633752406708e+00
1.680079999998752172e+01,2.409667464111073787e+04,6.217464111073422828e+01,2.304925203919836019e+00
1.680099999998752125e+01,2.409667558422454385e+04,6.217558422454021638e+01,2.303467381687265281e+00
1.680119999998752078e+01,2.409667652733829163e+04,6.217652733828799683e+01,2.302009167054694494e+00
1.680139999998752032e+01,2.409667747045206488e+04,6.217747045206124312e+01,2.300550560022123658e+00
1.680159999998751985e+01,2.409667841356589997e+04,6.217841356589633506e+01,2.299091560589552774e+00
1.680179999998751939e+01,2.409667935667969505e+04,6.217935667969140923e+01,2.297632168756981841e+00
1.680199999998751892e+01,2.409668029979343919e+04,6.218029979343555169e+01,2.296172384524410859e+00
1.680219999998751845e+01,2.409668124290724882e+04,6.218124290724517778e+01,2.294712207891840272e+00
1.680239999998751799e+01,2.409668218602099296e+04,6.218218602098932024e+01,2.293251638859269637e+00
1.680259999998751752e+01,2.409668312913474438e+04,6.218312913474073866e+01,2.291790677426698952e+00
1.680279999998751705e+01,2.409668407224856492e+04,6.218407224856127868e+01,2.290329323594128219e+00
1.680299999998751659e+01,2.409668501536231270e+04,6.218501536230905913e+01,2.288867577361557437e+00
1.680319999998751612e+01,2.409668595847611141e+04,6.218595847610777128e+01,2.287405438728986606e+00
1.680339999998751566e+01,2.409668690158989193e+04,6.218690158988829353e+01,2.285942907696415727e+00
1.680359999998751519e+01,2.409668784470366518e+04,6.218784470366153982e+01,2.284479984263844798e+00
