phase,time_s,cube_z_m,cube_vz_m_s,pad_vz_m_s,relative_vt_m_s,contact_count,left_Fn_N,left_Ft_N,left_rho,left_points,right_Fn_N,right_Ft_N,right_rho,right_points
lift,0.6065,0.032779683211770154,0.05983053111987506,0.0599999999999981,-0.0001694688801230429,8,4.118466643095874,1.6000110000155936,0.9712419321750634,4,4.118466643095873,1.6000109999843923,0.9712419321561238,4
lift,0.607,0.032809598477330094,0.059830531119874936,0.059999999999998097,-0.00016946888012316086,8,4.118466643096106,1.60001100001629,0.9712419321754314,4,4.118466643096119,1.6000109999836307,0.9712419321556034,4
lift,0.6075,0.032839513742890035,0.05983053111987497,0.05999999999999811,-0.00016946888012314004,8,4.118466643095863,1.600011000015733,0.9712419321751504,4,4.11846664309586,1.600010999984291,0.9712419321560655,4
lift,0.608,0.032869429008449975,0.05983053111987497,0.05999999999999808,-0.0001694688801231123,8,4.118466643095871,1.6000110000159182,0.971241932175261,4,4.11846664309587,1.6000109999840821,0.9712419321559362,4
lift,0.6085,0.032899344274009916,0.059830531119875,0.059999999999998097,-0.0001694688801230984,8,4.118466643095878,1.6000110000160643,0.9712419321753483,4,4.118466643095877,1.6000109999839538,0.9712419321558566,4
lift,0.609,0.032929259539569856,0.05983053111987499,0.05999999999999807,-0.0001694688801230776,8,4.118466643095883,1.6000110000161494,0.9712419321753986,4,4.118466643095883,1.6000109999838465,0.97124193215579,4
lift,0.6095,0.0329591748051298,0.05983053111987501,0.05999999999999808,-0.00016946888012307065,8,4.118466643095887,1.6000110000162269,0.9712419321754446,4,4.118466643095886,1.6000109999837884,0.9712419321557542,4
lift,0.61,0.03298909007068974,0.05983053111987506,0.059999999999998124,-0.00016946888012306371,8,4.11846664309589,1.6000110000162837,0.9712419321754785,4,4.11846664309589,1.6000109999837484,0.9712419321557288,4
lift,0.6105,0.03301900533624968,0.05983053111987513,0.059999999999998194,-0.00016946888012306371,8,4.118466643095893,1.600011000016328,0.9712419321755047,4,4.118466643095891,1.600010999983719,0.9712419321557109,4
lift,0.611,0.03304892060180962,0.059830531119875165,0.05999999999999822,-0.00016946888012305678,8,4.118466643095894,1.6000110000163439,0.9712419321755142,4,4.118466643095893,1.6000109999836774,0.9712419321556851,4
lift,0.6115,0.03307883586736956,0.05983053111987522,0.05999999999999828,-0.00016946888012305678,8,4.1184666430958945,1.6000110000163765,0.9712419321755338,4,4.118466643095893,1.600010999983661,0.9712419321556751,4
lift,0.612,0.0331087511329295,0.05983053111987521,0.05999999999999826,-0.00016946888012304984,8,4.118466643095896,1.6000110000163168,0.971241932175497,4,4.118466643095895,1.6000109999836782,0.971241932155685,4
lift,0.6125,0.03313866639848944,0.059830531119875206,0.05999999999999825,-0.0001694688801230429,8,4.118466643095895,1.6000110000162766,0.9712419321754729,4,4.1184666430958945,1.600010999983718,0.9712419321557093,4
lift,0.613,0.03316858166404938,0.0598305311198752,0.05999999999999825,-0.00016946888012304984,8,4.118466643095895,1.600011000016238,0.9712419321754495,4,4.1184666430958945,1.6000109999837575,0.9712419321557333,4
lift,0.6135,0.03319849692960932,0.05983053111987519,0.059999999999998235,-0.0001694688801230429,8,4.1184666430958945,1.6000110000162002,0.9712419321754268,4,4.1184666430958945,1.600010999983795,0.971241932155756,4
lift,0.614,0.03322841219516926,0.059830531119875185,0.059999999999998166,-0.00016946888012298045,8,4.118466643095921,1.6000110000168255,0.9712419321758,4,4.118466643095898,1.6000109999831698,0.9712419321553757,4
lift,0.6145,0.0332583274607292,0.059830531119875116,0.05999999999999811,-0.00016946888012299433,8,4.118466643095891,1.6000110000162207,0.9712419321754401,4,4.118466643095895,1.6000109999837329,0.9712419321557182,4
lift,0.615,0.03328824272628914,0.059830531119875,0.059999999999998,-0.00016946888012300126,8,4.118466643095893,1.6000110000163175,0.9712419321754984,4,4.118466643095896,1.6000109999836047,0.9712419321556401,4
lift,0.6155,0.03331815799184908,0.059830531119874984,0.059999999999998,-0.00016946888012301514,8,4.118466643095891,1.6000110000164751,0.9712419321755945,4,4.118466643095894,1.6000109999835157,0.9712419321555867,4
lift,0.616,0.033348073257409024,0.05983053111987494,0.059999999999997965,-0.00016946888012302208,8,4.118466643095893,1.6000110000165544,0.9712419321756423,4,4.1184666430958945,1.600010999983419,0.9712419321555277,4
lift,0.6165,0.033377988522968964,0.059830531119874936,0.059999999999997965,-0.00016946888012302902,8,4.118466643095977,1.6000110000166288,0.9712419321756675,4,4.118466643096008,1.6000109999833676,0.9712419321554698,4
lift,0.617,0.033407903788528905,0.0598305311198749,0.05999999999999794,-0.00016946888012303596,8,4.118466643095971,1.600011000016667,0.9712419321756921,4,4.118466643095995,1.6000109999833114,0.971241932155439,4
lift,0.6175,0.033437819054088845,0.0598305311198749,0.059999999999997944,-0.0001694688801230429,8,4.118466643095882,1.6000110000167154,0.9712419321757424,4,4.118466643095871,1.6000109999832857,0.9712419321554524,4
lift,0.618,0.033467734319648786,0.05983053111987487,0.059999999999997916,-0.0001694688801230429,8,4.118466643095886,1.6000110000167371,0.9712419321757547,4,4.1184666430958785,1.6000109999832448,0.9712419321554259,4
lift,0.6185,0.033497649585208726,0.059830531119874936,0.05999999999999797,-0.00016946888012303596,8,4.118466643095887,1.6000110000167957,0.9712419321757899,4,4.11846664309588,1.6000109999832466,0.9712419321554265,4
lift,0.619,0.03352756485076867,0.05983053111987496,0.059999999999998,-0.00016946888012303596,8,4.118466643095888,1.6000110000168095,0.9712419321757981,4,4.118466643095885,1.6000109999832075,0.9712419321554018,4
lift,0.6195,0.03355748011632861,0.059830531119874984,0.05999999999999803,-0.0001694688801230429,8,4.118466643095891,1.600011000016773,0.9712419321757754,4,4.1184666430958865,1.6000109999832421,0.9712419321554224,4
lift,0.62,0.03358739538188855,0.05983053111987494,0.059999999999997986,-0.0001694688801230429,8,4.118466643095891,1.6000110000167185,0.9712419321757422,4,4.118466643095889,1.6000109999832568,0.9712419321554306,4
lift,0.6205,0.03361731064744849,0.059830531119875005,0.059999999999997944,-0.00016946888012293881,8,4.118466643095909,1.600011000017505,0.9712419321762155,4,4.118466643095972,1.6000109999825352,0.9712419321549731,4
lift,0.621,0.03364722591300843,0.059830531119874984,0.059999999999997944,-0.00016946888012295963,8,4.118466643095895,1.6000110000168464,0.9712419321758188,4,4.1184666430958785,1.60001099998314,0.9712419321553623,4
lift,0.6215,0.03367714117856837,0.059830531119875,0.05999999999999798,-0.00016946888012298045,8,4.118466643095896,1.6000110000170575,0.9712419321759468,4,4.118466643095882,1.6000109999829517,0.9712419321552471,4
lift,0.622,0.03370705644412831,0.059830531119874984,0.05999999999999798,-0.00016946888012299433,8,4.118466643095895,1.6000110000171868,0.9712419321760254,4,4.118466643095885,1.600010999982803,0.9712419321551562,4
lift,0.6225,0.03373697170968825,0.059830531119875,0.05999999999999801,-0.00016946888012301514,8,4.118466643095895,1.6000110000172947,0.971241932176091,4,4.118466643095888,1.6000109999827157,0.9712419321551025,4
lift,0.623,0.03376688697524819,0.059830531119874984,0.059999999999998006,-0.00016946888012302208,8,4.1184666430958945,1.600011000017354,0.9712419321761271,4,4.118466643095889,1.6000109999826373,0.9712419321550546,4
lift,0.6235,0.03379680224080813,0.059830531119875005,0.05999999999999803,-0.00016946888012302208,8,4.1184666430958945,1.6000110000174135,0.9712419321761632,4,4.11846664309589,1.6000109999825984,0.9712419321550307,4
lift,0.624,0.03382671750636807,0.05983053111987505,0.05999999999999808,-0.00016946888012303596,8,4.118466643095893,1.6000110000174597,0.9712419321761917,4,4.118466643095889,1.6000109999825702,0.9712419321550139,4
lift,0.6245,0.03385663277192801,0.059830531119875116,0.05999999999999816,-0.0001694688801230429,8,4.118466643095979,1.6000110000174979,0.9712419321761945,4,4.118466643096005,1.6000109999825485,0.9712419321549735,4
lift,0.625,0.03388654803748795,0.059830531119875116,0.059999999999998166,-0.00016946888012304984,8,4.118466643095973,1.6000110000174388,0.9712419321761603,4,4.118466643095994,1.6000109999825638,0.9712419321549852,4
lift,0.6255000000000001,0.03391646330304789,0.05983053111987512,0.059999999999998166,-0.0001694688801230429,8,4.118466643095882,1.6000110000174002,0.9712419321761581,4,4.11846664309587,1.6000109999826029,0.9712419321550383,4
lift,0.626,0.033946378568607834,0.05983053111987507,0.05999999999999811,-0.0001694688801230429,8,4.118466643095886,1.6000110000173409,0.9712419321761212,4,4.118466643095875,1.6000109999826229,0.9712419321550493,4
lift,0.6265000000000001,0.033976293834167774,0.059830531119875074,0.059999999999998124,-0.00016946888012304984,8,4.118466643095887,1.6000110000173224,0.9712419321761097,4,4.118466643095879,1.6000109999826844,0.9712419321550855,4
lift,0.627,0.034006209099727715,0.059830531119875026,0.05999999999999807,-0.0001694688801230429,8,4.11846664309589,1.6000110000172652,0.9712419321760742,4,4.118466643095883,1.6000109999827021,0.9712419321550954,4
lift,0.6275000000000001,0.034036124365287655,0.05983053111987487,0.05999999999999804,-0.0001694688801231678,8,4.118466643095862,1.6000110000178398,0.9712419321764298,4,4.118466643096087,1.600010999982062,0.9712419321546586,4
lift,0.628,0.034066039630847596,0.059830531119874804,0.05999999999999794,-0.0001694688801231331,8,4.1184666430959105,1.6000110000172993,0.9712419321760902,4,4.118466643095854,1.6000109999826537,0.9712419321550729,4
lift,0.6285000000000001,0.034095954896407536,0.05983053111987477,0.059999999999997874,-0.00016946888012310535,8,4.118466643095907,1.600011000017485,0.9712419321762037,4,4.118466643095863,1.600010999982491,0.9712419321549718,4
lift,0.629,0.03412587016196748,0.05983053111987471,0.0599999999999978,-0.00016946888012309147,8,4.118466643095903,1.6000110000175989,0.9712419321762736,4,4.118466643095871,1.6000109999823593,0.9712419321548901,4
lift,0.6295000000000001,0.03415578542752742,0.059830531119874734,0.05999999999999782,-0.00016946888012308453,8,4.118466643095902,1.6000110000177177,0.9712419321763462,4,4.118466643095876,1.6000109999823025,0.9712419321548544,4
lift,0.63,0.03418570069308736,0.05983053111987473,0.059999999999997805,-0.0001694688801230776,8,4.1184666430959,1.6000110000177696,0.9712419321763782,4,4.118466643095881,1.6000109999822276,0.9712419321548077,4
lift,0.6305000000000001,0.0342156159586473,0.059830531119874755,0.05999999999999782,-0.00016946888012306371,8,4.118466643095898,1.600011000017827,0.9712419321764134,4,4.118466643095884,1.60001099998219,0.9712419321547845,4
lift,0.631,0.03424553122420724,0.05983053111987475,0.059999999999997805,-0.00016946888012305678,8,4.118466643095897,1.6000110000178531,0.9712419321764295,4,4.118466643095886,1.6000109999821421,0.9712419321547549,4
lift,0.6315000000000001,0.03427544648976718,0.05983053111987477,0.059999999999997826,-0.00016946888012305678,8,4.118466643095896,1.6000110000178935,0.9712419321764542,4,4.118466643095887,1.6000109999821208,0.9712419321547415,4
lift,0.632,0.03430536175532712,0.05983053111987482,0.059999999999997874,-0.00016946888012305678,8,4.118466643095896,1.60001100001793,0.9712419321764764,4,4.118466643095887,1.6000109999821017,0.9712419321547299,4
lift,0.6325000000000001,0.03433527702088706,0.05983053111987486,0.059999999999997916,-0.00016946888012305678,8,4.11846664309598,1.6000110000178922,0.9712419321764337,4,4.118466643096003,1.600010999982136,0.9712419321547234,4
lift,0.633,0.034365192286447,0.05983053111987484,0.05999999999999789,-0.00016946888012304984,8,4.1184666430959735,1.6000110000178351,0.9712419321764005,4,4.118466643095991,1.600010999982151,0.9712419321547353,4
