time_s,force_command_N,x_bottom_m,x_middle_m,x_top_m,x_rel_top_middle_m,v_rel_top_middle_m_s,box_0--ground_Fn_N,box_0--ground_Ft_N,box_0--ground_rho,box_0--box_1_Fn_N,box_0--box_1_Ft_N,box_0--box_1_rho,box_1--box_2_Fn_N,box_1--box_2_Ft_N,box_1--box_2_rho
5.335,0.5,-1.4313755855255295e-05,-0.014752174727618694,0.08285491168498993,0.0976070836186409,0.00507831573486339,9.595641778628863,0.11957512878086311,0.024922799649978053,70.06048468364695,2.0081512492368794,0.05732621629166687,59.57341323626177,7.702056740410504,0.2585736261195904
5.34,0.5,-1.5125006939342711e-05,-0.014775828458368778,0.08285491168498993,0.09763073921203613,0.0047311186790467315,18.112440431796553,4.9752540329408985,0.549374232773933,67.39883534153503,2.1113645862115655,0.06265285076552121,59.57341323626177,7.702056740410504,0.2585736261195904
5.345,0.5,-1.4320577975013293e-05,-0.014801309444010258,0.08285491168498993,0.09765622019767761,0.005096197128296007,9.59564016440822,0.1201804817353705,0.025048976342639303,70.0548245249149,2.036734892133938,0.05814688441363737,59.57341323626177,7.702056740410504,0.2585736261195904
5.3500000000000005,0.5,-1.513318329671165e-05,-0.014825013466179371,0.08285491168498993,0.09767992794513702,0.004741549491881583,18.112721633190375,4.991803013184611,0.551193035952969,67.40512444065266,2.131136257339203,0.06323365693703534,59.57341323626177,7.702056740410504,0.2585736261195904
5.355,0.5,-1.4326019481814e-05,-0.014850564301013947,0.08285491168498993,0.09770547598600388,0.005109608173370471,9.595661509031311,0.12050482338391706,0.02511652235137713,70.05367728486455,2.0512409860440153,0.05856197891519383,59.57341323626177,7.702056740410504,0.2585736261195904
5.36,0.5,-1.5141412404773291e-05,-0.014874345622956753,0.08285491168498993,0.09772925823926926,0.004756450653076273,18.11285222651464,5.009049302109539,0.5530933769532999,67.40228504153383,2.1467045681180963,0.06369827274536106,59.57341323626177,7.702056740410504,0.2585736261195904
5.365,0.5,-1.4330990779853892e-05,-0.014899984933435917,0.08285491168498993,0.09775489568710327,0.005127489566803088,9.595840189373284,0.12144153837039183,0.02531128821942653,70.05679403328796,2.064198164365611,0.05892927853320817,59.57341323626177,7.702056740410504,0.2585736261195904
5.37,0.5,-1.5149063074204605e-05,-0.01492384448647499,0.08285491168498993,0.09777875244617462,0.004771351814270121,18.11275551827,5.024186467715599,0.5547677671293907,67.40317994154097,2.1618255594873186,0.06414609997220541,59.57341323626177,7.702056740410504,0.2585736261195904
5.375,0.5,-1.4336311323859263e-05,-0.01494956761598587,0.08285491168498993,0.0978044793009758,0.005145370960235705,9.595840387720028,0.12174954590842149,0.025375483749026633,70.05840511562141,2.0789010404396837,0.05934765534581479,59.57341323626177,7.702056740410504,0.2585736261195904
5.38,0.5,-1.5157389498199336e-05,-0.014973504468798637,0.08285491168498993,0.09782841801643372,0.004787743091583354,18.113189841721002,5.042165705207341,0.5567396741565058,67.4031590215811,2.179770446866282,0.06467858416453047,59.57341323626177,7.702056740410504,0.2585736261195904
5.385,0.5,-1.4341770111059304e-05,-0.014999311417341232,0.08285491168498993,0.09785422682762146,0.005161762237548938,9.596042630439493,0.1222760259800387,0.025484677525747616,70.05144560659973,2.094970031626638,0.05981232831058852,59.57341323626177,7.702056740410504,0.2585736261195904
5.39,0.5,-1.5164843716775067e-05,-0.015023332089185715,0.08285491168498993,0.09787824749946594,0.004804134368896587,18.112680107373453,5.058564137710216,0.5585660551307298,67.40075927262839,2.193971521930078,0.06510227913177397,59.57341323626177,7.702056740410504,0.2585736261195904
5.3950000000000005,0.5,-1.4346685929922387e-05,-0.015049232169985771,0.08285491168498993,0.09790414571762085,0.005179643630980636,9.595809715865904,0.12261516642820923,0.025555981216566822,70.05223793392426,2.1108835891082753,0.06026598582330332,59.57341323626177,7.702056740410504,0.2585736261195904
5.4,0.5,-1.5173202882579062e-05,-0.015073332004249096,0.08285491168498993,0.0979282408952713,0.004819035530090434,18.11213130896207,5.074986727624744,0.560396415093743,67.39758832358476,2.2117303696584125,0.0656323297219361,59.57341323626177,7.702056740410504,0.2585736261195904
5.405,0.5,-1.4352040125231724e-05,-0.015099315904080868,0.08285491168498993,0.09795422852039337,0.0051975250244141735,9.595809987460738,0.12372962521932612,0.025788260789033755,70.05306630501225,2.1248690911100963,0.06066455626248764,59.57341323626177,7.702056740410504,0.2585736261195904
5.41,0.5,-1.5181200069491751e-05,-0.015123499557375908,0.08285491168498993,0.09797841310501099,0.0048369169235230524,18.112806951065895,5.09092800557625,0.5621357329463129,67.39940674681128,2.227763290264203,0.06610631748237458,59.57341323626177,7.702056740410504,0.2585736261195904
5.415,0.5,-1.4357564396050293e-05,-0.015149571932852268,0.08285491168498993,0.09800448268651962,0.005213916301727406,9.595426843173428,0.12328293889423883,0.025696186508252578,70.05042341425715,2.141035367063649,0.06112840615972324,59.57341323626177,7.702056740410504,0.2585736261195904
5.42,0.5,-1.51896383613348e-05,-0.015173838473856449,0.08285491168498993,0.0980287492275238,0.004853308200836285,18.112697557847643,5.11028960481274,0.5642770314572627,67.39855053121113,2.2453805817013897,0.06662993681627001,59.57341323626177,7.702056740410504,0.2585736261195904
5.425,0.5,-1.4362768524733838e-05,-0.015199990011751652,0.08285491168498993,0.098054900765419,0.005230307579040639,9.595403513357825,0.12311608890963995,0.025661471920018625,70.04835106309298,2.1563595618879376,0.06156774653969203,59.57341323626177,7.702056740410504,0.2585736261195904
5.43,0.5,-1.5197212633211166e-05,-0.015224335715174675,0.08285491168498993,0.09807924926280975,0.004869699478149518,18.113052369625425,5.126039196116665,0.5660050102557805,67.4073090103739,2.2603450388360518,0.06706528036857806,59.57341323626177,7.702056740410504,0.2585736261195904
5.4350000000000005,0.5,-1.4368030861078296e-05,-0.015250585041940212,0.08285491168498993,0.09810549765825272,0.005249679088591709,9.595631650753898,0.12306910466192979,0.025651068974132753,70.04322425685386,2.1725024845295904,0.062033194718816985,59.57341323626177,7.702056740410504,0.2585736261195904
5.44,0.5,-1.5206264833977912e-05,-0.015275009907782078,0.08285491168498993,0.09812992066144943,0.004884600639343366,18.113198102977424,5.142715975587016,0.5678418517094078,67.40485889638381,2.278330075700609,0.06760136028777707,59.57341323626177,7.702056740410504,0.2585736261195904
5.445,0.5,-1.4374154488905333e-05,-0.01530134305357933,0.08285491168498993,0.09815625846385956,0.005267560482025258,9.595838323307033,0.1252499752588261,0.026105061598341094,70.04378613910606,2.1897475633368186,0.06252510562430215,59.57341323626177,7.702056740410504,0.2585736261195904
5.45,0.5,-1.5214152881526388e-05,-0.015325845219194889,0.08285491168498993,0.09818075597286224,0.0048995018005372135,18.113554766103658,5.160330370472697,0.5697755561629847,67.41012283600641,2.2946025892624995,0.0680788728080128,59.57341323626177,7.702056740410504,0.2585736261195904
