phase,time_s,cube_z_m,cube_vz_m_s,pad_z_m,pad_vz_m_s,relative_vt_m_s,candidate_contact_count,truncated_contacts,solver_iterations,left_Fn_N,left_Ft_N,left_points,left_rho,left_phi0_min_m,left_geometric_signed_overlap_m,left_minus_phi0_minus_geometric_m,right_Fn_N,right_Ft_N,right_points,right_rho,right_phi0_min_m,right_geometric_signed_overlap_m,right_minus_phi0_minus_geometric_m
lift,2.2,0.04091283306479454,0.06356719136238098,0.04091394320130348,0.06356880068778992,-1.6093254089355469e-06,128,0,-1,4.040002822875977,0.8025495805481866,4,0.49662686867683403,-0.00010100007057189941,1.0009109973896368e-06,9.999915957450978e-05,4.040002822875977,0.8025502183881231,4,0.49662726337948926,-0.00010100007057189941,1.0009109973896368e-06,9.999915957450978e-05
lift,2.2025,0.04107186198234558,0.0636376366019249,0.04107297584414482,0.06363924592733383,-1.6093254089355469e-06,128,0,-1,4.040002822875976,0.8021379805473474,4,0.4963721658839867,-0.00010100007057189941,1.0009109973896368e-06,9.999915957450978e-05,4.040002822875977,0.8021386183560042,4,0.4963725605672856,-0.00010100007057189941,1.0009109973896368e-06,9.999915957450978e-05
lift,2.205,0.04123104736208916,0.0636955201625824,0.0412321612238884,0.06369712203741074,-1.601874828338623e-06,128,0,-1,4.040002822875976,0.8017289071391784,4,0.4961190265756101,-0.00010100007057189941,1.0009109973896368e-06,9.999915957450978e-05,4.040002822875976,0.8017297326446559,4,0.4961195374078506,-0.00010100007057189941,1.0009109973896368e-06,9.999915957450978e-05
lift,2.2075,0.04139035567641258,0.06374089419841766,0.04139147326350212,0.0637425035238266,-1.6093254089355469e-06,128,0,-1,4.040002822875975,0.8013222611042123,4,0.49586738935356206,-0.00010100007057189941,1.0009109973896368e-06,9.999915957450978e-05,4.040002822875976,0.8013232743108957,4,0.4958680163374576,-0.00010100007057189941,1.0009109973896368e-06,9.999915957450978e-05
lift,2.21,0.04154976084828377,0.06377388536930084,0.041550878435373306,0.06377548724412918,-1.601874828338623e-06,128,0,-1,4.040002822875976,0.8009195803699065,4,0.4956182059049603,-0.00010100007057189941,1.0009109973896368e-06,9.999915957450978e-05,4.040002822875976,0.8009205935475594,4,0.4956188328708916,-0.00010100007057189941,1.0009109973896368e-06,9.999915957450978e-05
lift,2.2125,0.04170922562479973,0.06379459798336029,0.041710350662469864,0.06379620730876923,-1.6093254089355469e-06,128,0,-1,4.040002822875977,0.8005234764394338,4,0.4953730922578671,-0.00010100007057189941,1.0009109973896368e-06,9.999915957450978e-05,4.040002822875976,0.8005234764401878,4,0.49537309225833376,-0.00010100007057189941,1.0009109973896368e-06,9.999915957450978e-05
lift,2.215,0.041868727654218674,0.06380323320627213,0.04186985641717911,0.06380483508110046,-1.601874828338623e-06,128,0,-1,4.040002822875976,0.8001303367226456,4,0.49512981290013863,-0.00010100007057189941,1.0009109973896368e-06,9.999915957450978e-05,4.040002822875976,0.8001301504833831,4,0.4951296976531508,-0.00010100007057189941,1.0009109973896368e-06,9.999915957450978e-05
lift,2.2175000000000002,0.04202823340892792,0.06379996240139008,0.04202936962246895,0.06380156427621841,-1.601874828338623e-06,128,0,-1,4.040002822875976,0.799745026428654,4,0.4948913784788742,-0.00010100007057189941,1.0009109973896368e-06,9.999915957450978e-05,4.040002822875976,0.7997452150736932,4,0.49489149521458425,-0.00010100007057189941,1.0009109973896368e-06,9.999915957450978e-05
lift,2.22,0.04218771308660507,0.06378503143787384,0.0421888530254364,0.06378663331270218,-1.601874828338623e-06,128,0,-1,4.040002822875975,0.7993681864686812,4,0.49465818559727603,-0.00010100007057189941,1.0009109973896368e-06,9.999915957450978e-05,4.040002822875975,0.7993689374576316,4,0.49465865031783646,-0.00010100007057189941,1.0009109973896368e-06,9.999915957450978e-05
lift,2.2225,0.04234713688492775,0.0637587159872055,0.042348284274339676,0.06376031786203384,-1.601874828338623e-06,128,0,-1,4.040002822875977,0.7990006230160871,4,0.4944307331246483,-0.00010100007057189941,1.0009109973896368e-06,9.999915957450978e-05,4.040002822875977,0.7990013728159775,4,0.4944311971094048,-0.00010100007057189941,1.0009109973896368e-06,9.999915957450978e-05
lift,2.225,0.04250648617744446,0.06372131407260895,0.042507633566856384,0.06372291594743729,-1.601874828338623e-06,128,0,-1,4.040002822875976,0.7986430829369782,4,0.4942094832302891,-0.00010100007057189941,1.0009109973896368e-06,9.999915957450978e-05,4.040002822875977,0.7986438339221846,4,0.4942099479485327,-0.00010100007057189941,1.0009109973896368e-06,9.999915957450978e-05
lift,2.2275,0.042665716260671616,0.06367315351963043,0.04266687110066414,0.06367475539445877,-1.601874828338623e-06,128,0,-1,4.040002822875976,0.7982968151759098,4,0.49399520877538794,-0.00010100007057189941,1.0009109973896368e-06,9.999915957450978e-05,4.040002822875976,0.7982973772315268,4,0.49399555658183864,-0.00010100007057189941,1.0009109973896368e-06,9.999915957450978e-05
