time_s,z_m,vz_m_s,contact_count,normal_force_N,phi0_m_pre_step,geometric_penetration_m
0.02,0.015892187133431435,0.12006945163011551,16,38.3476320472112,-0.00410781055688858,0.004107812866568566
0.0205,0.01596180908381939,0.13924327492713928,16,37.285873308279385,-0.004038192331790924,0.004038190916180611
0.021,0.016040751710534096,0.15788620710372925,16,36.142048376996776,-0.003959245979785919,0.003959248289465905
0.021500000000000002,0.01612873002886772,0.17595723271369934,16,34.91990502713623,-0.0038712695240974426,0.003871269971132279
0.022,0.016225438565015793,0.19341719150543213,16,33.62315500648719,-0.0037745609879493713,0.0037745614349842076
0.0225,0.016330553218722343,0.21022877097129822,16,32.255769311108914,-0.00366944819688797,0.003669446781277657
0.023,0.016443731263279915,0.2263566553592682,16,30.821753944499317,-0.0035562664270401,0.0035562687367200856
0.0235,0.016564615070819855,0.2417675256729126,16,29.325408155969196,-0.0034353844821453094,0.0034353849291801457
0.024,0.016692830249667168,0.2564302384853363,16,27.770988947491343,-0.0033071711659431458,0.0033071697503328328
0.0245,0.016827987506985664,0.2703157365322113,16,26.16286037467787,-0.0031720101833343506,0.003172012493014336
0.025,0.01696968637406826,0.2833971679210663,16,24.50563879664284,-0.0030303150415420532,0.0030303136259317402
0.025500000000000002,0.017117511481046677,0.2956499755382538,16,22.803785336650744,-0.0028824880719184875,0.0028824885189533238
0.026000000000000002,0.01727103814482689,0.3070518672466278,16,21.06201226400672,-0.002728961408138275,0.0027289618551731114
0.0265,0.017429830506443977,0.3175828754901886,16,19.28498670702465,-0.0025701671838760376,0.002570169493556023
0.027,0.017593443393707275,0.32722535729408264,16,17.477515109008756,-0.002406556159257889,0.002406556606292725
0.0275,0.01776142604649067,0.3359641134738922,16,15.644282674956752,-0.0022385716438293457,0.002238573953509331
0.028,0.0179333183914423,0.3437862694263458,16,13.790150816053016,-0.002066679298877716,0.0020666816085577015
0.0285,0.018108658492565155,0.350681334733963,16,11.919897753833038,-0.0018913410604000092,0.0018913415074348454
0.029,0.01828697882592678,0.3566412925720215,16,10.038290566384084,-0.0017130225896835327,0.0017130211740732197
0.029500000000000002,0.01846780814230442,0.3616604506969452,16,8.150051190802158,-0.0015321895480155945,0.00153219185769558
0.03,0.01865067519247532,0.3657354712486267,16,6.260003409246643,-0.001349322497844696,0.0013493248075246815
0.0305,0.01883510872721672,0.3688654601573944,16,4.372812874374066,-0.0011648908257484436,0.0011648912727832798
0.031,0.01902063377201557,0.3710518777370453,16,2.493099519119037,-0.0009793639183044434,0.0009793662279844288
0.0315,0.019206782802939415,0.3722984194755554,16,0.62551365400952,-0.0007932186126708984,0.0007932171970605854
0.032,0.019393088296055794,0.3726111650466919,16,0.0,-0.0006069093942642212,0.0006069117039442067
