sweep_group,engine,version,dt_ms,solref_timeconst_ms,dampratio,solimp_d0,solimp_dwidth_dmax,integrator,solver,iterations_budget,solver_iterations_mean,solver_iterations_max,max_penetration_mm,final_com_height_m,expected_com_height_m,final_com_height_error_mm,orientation_tilt_max_deg,tail_com_jitter_pp_mm,tail_tilt_jitter_pp_deg,settling_time_s,max_contacts,finite,order_preserved,escaped,failure,stepping_wall_s
primary_dt_x_solref,mujoco,3.12.0,0.25,8.0,1.0,0.95,0.99,implicitfast,Newton,100,1.0159980002499687,7,3.9777334488711924,0.005943138105068939,0.006,0.056861894931060745,0.23049198777048346,3.5482383290222352e-06,4.7537755373513145e-05,0.29525,18,True,False,False,True,0.3449795840133447
primary_dt_x_solref,mujoco,3.12.0,0.25,16.0,1.0,0.95,0.99,implicitfast,Newton,100,1.0124984376952881,9,5.456000309664244,0.005773535567978619,0.006,0.22646443202138133,0.05652597698017172,1.3115949035191754e-05,9.864249863030608e-05,0.2925,25,True,False,False,True,0.34288183398894034
primary_dt_x_solref,mujoco,3.12.0,0.5,1.0,1.0,0.95,0.99,implicitfast,Newton,100,1.1807048237940514,7,0.6524931077705447,0.005999198718118599,0.006,0.0008012818814009601,0.025421179572979537,0.0001778173238514702,2.919008657957884e-05,1.169,13,True,True,False,False,0.17661004199180752
primary_dt_x_solref,mujoco,3.12.0,0.5,2.0,1.0,0.95,0.99,implicitfast,Newton,100,1.1937015746063484,7,1.062516190464926,0.005996543585583628,0.006,0.0034564144163725177,0.0020667271339531498,6.476618469655748e-05,3.939398612087012e-05,0.197,13,True,True,False,False,0.18135491700377315
primary_dt_x_solref,mujoco,3.12.0,0.5,4.0,1.0,0.95,0.99,implicitfast,Newton,100,0.9807548112971757,5,2.06078933690003,0.005985852700907447,0.006,0.014147299092552752,0.0017514125376300036,1.8551313441146633e-05,5.813012569947047e-05,0.20650000000000002,13,True,True,False,False,0.17021316700265743
primary_dt_x_solref,mujoco,3.12.0,0.5,8.0,1.0,0.95,0.99,implicitfast,Newton,100,1.0509872531867033,9,4.014216134677891,0.005943137188159326,0.006,0.056862811840674085,1.4434578729947436,3.551097841995865e-06,6.818794861258741e-05,0.5630000000000001,18,True,False,False,True,0.17066758399596438
primary_dt_x_solref,mujoco,3.12.0,0.5,16.0,1.0,0.95,0.99,implicitfast,Newton,100,1.020744813796551,7,5.4114630835543,0.00577353504713287,0.006,0.2264649528671298,0.12353730037497303,3.1233957913968935e-05,0.00021404238498778615,1.9155,24,True,False,False,True,0.16740737500367686
primary_dt_x_solref,mujoco,3.12.0,1.0,2.0,1.0,0.95,0.99,implicitfast,Newton,100,1.160919540229885,4,1.001398900040872,0.00599648044497731,0.006,0.003519555022689705,0.018775985713383306,0.00019644409104003363,0.0001239928637013022,1.99,13,True,True,False,False,0.08544945798348635
primary_dt_x_solref,mujoco,3.12.0,1.0,4.0,1.0,0.95,0.99,implicitfast,Newton,100,0.9810094952523738,6,1.836846113873339,0.00598584217767317,0.006,0.014157822326829779,0.0018728997618401996,4.6601524396339133e-05,0.00015322829164394436,1.991,13,True,True,False,False,0.08330216599279083
primary_dt_x_solref,mujoco,3.12.0,1.0,8.0,1.0,0.95,0.99,implicitfast,Newton,100,0.9960019990004998,3,3.5339757357475032,0.00594315141429539,0.006,0.05684858570460978,0.0028533742427423237,1.2810900775969691e-05,0.00024340898738731172,1.993,13,True,True,False,False,0.08296274999156594
