time_s,force_command_N,ground_bottom_slip_m,ground_bottom_vt_m_s,ground_bottom_Fn_N,ground_bottom_Ft_N,ground_bottom_rho,ground_bottom_point_rho_max,ground_bottom_contacts,ground_bottom_gap_m,ground_bottom_dist_min_m,bottom_middle_slip_m,bottom_middle_vt_m_s,bottom_middle_Fn_N,bottom_middle_Ft_N,bottom_middle_rho,bottom_middle_point_rho_max,bottom_middle_contacts,bottom_middle_gap_m,bottom_middle_dist_min_m,middle_top_slip_m,middle_top_vt_m_s,middle_top_Fn_N,middle_top_Ft_N,middle_top_rho,middle_top_point_rho_max,middle_top_contacts,middle_top_gap_m,middle_top_dist_min_m,box_0_vz_m_s,box_1_vz_m_s,box_2_vz_m_s,solver_iterations
2.91,1.0,2.4554110398520663e-05,2.6397232587692953e-05,29.42999999971208,0.9999999967638119,0.06795786590374414,0.08211552507532681,4,-3.279044388890262e-06,-3.8443400632616476e-06,4.984809519721248e-05,5.287187993808142e-05,19.619937643324185,0.999999996763646,0.10193712283320153,0.1208698376260574,4,-4.374213957596129e-06,-5.0522361327583154e-06,5.0736592870479276e-05,5.286321655530025e-05,9.809926348183533,0.9999999979734038,0.20387512861573523,0.22753299753474143,4,-2.1893841476647302e-06,-2.4118905780237432e-06,-1.281338488448317e-13,-2.4314761233184195e-09,-6.081564989603536e-09,1
2.915,1.0,2.4686096561457293e-05,2.6397232587026436e-05,29.42999999970698,0.9999999967641328,0.06795786590377773,0.08211683673615479,4,-3.279044389535579e-06,-3.844383408301011e-06,5.0112454613539593e-05,5.2871885987817226e-05,19.61993763779997,0.9999999967639311,0.10193712286193214,0.12087189244708053,4,-4.3742261154125495e-06,-5.052298486796405e-06,5.100090896448667e-05,5.2863220639290934e-05,9.809926341788719,0.9999999979735882,0.20387512874867325,0.22753486417039304,4,-2.189402399870033e-06,-2.4119065326526013e-06,-1.2862945240302434e-13,-2.4318793731963532e-09,-6.082603445147316e-09,1
2.92,1.0,2.4818082724390924e-05,2.6397232586480252e-05,29.42999999970432,0.9999999967638891,0.0679578659037673,0.08211814843895747,4,-3.2790443901531408e-06,-3.844426753371599e-06,5.037681406011608e-05,5.287189203779609e-05,19.619937632277033,0.9999999967636881,0.10193712289060228,0.12087394736485617,4,-4.3742382752690045e-06,-5.0523608416640084e-06,5.126522507891431e-05,5.286322472339083e-05,9.809926335394632,0.9999999979734118,0.20387512888152262,0.22753673086119672,4,-2.189420655204777e-06,-2.4119224875375615e-06,-1.2307744910147886e-13,-2.4322767051414767e-09,-6.083625766041922e-09,1
2.9250000000000003,1.0,2.495006888732204e-05,2.6397232585944917e-05,29.429999999714834,0.9999999967647283,0.06795786590380007,0.08211946018385909,4,-3.2790443907811107e-06,-3.844470098404024e-06,5.064117353694332e-05,5.2871898088039946e-05,19.6199376267663,0.9999999967643944,0.10193712291930578,0.12087600237951754,4,-4.374250437172433e-06,-5.052423197354052e-06,5.152954121376355e-05,5.2863228807909995e-05,9.809926329002222,0.9999999979738108,0.20387512901445445,0.22753859760737094,4,-2.1894389136897785e-06,-2.4119384425918465e-06,-1.2853619366895584e-13,-2.432691957862574e-09,-6.084672317331997e-09,1
2.93,1.0,2.508205505025003e-05,2.639723258532344e-05,29.42999999970869,0.9999999967640351,0.06795786590376714,0.08212077197071295,4,-3.2790443914264278e-06,-3.844513443464204e-06,5.090553304402091e-05,5.287190413806826e-05,19.619937621237675,0.9999999967638069,0.10193712294797035,0.12087805749098186,4,-4.374262601088141e-06,-5.0524855538323606e-06,5.179385736903417e-05,5.286323289201982e-05,9.809926322611709,0.9999999979734847,0.20387512914719905,0.2275404644085789,4,-2.1894571753458547e-06,-2.4119543979092975e-06,-1.283141490640308e-13,-2.4331012855454334e-09,-6.085710826166481e-09,1
2.935,1.0,2.5214041213175518e-05,2.6397232584807806e-05,29.42999999970481,0.9999999967628339,0.06795786590369447,0.08212208379955528,4,-3.279044392071745e-06,-3.844556788520914e-06,5.1169892581350266e-05,5.2871910188464924e-05,19.61993761571365,0.9999999967628239,0.10193712297657072,0.12088011269921632,4,-4.374274767064701e-06,-5.052547911150584e-06,5.205817354472708e-05,5.2863236976554264e-05,9.809926316216808,0.9999999979729797,0.20387512927999832,0.22754233126512607,4,-2.189475440131372e-06,-2.411970353437735e-06,-1.2868540764346544e-13,-2.433514404861966e-09,-6.086747199820043e-09,1
2.94,1.0,2.5346027376097846e-05,2.6397232584333877e-05,29.4299999997106,0.9999999967626685,0.06795786590366987,0.08212339567050694,4,-3.279044392717062e-06,-3.8446001335915025e-06,5.143425214893068e-05,5.287191623895703e-05,19.619937610196956,0.9999999967626158,0.10193712300521196,0.12088216800436431,4,-4.374286935074356e-06,-5.052610269357509e-06,5.23224897408416e-05,5.286324106105203e-05,9.80992630982746,0.9999999979727818,0.2038751294127448,0.2275441981768798,4,-2.1894937081157195e-06,-2.411986309107841e-06,-1.2826263471568816e-13,-2.4339131774324864e-09,-6.087788004595739e-09,1
2.945,1.0,2.5478013539017572e-05,2.639723258370023e-05,29.429999999702016,0.9999999967628264,0.06795786590370041,0.08212470758358818,4,-3.279044393338093e-06,-3.8446434786829076e-06,5.169861174676384e-05,5.287192228936625e-05,19.619937604668486,0.9999999967627788,0.10193712303395223,0.12088422340652216,4,-4.374299105096291e-06,-5.052672628369959e-06,5.258680595737947e-05,5.286324514561869e-05,9.809926303431766,0.9999999979729176,0.20387512954569123,0.22754606514416015,4,-2.1895119792017526e-06,-2.4120022650653435e-06,-1.2255342383385575e-13,-2.4343108086937368e-09,-6.088809168193864e-09,1
2.95,1.0,2.5609999701934622e-05,2.6397232583179832e-05,29.429999999706887,0.99999999676241,0.06795786590366087,0.08212601953861828,4,-3.2790443939625935e-06,-3.844686823736149e-06,5.1962971374850004e-05,5.287192834004915e-05,19.619937599151868,0.9999999967624262,0.10193712306257838,0.12088627890539994,4,-4.374311277179077e-06,-5.052734988239893e-06,5.2851122194340644e-05,5.28632492303712e-05,9.80992629703983,0.9999999979727254,0.2038751296784927,0.22754793216653685,4,-2.1895302534241656e-06,-2.4120182211471977e-06,-1.277279513070287e-13,-2.434716575669312e-09,-6.089857596204939e-09,1
2.955,1.0,2.5741985864849005e-05,2.6397232582588617e-05,29.42999999971265,0.9999999967626203,0.06795786590366186,0.0821273315357579,4,-3.2790443946079106e-06,-3.844730168813676e-06,5.222733103318977e-05,5.287193439071884e-05,19.619937593635754,0.9999999967626116,0.10193712309125673,0.12088833450123329,4,-4.3743234512741425e-06,-5.052797348877324e-06,5.3115438451725815e-05,5.286325331512865e-05,9.80992629065026,0.9999999979728457,0.20387512981130865,0.22754979924421215,4,-2.18954853083847e-06,-2.4120341775338215e-06,-1.2852020645740124e-13,-2.435132048658658e-09,-6.0908959025347424e-09,1
