time_s,box_vx,box_vy,box_vz,ball_vx,ball_vy,ball_vz
4.000000000000000083e-02,1.111414562910795212e-02,1.925027184188365936e-02,-3.285365644842386246e-03,6.844412535429000854e-03,1.185477431863546371e-02,-4.386268556118011475e-03
4.200000000000000261e-02,1.150642521679401398e-02,1.992972008883953094e-02,-2.914039883762598038e-03,7.085790857672691345e-03,1.227282360196113586e-02,-3.995093982666730881e-03
4.399999999999999745e-02,1.190015394240617752e-02,2.061168849468231201e-02,-2.547251526266336441e-03,7.328055799007415771e-03,1.269242260605096817e-02,-3.610553918406367302e-03
4.599999999999999922e-02,1.229533739387989044e-02,2.129616215825080872e-02,-2.185554942116141319e-03,7.571233436465263367e-03,1.311355270445346832e-02,-3.231239272281527519e-03
4.800000000000000100e-02,1.269189827144145966e-02,2.198302745819091797e-02,-1.828731619752943516e-03,7.815212942659854889e-03,1.353618968278169632e-02,-2.857183804735541344e-03
5.000000000000000278e-02,1.308988407254219055e-02,2.267234213650226593e-02,-1.476548030041158199e-03,8.060073480010032654e-03,1.396032888442277908e-02,-2.488744677975773811e-03
5.200000000000000455e-02,1.348918676376342773e-02,2.336394786834716797e-02,-1.129476469941437244e-03,8.305747061967849731e-03,1.438587531447410583e-02,-2.123582875356078148e-03
5.399999999999999939e-02,1.388983521610498428e-02,2.405789494514465332e-02,-7.867505773901939392e-04,8.552253246307373047e-03,1.481286436319351196e-02,-1.763159991241991520e-03
5.600000000000000117e-02,1.429181639105081558e-02,2.475415170192718506e-02,-4.485540266614407301e-04,8.799605071544647217e-03,1.524128299206495285e-02,-1.409883494488894939e-03
5.800000000000000294e-02,1.469509955495595932e-02,2.545265667140483856e-02,-1.151507385657168925e-04,9.047746658325195312e-03,1.567110419273376465e-02,-1.059332280419766903e-03
5.999999999999999778e-02,1.509968377649784088e-02,2.615341544151306152e-02,2.138585550710558891e-04,9.296701289713382721e-03,1.610229164361953735e-02,-7.139680674299597740e-04
6.199999999999999956e-02,1.550558395683765411e-02,2.685645781457424164e-02,5.385373369790613651e-04,9.546463377773761749e-03,1.653490401804447174e-02,-3.738128289114683867e-04
6.400000000000000133e-02,1.591271348297595978e-02,2.756162732839584351e-02,8.587627671658992767e-04,9.796977974474430084e-03,1.696882396936416626e-02,-4.000216358690522611e-05
6.600000000000000311e-02,1.632105186581611633e-02,2.826888300478458405e-02,1.174408011138439178e-03,1.004824694246053696e-02,1.740403100848197937e-02,2.927879686467349529e-04
6.800000000000000488e-02,1.673063077032566071e-02,2.897829003632068634e-02,1.486178138293325901e-03,1.030026283115148544e-02,1.784055493772029877e-02,6.191515130922198296e-04
7.000000000000000666e-02,1.714142225682735443e-02,2.968980371952056885e-02,1.793554984033107758e-03,1.055304147303104401e-02,1.827839389443397522e-02,9.410671191290020943e-04
7.200000000000000844e-02,1.755341328680515289e-02,3.040339052677154541e-02,2.097061602398753166e-03,1.080655399709939957e-02,1.871751435101032257e-02,1.259068143554031849e-03
