time_s,delta_m,normal_force_N,contact_points,vz_m_s
1.7575,4.999995871912688e-05,19.99980289059945,4,-1.4956734162296925e-07
1.758,4.9999951443169266e-05,20.00031879733649,4,1.411217542823806e-08
1.7585,4.999990051146597e-05,20.000195732187716,4,1.0201585354252529e-07
1.759,4.999993325327523e-05,19.999680401400013,4,-6.207505265365398e-08
1.7595,4.999990051146597e-05,20.000247532936747,4,6.501532112679342e-08
1.76,4.9999940529232845e-05,19.99971053914993,4,-8.360201775303722e-08
1.7605,4.9999915063381195e-05,20.000265067124776,4,5.249089696235387e-08
1.761,4.9999853217741475e-05,20.000162743418763,4,1.255792625443064e-07
1.7615,4.9999878683593124e-05,19.999661208483456,4,-4.8365830451757574e-08
1.762,4.999995508114807e-05,19.99980289059945,4,-1.4956734162296925e-07
1.7625,4.999994780519046e-05,20.00031879733649,4,1.411217542823806e-08
1.763,4.999989687348716e-05,20.000195732187716,4,1.0201585354252529e-07
1.7635,4.9999929615296423e-05,19.999680401400013,4,-6.207505265365398e-08
1.764,4.999989687348716e-05,20.000247532936747,4,6.501532112679342e-08
1.7645,4.999993689125404e-05,19.99971053914993,4,-8.360201775303722e-08
1.765,4.999991142540239e-05,20.000265067124776,4,5.249089696235387e-08
1.7655,4.999995508114807e-05,19.999720740569824,4,-9.088874719509477e-08
1.766,4.9999929615296423e-05,20.000271002326695,4,4.8251468598436986e-08
1.7665,4.99998677696567e-05,20.00016638745697,4,1.2297637397296057e-07
1.767,4.999989323550835e-05,19.999663328593716,4,-4.988019242091468e-08
1.7675,4.99999696330633e-05,19.99980412408063,4,-1.5044840040445706e-07
1.768,4.999996235710569e-05,20.000319514978326,4,1.359957391144917e-08
1.7685,4.999991142540239e-05,20.00019617279886,4,1.0170113284857507e-07
1.769,4.999994416721165e-05,19.999680657746925,4,-6.225815951665936e-08
1.7695,4.999991142540239e-05,20.00024768208137,4,6.490878945442091e-08
1.77,4.9999951443169266e-05,19.999710625922326,4,-8.366399839587757e-08
1.7705,4.9999925977317616e-05,20.00026511760939,4,5.245483691851405e-08
1.771,4.9999864131677896e-05,20.000162774414527,4,1.2555712203266012e-07
1.7715,4.9999889597529545e-05,19.999661226517407,4,-4.8378709038843226e-08
1.772,4.9999965995084494e-05,19.999802901089286,4,-1.4957483074340416e-07
1.7725,4.999995871912688e-05,20.000318803436464,4,1.4107818024911012e-08
1.773,4.999990778742358e-05,20.00019573593314,4,1.0201317479641148e-07
1.7735,4.9999940529232845e-05,19.999680403581984,4,-6.207661584767266e-08
1.774,4.999990778742358e-05,20.000247534210104,4,6.501441163209165e-08
1.7745,4.999994780519046e-05,19.99971053989073,4,-8.360255066008904e-08
