phase,time_from_release_s,x_m,z_m,vx_m_s,vz_m_s,normal_force_N,friction_force_x_N,active_contact_points,phi_min_m,geometric_penetration_m,analytic_vx_m_s,analytic_x_m
free_slide,0.34025,0.10180006921291351,0.019754750654101372,0.0,-1.3510529015547945e-06,9.81013159143682,0.0,4,-0.0002452488988637924,0.00024524934589862865,0.0,0.05632392171874995
free_slide,0.3405,0.10180006921291351,0.019754750654101372,0.0,-1.321277181887126e-06,9.810127720591755,0.0,4,-0.0002452488988637924,0.00024524934589862865,0.0,0.056156536874999996
free_slide,0.34075,0.10180006921291351,0.019754750654101372,0.0,-1.292380147788208e-06,9.81012396397545,0.0,4,-0.0002452488988637924,0.00024524934589862865,0.0,0.05598884546874999
free_slide,0.341,0.10180006921291351,0.019754748791456223,0.0,-1.2643358786590397e-06,9.810120318217383,0.0,4,-0.0002452488988637924,0.0002452512085437779,0.0,0.05582084749999999
free_slide,0.34125,0.10180006921291351,0.019754748791456223,0.0,-1.2165290854682098e-06,9.810188609142578,0.0,4,-0.00024525076150894165,0.0002452512085437779,0.0,0.055652542968749996
free_slide,0.3415,0.10180006921291351,0.019754748791456223,0.0,-1.1702505844368716e-06,9.810182592941896,0.0,4,-0.00024525076150894165,0.0002452512085437779,0.0,0.05548393187499995
free_slide,0.34175,0.10180006921291351,0.019754748791456223,0.0,-1.1254516039116425e-06,9.810176769067658,0.0,4,-0.00024525076150894165,0.0002452512085437779,0.0,0.055315014218750014
free_slide,0.342,0.10180006921291351,0.019754748791456223,0.0,-1.0820848501680302e-06,9.810171131382454,0.0,4,-0.00024525076150894165,0.0002452512085437779,0.0,0.05514578999999997
free_slide,0.34225,0.10180006921291351,0.019754748791456223,0.0,-1.0401043937235954e-06,9.810165673934483,0.0,4,-0.00024525076150894165,0.0002452512085437779,0.0,0.05497625921874999
free_slide,0.3425,0.10180006921291351,0.019754748791456223,0.0,-9.994660103984643e-07,9.81016039094349,0.0,4,-0.00024525076150894165,0.0002452512085437779,0.0,0.054806421874999955
free_slide,0.34275,0.10180006921291351,0.019754746928811073,0.0,-9.601268402548158e-07,9.810155276844618,0.0,4,-0.00024525076150894165,0.0002452530711889271,0.0,0.05463627796874998
free_slide,0.343,0.10180006921291351,0.019754746928811073,0.0,-9.037232757691527e-07,9.810222450186915,0.0,4,-0.0002452526241540909,0.0002452530711889271,0.0,0.05446582749999995
