time_s,force_command_N,ground_bottom_slip_m,ground_bottom_vt_m_s,ground_bottom_Fn_N,ground_bottom_Ft_N,ground_bottom_rho,ground_bottom_point_rho_max,ground_bottom_contacts,bottom_middle_slip_m,bottom_middle_vt_m_s,bottom_middle_Fn_N,bottom_middle_Ft_N,bottom_middle_rho,bottom_middle_point_rho_max,bottom_middle_contacts,middle_top_slip_m,middle_top_vt_m_s,middle_top_Fn_N,middle_top_Ft_N,middle_top_rho,middle_top_point_rho_max,middle_top_contacts,solver_iterations
1.9345,0.6943999999999999,5.019234644076053e-06,2.300657573603342e-05,29.42999999458239,0.6939249036592747,0.04715765571097626,0.05349218602976344,4,1.011407035603399e-05,4.619411157992359e-05,19.61999540520338,0.6939776841254999,0.07074188039223,0.07920314230649148,4,1.0214199291966446e-05,4.642620782864712e-05,9.80999457180553,0.6941360502767613,0.1415160926330677,0.15235344438701834,4,1
1.935,0.6952000000000002,5.030751127060613e-06,2.3032965969122225e-05,29.4299999945723,0.6947249036532058,0.047212022003488424,0.05356218338513665,4,1.0137193808245588e-05,4.624690442319231e-05,19.619995394528836,0.6947776841193836,0.07082342988858467,0.07930541621182388,4,1.0237438791774566e-05,4.647899961624038e-05,9.809994559195442,0.6949360502720984,0.14167919178317934,0.1525425302674233,4,1
1.9355,0.6960000000000001,5.042280805161772e-06,2.3059356202316883e-05,29.429999994572974,0.6955249036448847,0.04726638829583029,0.05363220259473713,4,1.0160343656879317e-05,4.629969726745811e-05,19.619995383851055,0.695577684111274,0.07090497938483659,0.07940771855615225,4,1.0260704687477406e-05,4.653179140568257e-05,9.809994546576858,0.6957360502661949,0.1418422909335802,0.1527316497449239,4,1
1.936,0.6968,5.053823678379474e-06,2.308574643540297e-05,29.42999999456644,0.6963249036402522,0.047320754588434405,0.053702243669624686,4,1.0183519901935477e-05,4.635249011231942e-05,19.619995373154556,0.6963776841064245,0.0709865288815773,0.0795100493525604,4,1.0283996979075695e-05,4.658458319657542e-05,9.809994533939951,0.6965360502623197,0.1420053900850794,0.1529208028299035,4,1
1.9365,0.6975999999999999,5.065379746713671e-06,2.3112136668393912e-05,29.42999999456026,0.6971249036354467,0.047375120881026224,0.053772306619973294,4,1.0206722543414374e-05,4.6405282957792404e-05,19.619995362445984,0.6971776841014283,0.07106807837843573,0.07961240861295472,4,1.030731566657016e-05,4.663737498893333e-05,9.809994521287862,0.6973360502583563,0.14216848923720085,0.15310998953124494,4,1
1.937,0.6984000000000001,5.076949010164468e-06,2.3138526901593785e-05,29.429999994555153,0.6979249036253714,0.04742948717325821,0.05384239145587178,4,1.02299515813166e-05,4.64580758044525e-05,19.619995351726082,0.6979776840917707,0.07114962787494908,0.07971479634913665,4,1.0330660749961824e-05,4.6690166783327846e-05,9.809994508622598,0.6981360502514911,0.14233158838934254,0.15329920985768702,4,1
1.9375,0.6992,5.088531468731842e-06,2.316491713474942e-05,29.429999994551963,0.6987249036195946,0.04748385346577924,0.05391249818867271,4,1.025320701564252e-05,4.651086865183513e-05,19.619995340995224,0.6987776840859059,0.07123117737197796,0.07981721257454154,4,1.0354032229251472e-05,4.6742958579298424e-05,9.809994495942988,0.6989360502469826,0.14249468754259423,0.15348846381995507,4,1
1.938,0.7,5.100127122415768e-06,2.319130736785137e-05,29.429999994546016,0.6995249036140415,0.047538219758319934,0.05398262682857705,4,1.0276488846392476e-05,4.6563661499912e-05,19.619995330249395,0.6995776840802452,0.07131272686917124,0.07991965730112245,4,1.0377430104439881e-05,4.679575037681819e-05,9.809994483246822,0.6997360502426027,0.1426577866965345,0.15367775142700552,4,1
1.9385000000000001,0.7007999999999999,5.111735971216288e-06,2.3217697601039842e-05,29.42999999453757,0.7003249036060558,0.04759258605069938,0.054052777385903895,4,1.0299797073566952e-05,4.6616454348949335e-05,19.61999531948915,0.700377684072433,0.07139427636628701,0.08002213054097404,4,1.0400854375527957e-05,4.684854217615003e-05,9.80999447053382,0.7005360502368846,0.14282088585086924,0.15386707268794855,4,1
1.939,0.7016000000000002,5.123358015133268e-06,2.3244087833959923e-05,29.42999999453007,0.7011249036042251,0.047646952343495606,0.05412294987193739,4,1.032313169716609e-05,4.666924719827446e-05,19.619995308717243,0.7011776840700652,0.0714758258640897,0.08012463230743554,4,1.042430504251627e-05,4.690133397662709e-05,9.809994457808113,0.7013360502345557,0.14298398500650286,0.15405642761330451,4,1
