time_s,delta_m,normal_force_N,contact_points,vz_m_s
1.547,5.00015084980987e-06,20.000919804816636,4,2.777927079478104e-07
1.5474999999999999,5.000215878681047e-06,19.999183653030734,4,-1.303807835029147e-07
1.548,5.000306828151224e-06,19.999909117635355,4,-1.8219967046206875e-07
1.5485,5.000168130209204e-06,20.000919962262248,4,2.7778145295087597e-07
1.549,5.0002331590803806e-06,19.99918367272698,4,-1.3038219037753151e-07
1.5494999999999999,5.000324108550558e-06,19.9999091198281,4,-1.8219982678147062e-07
1.55,5.0001854106085375e-06,20.000919962535807,4,2.7778145295087597e-07
1.5505,5.000250439479714e-06,19.99918367272698,4,-1.3038219037753151e-07
1.551,5.0003413889498916e-06,19.9999091198281,4,-1.8219982678147062e-07
1.5514999999999999,5.000202691007871e-06,20.000919962535807,4,2.7778145295087597e-07
1.552,5.000267719879048e-06,19.99918367272698,4,-1.3038219037753151e-07
1.5525,5.000358669349225e-06,19.9999091198281,4,-1.8219982678147062e-07
1.553,5.000219971407205e-06,20.000919962535807,4,2.7778145295087597e-07
1.5534999999999999,5.000285000278382e-06,19.99918367272698,4,-1.3038219037753151e-07
1.554,5.000142664357554e-06,20.000829281672015,4,2.842586468432273e-07
1.5545,5.00020723848138e-06,19.99917233763766,4,-1.295725411409876e-07
1.555,5.000298187951557e-06,19.99990785791386,4,-1.821097015408668e-07
1.5554999999999999,5.000159490009537e-06,20.000919804816636,4,2.777927079478104e-07
1.556,5.000224518880714e-06,19.999183653030734,4,-1.303807835029147e-07
1.5565,5.000315468350891e-06,19.999909117635355,4,-1.8219967046206875e-07
1.557,5.000176770408871e-06,20.000919962262248,4,2.7778145295087597e-07
1.5574999999999999,5.000241799280047e-06,19.99918367272698,4,-1.3038219037753151e-07
1.558,5.000332748750225e-06,19.9999091198281,4,-1.8219982678147062e-07
1.5585,5.000194050808204e-06,20.000919962535807,4,2.7778145295087597e-07
1.559,5.000259079679381e-06,19.99918367272698,4,-1.3038219037753151e-07
1.5594999999999999,5.000350029149558e-06,19.9999091198281,4,-1.8219982678147062e-07
1.56,5.000211331207538e-06,20.000919962535807,4,2.7778145295087597e-07
1.5605,5.000276360078715e-06,19.99918367272698,4,-1.3038219037753151e-07
1.561,5.000134024157887e-06,20.000829281672015,4,2.842586468432273e-07
1.5614999999999999,5.000198598281713e-06,19.99917233763766,4,-1.295725411409876e-07
1.562,5.0002895477518905e-06,19.99990785791386,4,-1.821097015408668e-07
1.5625,5.00015084980987e-06,20.000919804816636,4,2.777927079478104e-07
1.563,5.000215878681047e-06,19.999183653030734,4,-1.303807835029147e-07
1.5635,5.000306828151224e-06,19.999909117635355,4,-1.8219967046206875e-07
1.564,5.000168130209204e-06,20.000919962262248,4,2.7778145295087597e-07
1.5645,5.0002331590803806e-06,19.99918367272698,4,-1.3038219037753151e-07
1.565,5.000324108550558e-06,19.9999091198281,4,-1.8219982678147062e-07
1.5655,5.0001854106085375e-06,20.000919962535807,4,2.7778145295087597e-07
1.566,5.000250439479714e-06,19.99918367272698,4,-1.3038219037753151e-07
1.5665,5.0003413889498916e-06,19.9999091198281,4,-1.8219982678147062e-07
1.567,5.000202691007871e-06,20.000919962535807,4,2.7778145295087597e-07
1.5675,5.000267719879048e-06,19.99918367272698,4,-1.3038219037753151e-07
1.568,5.000358669349225e-06,19.9999091198281,4,-1.8219982678147062e-07
1.5685,5.000219971407205e-06,20.000919962535807,4,2.7778145295087597e-07
1.569,5.000285000278382e-06,19.99918367272698,4,-1.3038219037753151e-07
1.5695,5.000142664357554e-06,20.000829281672015,4,2.842586468432273e-07
1.57,5.00020723848138e-06,19.99917233763766,4,-1.295725411409876e-07
1.5705,5.000298187951557e-06,19.99990785791386,4,-1.821097015408668e-07
1.571,5.000159490009537e-06,20.000919804816636,4,2.777927079478104e-07
1.5715,5.000224518880714e-06,19.999183653030734,4,-1.303807835029147e-07
1.572,5.000315468350891e-06,19.999909117635355,4,-1.8219967046206875e-07
1.5725,5.000176770408871e-06,20.000919962262248,4,2.7778145295087597e-07
1.573,5.000241799280047e-06,19.99918367272698,4,-1.3038219037753151e-07
1.5735,5.000332748750225e-06,19.9999091198281,4,-1.8219982678147062e-07
1.574,5.000194050808204e-06,20.000919962535807,4,2.7778145295087597e-07
1.5745,5.000259079679381e-06,19.99918367272698,4,-1.3038219037753151e-07
1.575,5.000350029149558e-06,19.9999091198281,4,-1.8219982678147062e-07
1.5755,5.000211331207538e-06,20.000919962535807,4,2.7778145295087597e-07
1.576,5.000276360078715e-06,19.99918367272698,4,-1.3038219037753151e-07
1.5765,5.000134024157887e-06,20.000829281672015,4,2.842586468432273e-07
1.577,5.000198598281713e-06,19.99917233763766,4,-1.295725411409876e-07
1.5775,5.0002895477518905e-06,19.99990785791386,4,-1.821097015408668e-07
1.578,5.00015084980987e-06,20.000919804816636,4,2.777927079478104e-07
1.5785,5.000215878681047e-06,19.999183653030734,4,-1.303807835029147e-07
1.579,5.000306828151224e-06,19.999909117635355,4,-1.8219967046206875e-07
1.5795,5.000168130209204e-06,20.000919962262248,4,2.7778145295087597e-07
1.58,5.0002331590803806e-06,19.99918367272698,4,-1.3038219037753151e-07
1.5805,5.000324108550558e-06,19.9999091198281,4,-1.8219982678147062e-07
1.581,5.0001854106085375e-06,20.000919962535807,4,2.7778145295087597e-07
1.5815,5.000250439479714e-06,19.99918367272698,4,-1.3038219037753151e-07
1.582,5.0003413889498916e-06,19.9999091198281,4,-1.8219982678147062e-07
1.5825,5.000202691007871e-06,20.000919962535807,4,2.7778145295087597e-07
1.583,5.000267719879048e-06,19.99918367272698,4,-1.3038219037753151e-07
1.5835,5.000358669349225e-06,19.9999091198281,4,-1.8219982678147062e-07
1.584,5.000219971407205e-06,20.000919962535807,4,2.7778145295087597e-07
1.5845,5.000285000278382e-06,19.99918367272698,4,-1.3038219037753151e-07
