time_s,force_command_N,ground_bottom_slip_m,ground_bottom_vt_m_s,ground_bottom_Fn_N,ground_bottom_Ft_N,ground_bottom_rho,ground_bottom_point_rho_max,ground_bottom_contacts,ground_bottom_gap_m,ground_bottom_phi_min_m,bottom_middle_slip_m,bottom_middle_vt_m_s,bottom_middle_Fn_N,bottom_middle_Ft_N,bottom_middle_rho,bottom_middle_point_rho_max,bottom_middle_contacts,bottom_middle_gap_m,bottom_middle_phi_min_m,middle_top_slip_m,middle_top_vt_m_s,middle_top_Fn_N,middle_top_Ft_N,middle_top_rho,middle_top_point_rho_max,middle_top_contacts,middle_top_gap_m,middle_top_phi_min_m,box_0_vz_m_s,box_1_vz_m_s,box_2_vz_m_s,solver_iterations,line_search_iterations,truncated_contacts
0.135,0.0,0.0,6.309310407459634e-08,26.22276613209969,4.7866799022458256e-05,3.650781826854168e-06,3.654825040503333e-06,4,-0.0006720819324254994,-0.0006748419255018234,0.0,6.375697836347172e-08,17.04807596390647,0.00010981209693475705,1.288263815426996e-05,1.353279510800966e-05,4,-0.00033944748342037284,-0.0004416555166244507,0.0,8.384179750464682e-08,8.382555628295403,9.640306435726604e-06,2.300087673307088e-06,3.2066087781328544e-06,4,-0.00011691167950630271,-0.00021814554929733276,0.005504377651959658,0.009919164702296257,0.012368937954306602,-1,-1,0
0.14,0.0,0.0,9.655918731255042e-09,25.90154756316491,4.2734581405228304e-05,3.299770509929065e-06,3.300473135189734e-06,4,-0.0006538224220275883,-0.0006548762321472168,0.0,8.264243156475004e-08,16.790331473090482,2.224157931814644e-05,2.6493317721323796e-06,3.3225944464679532e-06,4,-0.00032479777932167136,-0.0004256442189216614,0.0,3.7810394815096515e-08,8.239667575784006,2.5867236664617257e-05,6.278708801466662e-06,7.224645917526021e-06,4,-0.00010879054665565574,-0.00020925700664520264,0.0020943121053278446,0.0037744103465229273,0.004706826061010361,-1,-1,0
0.145,0.0,0.0,1.276695655860749e-07,26.259489178934924,8.033296644115685e-06,6.118395212775052e-07,6.198859360330166e-07,4,-0.0006527197360992436,-0.0006520990282297134,0.0,1.665867443989555e-08,17.077618047696795,5.364675994119626e-05,6.282698183243585e-06,7.060990650346537e-06,4,-0.00032391861081123435,-0.0004234239459037781,0.0,-1.8055028050412147e-07,8.39937562719286,5.189814073141087e-05,1.235761871713211e-05,1.3293407688147543e-05,4,-0.00010830625891685569,-0.00020803511142730713,-0.001255900482647121,-0.0022630111780017614,-0.0028199481312185526,-1,-1,0
0.15,0.0,0.0,9.341903961512799e-08,27.144833956231658,7.559506700624299e-05,5.569757186810021e-06,5.5755592617436136e-06,4,-0.0006667771190404896,-0.0006648097187280655,0.0,6.289639031820116e-09,17.787436948649507,5.3125917479382524e-05,5.973420187827123e-06,6.726684995406447e-06,4,-0.0003351894766092309,-0.00043360888957977295,0.0,-2.2220591944233092e-07,8.792506229880109,7.689807246846978e-06,1.7491729993239557e-06,2.6102335054474493e-06,4,-0.0001145461201667794,-0.00021366775035858154,-0.003948166035115719,-0.007113564759492874,-0.008869252167642117,-1,-1,0
0.155,0.0,0.0,9.062060435383046e-09,28.329285851594847,0.00014808168062393684,1.0454317937958208e-05,1.0455340258530736e-05,4,-0.0006914944201707844,-0.0006887130439281464,0.0,-1.4164043271591709e-08,18.737309465755523,3.2734155385552416e-05,3.4940080853526655e-06,4.235068276129872e-06,4,-0.0003550042957067498,-0.00045277178287506104,0.0,-1.8747821961540012e-07,9.319963082180136,1.4081486073241752e-05,3.0217900970371216e-06,2.240532419013539e-06,4,-0.0001255506277084359,-0.0002243146300315857,-0.005579547490924597,-0.010054105892777443,-0.012536972761154175,-1,-1,0
0.16,0.0,0.0,-5.00946306658534e-08,29.560253678268044,0.00012531570953603813,8.478662659662295e-06,8.482675667238384e-06,4,-0.0007210285216569905,-0.0007180403918027878,0.0,-1.306864270134156e-07,19.724545239025755,0.00011154864056372245,1.1310642573702462e-05,1.2041218780971465e-05,4,-0.0003786934167146691,-0.00047629326581954956,0.0,-5.653545542827487e-08,9.868279545337757,2.1492708515732724e-05,4.355918053798324e-06,3.6755955972979862e-06,4,-0.0001387046277523049,-0.00023737549781799316,-0.005992932245135307,-0.010798751376569271,-0.01346595585346222,-1,-1,0
0.165,0.0,0.0,-1.1098929064701224e-07,30.609494058155995,9.161090292268379e-05,5.985783544715191e-06,5.991718928327021e-06,4,-0.0007494282722473149,-0.0007467996329069138,0.0,-1.808681844295279e-07,20.565994781742504,2.5527168492976537e-05,2.4824637722497454e-06,3.108019425704373e-06,4,-0.0004014717042446145,-0.0004993602633476257,0.0,2.0832771951972973e-08,10.334653922897825,9.616215538628777e-06,1.8609651780061545e-06,1.197481734901269e-06,4,-0.00015134081244468772,-0.00025016069412231445,-0.005270048510283232,-0.009495650418102741,-0.011840122751891613,-1,-1,0
0.17,0.0,0.0,-1.3058487979833444e-07,31.31050708831794,6.720873076890068e-05,4.293046457492635e-06,4.297379473917057e-06,4,-0.0007717036455869679,-0.0007698647677898407,0.0,-2.3101554802451574e-07,21.128035809775042,1.297207011015018e-05,1.2279485160800945e-06,1.8121109520286713e-06,4,-0.0004193326085805901,-0.0005178600549697876,0.0,4.572652301249036e-08,10.646655347937394,5.59510991840797e-05,1.0510549530453104e-05,1.123047698994241e-05,4,-0.00016125008463859641,-0.0002604275941848755,-0.003686713520437479,-0.0066433679312467575,-0.008283021859824657,-1,-1,0
0.17500000000000002,0.0,0.0,-1.1240011588142806e-07,31.581376907256537,5.512557514650149e-05,3.4910178431032967e-06,3.494739200620967e-06,4,-0.0007846117764711384,-0.0007837973535060883,0.0,-1.6578097472574882e-07,21.345332937406923,3.371752404732755e-05,3.1592408650828594e-06,2.570943614503493e-06,4,-0.0004296851903200158,-0.0005290359258651733,0.0,-1.2847914376834524e-07,10.767204381768721,6.087741104874612e-05,1.1307932661113994e-05,1.2009202016084321e-05,4,-0.00016698703169822776,-0.00026663392782211304,-0.0016407591756433249,-0.002956429962068796,-0.0036860392428934574,-1,-1,0
0.18,0.0,0.0,2.139128874034668e-08,31.42828595979123,3.9067231853916055e-05,2.4861191541847337e-06,2.4866615887886337e-06,4,-0.0007870239019393925,-0.000787246972322464,0.0,-2.2681334321816848e-07,21.22253672137153,1.187169146074086e-05,1.1187815685375466e-06,1.590579298999632e-06,4,-0.0004316242039203652,-0.0005318038165569305,0.0,-3.064221800741507e-07,10.699398538429827,3.7897902130025765e-05,7.084118232236147e-06,7.774354276003504e-06,4,-0.0001680599153041848,-0.0002681612968444824,0.00043888515210710466,0.0007916881586425006,0.0009849262423813343,-1,-1,0
