time_s,ground_bottom_contacts,ground_bottom_Fn_N,ground_bottom_gap_m,ground_bottom_phi_min_m,bottom_middle_contacts,bottom_middle_Fn_N,bottom_middle_gap_m,bottom_middle_phi_min_m,middle_top_contacts,middle_top_Fn_N,middle_top_gap_m,middle_top_phi_min_m,box_0_vz_m_s,box_1_vz_m_s,box_2_vz_m_s,solver_iterations,line_search_iterations,truncated_contacts
2.8275,4,29.429982624076697,-0.0007357490062713627,-0.000735752284526825,4,19.61987753371681,-0.0003904932737350472,-0.0004904940724372864,4,9.809974366853801,-0.00014525741338729942,-0.0002452582120895386,-2.8753299829986645e-07,-2.170731704609352e-06,3.586734749205789e-07,-1,-1,0
2.828,4,29.429985206634456,-0.0007357490062713627,-0.000735752284526825,4,19.620020987845884,-0.0003904932737350472,-0.0004904940724372864,4,9.80997887817381,-0.00014525741338729942,-0.0002452582120895386,-3.0597982458857587e-07,-2.1494822703971295e-06,3.4769922763189243e-07,-1,-1,0
2.8285,4,29.429987154983383,-0.0007357490062713627,-0.000735752284526825,4,19.620016831462465,-0.0003904932737350472,-0.0004904940724372864,4,9.809982262930818,-0.00014525741338729942,-0.0002452582120895386,-3.198965998763015e-07,-2.133710722773685e-06,3.392940470803296e-07,-1,-1,0
2.829,4,29.42998877665087,-0.0007357490062713627,-0.000735752284526825,4,19.62001340470078,-0.0003904932737350472,-0.0004904940724372864,4,9.809985063518331,-0.00014525741338729942,-0.0002452582120895386,-3.314799243980815e-07,-2.1208170437603258e-06,3.321833901281934e-07,-1,-1,0
2.8295,4,29.429990128127173,-0.0007357490062713627,-0.000735752284526825,4,19.620010580794034,-0.0003904932737350472,-0.0004904940724372864,4,9.809987381438685,-0.00014525741338729942,-0.0002452582120895386,-3.411333295844088e-07,-2.1102996470290236e-06,3.261441747781646e-07,-1,-1,0
2.83,4,29.429991256108963,-0.0007357490062713627,-0.000735752284526825,4,19.620008255021666,-0.0003904932737350472,-0.0004904940724372864,4,9.809989300523132,-0.00014525741338729942,-0.0002452582120895386,-3.4919034419544914e-07,-2.1017440303694457e-06,3.2099205782287754e-07,-1,-1,0
2.8305000000000002,4,29.429992199193038,-0.0007357490062713627,-0.000735752284526825,4,19.620006340839456,-0.0003904932737350472,-0.0004904940724372864,4,9.80999089004799,-0.00014525741338729942,-0.0002452582120895386,-3.559266588126775e-07,-2.0948077690263744e-06,3.1657475574320415e-07,-1,-1,0
2.831,4,29.4299929892842,-0.0007357490062713627,-0.000735752284526825,4,19.620004766732297,-0.0003904932737350472,-0.0004904940724372864,4,9.80999220723725,-0.00014525741338729942,-0.0002452582120895386,-3.615701587023068e-07,-2.0892075554002076e-06,3.1276636036636773e-07,-1,-1,0
2.8315,4,29.42999365275314,-0.0007357490062713627,-0.000735752284526825,4,19.620003473560004,-0.0003904932737350472,-0.0004904940724372864,4,9.809993299424274,-0.00014525741338729942,-0.0002452582120895386,-3.663092229544418e-07,-2.0847096493525896e-06,3.094629050792719e-07,-1,-1,0
2.832,4,29.429994397618167,-0.0007357490062713627,-0.000735752284526825,4,19.620002058789083,-0.0003904932737350472,-0.0004904940724372864,4,9.809994507761852,-0.00014525741338729942,-0.0002452582120895386,-3.7162968169468513e-07,-2.079924570352887e-06,3.056169646242779e-07,-1,-1,0
2.8325,4,29.42999498817531,-0.0007357490062713627,-0.000735752284526825,4,19.62000098486294,-0.0003904932737350472,-0.0004904940724372864,4,9.809995442953335,-0.00014525741338729942,-0.0002452582120895386,-3.758479465432174e-07,-2.0764719010912813e-06,3.023896510967461e-07,-1,-1,0
2.833,4,29.429995371323116,-0.0007357490062713627,-0.000735752284526825,4,19.620000324981998,-0.0003904932737350472,-0.0004905015230178833,4,9.809996032247913,-0.00014525741338729942,-0.0002452582120895386,-3.7858470136598044e-07,-2.0744953417306533e-06,3.0015709739927843e-07,-1,-1,0
2.8335,4,29.42999566903821,-0.0007357490062713627,-0.000735752284526825,4,19.619999838353742,-0.0003904932737350472,-0.0004905015230178833,4,9.809996477887688,-0.00014525741338729942,-0.0002452582120895386,-3.807112705089821e-07,-2.0731458789668977e-06,2.9832332870682876e-07,-1,-1,0
2.834,4,29.429995924650253,-0.0007357490062713627,-0.000735752284526825,4,19.619999443418394,-0.0003904932737350472,-0.0004905015230178833,4,9.809996849852299,-0.00014525741338729942,-0.0002452582120895386,-3.8253705270108185e-07,-2.072150891763158e-06,2.9666162504327076e-07,-1,-1,0
2.8345000000000002,4,29.429996393376825,-0.0007357490062713627,-0.000735752284526825,4,19.620002916013362,-0.0003904932737350472,-0.0004904977977275848,4,9.81006332154718,-0.00014525741338729942,-0.0002452656626701355,-3.85885101650274e-07,-2.100303163388162e-06,3.2589585430287116e-07,-1,-1,0
2.835,4,29.42999699656064,-0.0007357490062713627,-0.000735752284526825,4,19.620005627749773,-0.0003904932737350472,-0.0004904977977275848,4,9.810056365600461,-0.00014525741338729942,-0.0002452656626701355,-3.9019354858282895e-07,-2.1239811758277938e-06,3.519031679388718e-07,-1,-1,0
2.8355,4,29.43000374855273,-0.0007357490062713627,-0.000735752284526825,4,19.62010733657391,-0.0003904932737350472,-0.0004905015230178833,4,9.810056016476906,-0.00014525741338729942,-0.0002452656626701355,-4.384220630981872e-07,-2.100424808304524e-06,3.779532846692746e-07,-1,-1,0
2.836,4,29.430009564296476,-0.0007357490062713627,-0.000735752284526825,4,19.62009872721983,-0.0003904932737350472,-0.0004905015230178833,4,9.810055217468848,-0.00014525741338729942,-0.0002452656626701355,-4.799630914931186e-07,-2.0804702671739506e-06,4.036148197883449e-07,-1,-1,0
2.8365,4,29.43001457450216,-0.0007357490062713627,-0.000735752284526825,4,19.62009132816353,-0.0003904932737350472,-0.0004905015230178833,4,9.810054089185368,-0.00014525741338729942,-0.0002452656626701355,-5.157502869224118e-07,-2.0634072370739887e-06,4.2873716665781103e-07,-1,-1,0
2.837,4,29.430019518628598,-0.0007357490062713627,-0.000735752284526825,4,19.620088523533397,-0.0003904932737350472,-0.0004905015230178833,4,9.810118079133835,-0.00014525741338729942,-0.0002452656626701355,-5.510654546014848e-07,-2.0786892491742037e-06,4.885682756139431e-07,-1,-1,0
2.8375,4,29.430021493585233,-0.0007357490062713627,-0.000735752284526825,4,19.6200487849717,-0.0003904932737350472,-0.0004905015230178833,4,9.810041183368607,-0.00014525741338729942,-0.0002452656626701355,-5.651722858601715e-07,-2.075041493299068e-06,5.092873038847756e-07,-1,-1,0
2.838,4,29.430018813767795,-0.0007357490062713627,-0.000735752284526825,4,19.61998084224507,-0.0003904932737350472,-0.0004905015230178833,4,9.810034845694288,-0.00014525741338729942,-0.0002452656626701355,-5.460307761495642e-07,-2.1027790353400633e-06,5.268188374429883e-07,-1,-1,0
2.8385000000000002,4,29.430016126904516,-0.0007357490062713627,-0.000735752284526825,4,19.61997791022655,-0.0003904932737350472,-0.0004905015230178833,4,9.809898698748416,-0.00014525741338729942,-0.0002452582120895386,-5.268389031698462e-07,-2.062644171019201e-06,4.7506321720902633e-07,-1,-1,0
2.839,4,29.43001348241169,-0.0007357490062713627,-0.000735752284526825,4,19.619975874854404,-0.0003904932737350472,-0.0004905015230178833,4,9.809909831069591,-0.00014525741338729942,-0.0002452582120895386,-5.079496645521431e-07,-2.029216602750239e-06,4.2897426055787946e-07,-1,-1,0
2.8395,4,29.430010924057058,-0.0007357490062713627,-0.000735752284526825,4,19.619974537546234,-0.0003904932737350472,-0.0004905015230178833,4,9.809919490825209,-0.00014525741338729942,-0.0002452582120895386,-4.896756991001894e-07,-2.0013903849758208e-06,3.8780214595135476e-07,-1,-1,0
2.84,4,29.430008669981092,-0.0007357490062713627,-0.000735752284526825,4,19.61997380133255,-0.0003904932737350472,-0.0004905015230178833,4,9.809927248995816,-0.00014525741338729942,-0.0002452582120895386,-4.7357514176837867e-07,-1.980031129278359e-06,3.537458610480826e-07,-1,-1,0
