phase,time_from_release_s,x_m,z_m,vx_m_s,vz_m_s,normal_force_N,friction_force_x_N,active_contact_points,phi_min_m,geometric_penetration_m,analytic_vx_m_s,analytic_x_m
normal_settle,-0.987,0.0,0.019694697111845016,0.0,-0.014418057166039944,13.942276312843997,0.0,4,-0.0003016982227563858,0.00030530288815498394,,
normal_settle,-0.98675,0.0,0.019691351801156998,0.0,-0.013382598757743835,13.951835451804147,0.0,4,-0.0003053024411201477,0.00030864819884300274,,
normal_settle,-0.9865,0.0,0.019688265398144722,0.0,-0.012347333133220673,13.95106337757886,0.0,4,-0.0003086477518081665,0.00031173460185527843,,
normal_settle,-0.98625,0.0,0.01968543604016304,0.0,-0.011314761824905872,13.940285254795286,0.0,4,-0.0003117341548204422,0.00031456395983696026,,
normal_settle,-0.986,0.0,0.019682863727211952,0.0,-0.010287289507687092,13.919888206964403,0.0,4,-0.000314563512802124,0.0003171362727880482,,
normal_settle,-0.98575,0.0,0.01968054659664631,0.0,-0.009267245419323444,13.890175001871025,0.0,4,-0.000317135825753212,0.0003194534033536915,,
normal_settle,-0.9855,0.0,0.01967848278582096,0.0,-0.008256867527961731,13.851511069749527,0.0,4,-0.0003194529563188553,0.0003215172141790394,,
normal_settle,-0.98525,0.0,0.01967666856944561,0.0,-0.007258304860442877,13.804250349260723,0.0,4,-0.0003215167671442032,0.00032333143055439037,,
normal_settle,-0.985,0.0,0.019675100222229958,0.0,-0.006273603066802025,13.748807741231147,0.0,4,-0.00032333098351955414,0.00032489977777004284,,
normal_settle,-0.98475,0.0,0.019673774018883705,0.0,-0.005304706748574972,13.685585130521366,0.0,4,-0.0003248993307352066,0.0003262259811162953,,
normal_settle,-0.9845,0.0,0.019672686234116554,0.0,-0.004353464115411043,13.61497167917837,0.0,4,-0.00032622553408145905,0.00032731376588344616,,
normal_settle,-0.98425,0.0,0.019671829417347908,0.0,-0.003421628149226308,13.537344412740351,0.0,4,-0.0003273133188486099,0.0003281705826520924,,
normal_settle,-0.984,0.0,0.019671201705932617,0.0,-0.0025108251720666885,13.453212687986637,0.0,4,-0.00032817013561725616,0.00032879829406738323,,
normal_settle,-0.98375,0.0,0.019670797511935234,0.0,-0.001622611889615655,13.362853432446109,0.0,4,-0.000328797847032547,0.00032920248806476635,,
normal_settle,-0.9835,0.0,0.019670607522130013,0.0,-0.0007584422128275037,13.266679129565038,0.0,4,-0.0003292020410299301,0.0003293924778699879,,
normal_settle,-0.98325,0.0,0.019670628011226654,0.0,8.036609506234527e-05,13.165233641285576,0.0,4,-0.00032939203083515167,0.00032937198877334636,,
normal_settle,-0.983,0.0,0.019670849665999413,0.0,0.0008925728034228086,13.058827205703457,0.0,4,-0.00032937154173851013,0.0003291503340005879,,
normal_settle,-0.98275,0.0,0.01967127062380314,0.0,0.0016770669026300311,12.947976780700557,0.0,4,-0.00032914988696575165,0.0003287293761968617,,
normal_settle,-0.9825,0.0,0.019671877846121788,0.0,0.0024327903520315886,12.832894411853811,0.0,4,-0.00032872892916202545,0.0003281221538782124,,
normal_settle,-0.98225,0.0,0.019672667607665062,0.0,0.0031588447745889425,12.7142184390446,0.0,4,-0.00032812170684337616,0.00032733239233493847,,
normal_settle,-0.982,0.0,0.019673630595207214,0.0,0.0038543962873518467,12.592206296295034,0.0,4,-0.00032733194530010223,0.00032636940479278606,,
normal_settle,-0.98175,0.0,0.019674761220812798,0.0,0.00451872730627656,12.467323779066728,0.0,4,-0.00032636895775794983,0.00032523877918720287,,
normal_settle,-0.9815,0.0,0.019676048308610916,0.0,0.005151196848601103,12.339877718685848,0.0,4,-0.00032523833215236664,0.0003239516913890843,,
normal_settle,-0.98125,0.0,0.019677486270666122,0.0,0.00575129222124815,12.210381783525671,0.0,4,-0.00032395124435424805,0.000322513729333878,,
normal_settle,-0.981,0.0,0.01967906579375267,0.0,0.006318571511656046,12.079117007502342,0.0,4,-0.00032251328229904175,0.00032093420624733013,,
normal_settle,-0.98075,0.0,0.019680779427289963,0.0,0.006852696184068918,11.946499833873213,0.0,4,-0.0003209337592124939,0.00031922057271003765,,
normal_settle,-0.9805,0.0,0.019682617858052254,0.0,0.0073534115217626095,11.812861529342792,0.0,4,-0.0003192201256752014,0.0003173821419477467,,
normal_settle,-0.98025,0.0,0.019684573635458946,0.0,0.007820560596883297,11.678594967716553,0.0,4,-0.00031738169491291046,0.0003154263645410542,,
normal_settle,-0.98,0.0,0.019686635583639145,0.0,0.00825406238436699,11.544008549812856,0.0,4,-0.00031542591750621796,0.0003133644163608555,,
normal_settle,-0.97975,0.0,0.01968879997730255,0.0,0.00865394901484251,11.40954544085601,0.0,4,-0.0003133639693260193,0.00031120002269744915,,
